Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
6,Joselu,70,Espanyol,33, FW  ,33(1),2989,2,0.6,21.7,61.0,0.2,0.4,0.0,7.15,16,3,0,2.7,5.1,5,0.5,2.1,0.8,1.3,2.5,0.4,0.2,0.7,0.0,1.2,0.4,0.1,0
12,Sergi Darder,70,Espanyol,29, M(CL)  ,38,3325,3,1.9,37.5,78.5,1.3,2.5,0.1,7.08,6,4,0,1.0,0.3,5,1.8,2.1,0.1,0.7,1.1,1.8,0.6,0.8,0.0,0.6,1.2,0.1,0
122,Vinicius Souza,70,Espanyol,24, DMC  ,27(7),2434,1,0.3,26.6,80.1,0.0,1.4,0.0,6.68,1,8,1,0.3,2.1,0,0.3,1.1,0.0,0.4,0.9,2.9,1.4,1.9,0.1,1.4,0.8,0.4,0
162,Brian Oliván,70,Espanyol,29, D(CL)  ,29(1),2413,7,1.1,25.0,70.1,1.1,2.2,0.0,6.6,1,7,0,0.5,0.6,0,0.1,0.5,0.1,0.2,0.8,1.6,0.7,1.1,0.3,1.9,0.3,0.2,0
163,César Montes,70,Espanyol,26, D(C)  ,18(2),1589,0,0.0,39.4,78.2,0.1,2.8,0.0,6.6,3,7,0,0.7,3.4,1,0.1,0.3,0.1,0.2,0.3,0.9,0.7,0.9,0.5,5.0,0.4,0.6,0
188,Martin Braithwaite,70,Espanyol,32," AM(CLR),FW  ",29(2),2468,2,0.4,13.7,68.9,0.1,0.4,0.0,6.56,10,5,1,1.9,1.5,2,0.5,1.4,0.4,0.6,1.7,0.4,0.2,0.6,0.1,0.4,0.3,0.0,0
221,Javier Puado,70,Espanyol,25," AM(CLR),FW  ",25(12),2350,2,0.7,14.7,79.9,0.2,0.5,0.0,6.51,7,4,0,1.5,0.6,0,0.6,0.7,0.1,0.8,1.9,0.5,0.3,0.4,0.0,0.3,0.4,0.1,0
232,Leandro Cabrera,70,Espanyol,32, D(CL)  ,31(1),2673,1,0.4,38.5,73.3,0.2,2.7,0.0,6.48,0,8,2,0.7,1.9,0,0.2,0.6,0.0,0.2,0.3,1.4,1.3,0.9,0.5,3.3,0.5,0.7,1
240,Edu Expósito,70,Espanyol,26, M(C)  ,13(15),1165,2,0.8,17.1,79.1,0.3,0.8,0.1,6.47,2,3,1,0.7,0.5,1,0.4,1.0,0.0,0.5,0.9,1.2,0.4,0.5,0.0,0.7,0.4,0.0,0
254,Fernando Calero,70,Espanyol,27," D(C),DMC  ",20(7),1618,1,0.1,26.6,81.8,0.0,1.9,0.0,6.45,0,6,0,0.3,1.3,0,0.0,0.3,0.0,0.2,0.4,1.7,0.5,0.8,0.3,1.9,0.5,0.5,0
266,Sergi Gómez,70,Espanyol,31, D(CR)  ,26(3),2343,0,0.2,38.6,86.0,0.0,2.9,0.0,6.43,0,0,2,0.3,1.5,0,0.0,0.3,0.0,0.0,0.2,1.0,0.9,0.3,0.7,4.1,0.1,0.7,0
278,Óscar Gil,70,Espanyol,25, D(R)  ,31(2),2571,1,0.5,21.7,77.8,0.2,1.0,0.0,6.4,0,14,0,0.3,0.4,0,0.7,1.2,0.0,0.4,1.6,1.9,0.9,1.6,0.2,1.2,0.9,0.5,0
290,Nicolás Melamed,70,Espanyol,22, AM(CL)  ,16(16),1251,2,0.8,12.6,84.1,0.3,0.3,0.0,6.36,1,4,0,1.0,0.4,0,0.6,1.0,0.1,0.8,1.1,0.6,0.2,0.8,0.0,0.0,0.6,0.0,0
323,Aleix Vidal,70,Espanyol,33," D(R),M(LR)  ",10(15),1025,3,0.6,12.3,77.9,0.3,0.8,0.0,6.25,0,8,1,0.1,0.1,0,0.3,0.7,0.0,0.3,0.6,0.4,0.6,0.9,0.0,0.4,0.7,0.1,0
