Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
25,Guido Rodríguez,54,Real Betis,29, DMC  ,33(1),2878,0,0.3,49.1,87.4,0.0,2.6,0.1,6.98,1,8,0,0.6,1.3,3,0.6,1.9,0.0,0.6,0.5,3.4,1.2,1.3,0.0,2.0,1.4,0.4,1
47,Ayoze Pérez,54,Real Betis,29," AM(CLR),FW  ",17(2),1395,1,0.7,19.7,81.0,0.0,0.2,0.1,6.87,3,3,0,1.8,0.4,1,2.2,1.5,0.1,1.4,2.1,1.6,0.7,1.7,0.0,0.2,1.6,0.0,0
65,Juan Miranda,54,Real Betis,23, D(L)  ,16(5),1475,2,1.0,29.8,76.8,0.7,1.3,0.1,6.81,3,1,1,1.0,1.0,2,0.4,1.0,0.0,0.4,0.8,1.1,1.0,0.7,0.5,2.4,0.7,0.3,0
76,Youssouf Sabaly,54,Real Betis,30," D(LR),M(R)  ",19(4),1681,1,0.5,33.5,83.1,0.0,0.7,0.0,6.78,1,2,0,0.5,0.2,0,0.8,1.4,0.1,1.1,1.1,2.0,0.8,0.9,0.4,2.0,0.5,0.3,0
91,Germán Pezzella,54,Real Betis,31, D(C)  ,29(2),2515,0,0.1,42.0,86.4,0.0,2.2,0.0,6.74,0,4,3,0.3,2.4,2,0.1,0.5,0.0,0.0,0.4,1.3,1.6,0.9,0.4,4.2,0.4,0.5,0
98,William Carvalho,54,Real Betis,31, M(C)  ,31(2),2454,0,0.7,52.5,86.9,0.1,2.7,0.1,6.72,3,6,1,0.8,1.0,2,0.9,1.2,0.1,0.8,0.7,1.3,0.5,0.9,0.1,0.6,0.8,0.2,0
102,Sergio Canales,54,Real Betis,32, M(CLR)  ,28(3),2417,3,1.8,42.5,81.8,1.0,2.1,0.3,6.72,4,2,2,1.3,0.4,1,0.9,1.0,0.1,1.3,1.8,0.8,0.5,0.3,0.0,0.2,0.6,0.0,0
114,Rui Silva,54,Real Betis,29, GK  ,26,2340,0,0.0,29.8,63.4,0.0,7.8,0.0,6.7,0,2,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0
121,Aitor Ruibal,54,Real Betis,27," D(R),M(LR)  ",15(11),1451,0,0.6,26.0,78.3,0.2,1.3,0.0,6.68,0,4,1,0.6,0.6,2,1.3,0.7,0.1,0.5,0.9,1.8,0.9,0.8,0.2,1.2,1.0,0.1,0
138,Luiz Felipe,54,Real Betis,26, D(C)  ,22(1),1769,0,0.1,38.1,85.5,0.0,1.5,0.0,6.65,0,3,3,0.1,1.3,0,0.2,0.4,0.0,0.0,0.4,1.5,1.2,0.4,0.7,4.3,0.7,1.0,0
143,Luiz Henrique,54,Real Betis,22, AM(LR)  ,21(12),1816,3,0.5,15.8,76.3,0.3,0.3,0.0,6.64,1,6,0,1.3,0.8,2,1.7,1.2,0.2,1.8,1.8,1.5,0.4,0.8,0.0,0.4,0.7,0.0,0
150,Borja Iglesias,54,Real Betis,30, FW  ,29(6),2385,3,0.6,14.8,76.0,0.0,0.4,0.1,6.63,15,2,1,1.8,0.7,2,0.3,1.5,0.6,1.1,2.3,0.2,0.0,1.1,0.0,0.5,0.3,0.0,0
178,Edgar González,54,Real Betis,26," D(C),DMC  ",18(7),1770,0,0.1,35.6,89.1,0.0,1.4,0.0,6.58,0,4,2,0.4,2.0,0,0.1,0.5,0.0,0.0,0.2,1.1,0.8,0.9,1.0,4.8,0.5,0.4,0
185,Rodri,54,Real Betis,23, AM(CLR)  ,19(11),1610,3,0.7,26.5,89.9,0.3,1.0,0.2,6.57,2,0,0,0.5,0.1,1,1.0,1.3,0.1,0.7,1.2,0.5,0.4,0.2,0.0,0.0,0.3,0.0,0
222,Andrés Guardado,54,Real Betis,36," D(L),M(CL)  ",16(10),1376,1,0.5,32.7,85.2,0.2,2.6,0.1,6.51,1,7,0,0.3,0.7,0,0.2,0.4,0.0,0.2,0.7,1.6,0.9,0.6,0.0,0.8,1.0,0.2,0
305,Juanmi,54,Real Betis,30," AM(CLR),FW  ",9(13),922,0,0.2,10.9,84.6,0.0,0.3,0.0,6.33,4,3,0,0.8,0.4,1,0.5,1.0,0.7,0.6,1.0,0.6,0.2,0.7,0.0,0.1,1.1,0.0,0
313,Joaquín,54,Real Betis,41," M(CLR),FW  ",2(20),471,2,1.0,13.1,85.1,0.4,0.2,0.1,6.31,0,2,0,0.4,0.0,0,0.5,0.4,0.0,0.3,0.6,0.1,0.2,0.0,0.0,0.2,0.1,0.1,0
332,Willian José,54,Real Betis,31, FW  ,6(22),715,1,0.3,9.4,78.6,0.0,0.2,0.0,6.21,2,1,0,0.8,0.6,0,0.1,0.2,0.1,0.4,0.6,0.3,0.0,0.3,0.0,0.5,0.2,0.0,0
