Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
9,Mikel Merino,68,Real Sociedad,27, M(C)  ,28(5),2500,9,1.3,44.3,77.6,0.2,2.0,0.2,7.13,2,6,1,1.3,3.4,7,0.7,1.5,0.1,1.1,1.5,2.3,0.6,2.2,0.0,1.5,0.9,0.2,0
24,Takefusa Kubo,68,Real Sociedad,22," AM(CLR),FW  ",29(6),2452,4,1.1,22.5,75.9,0.5,0.3,0.0,6.98,9,3,0,2.1,0.5,4,1.4,1.4,0.6,1.2,2.6,1.3,0.3,1.0,0.0,0.1,0.6,0.0,0
34,Brais Méndez,68,Real Sociedad,26," AM(CR),FW  ",28(6),2418,4,1.4,34.6,82.4,1.0,1.6,0.2,6.93,8,6,0,1.8,0.7,2,0.4,1.6,0.1,0.9,1.4,1.7,0.4,1.8,0.0,0.4,1.2,0.1,0
50,Alexander Sørloth,68,Real Sociedad,27," AM(R),FW  ",28(6),2398,3,0.9,13.8,69.5,0.1,0.1,0.0,6.85,12,4,0,1.9,1.8,3,0.9,0.5,0.5,1.8,2.5,0.5,0.1,0.9,0.1,0.8,0.2,0.0,0
51,David Silva,68,Real Sociedad,37," M(CLR),FW  ",25(3),1958,5,1.3,40.4,86.1,0.1,1.4,0.2,6.85,2,4,0,1.1,0.4,2,0.7,1.2,0.1,0.9,1.3,1.3,0.5,1.1,0.0,0.6,0.3,0.1,0
81,Robin Le Normand,68,Real Sociedad,26, D(C)  ,31(2),2795,0,0.1,52.5,88.2,0.0,3.2,0.1,6.76,0,6,0,0.4,3.3,1,0.1,0.9,0.1,0.3,0.2,1.1,1.0,1.3,0.9,2.8,0.4,0.4,1
84,Diego Rico,68,Real Sociedad,30," D(CL),M(L)  ",18(2),1647,0,0.5,37.3,79.2,0.7,2.1,0.0,6.75,0,3,0,0.5,1.0,1,0.7,1.3,0.1,0.5,1.2,1.8,1.0,1.4,0.3,2.0,0.8,0.3,0
107,Álex Remiro,68,Real Sociedad,28, GK  ,38,3420,0,0.0,30.7,68.8,0.0,7.7,0.0,6.71,0,1,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
110,Martín Zubimendi,68,Real Sociedad,24, DMC  ,35(1),3102,3,0.6,50.0,85.6,0.1,2.3,0.1,6.71,1,12,0,0.4,1.6,1,0.3,0.9,0.0,0.5,0.6,1.6,1.0,1.4,0.1,1.4,0.6,0.5,0
142,Igor Zubeldia,68,Real Sociedad,26," D(C),DMC  ",29(2),2547,1,0.1,49.4,85.7,0.1,2.9,0.0,6.64,1,10,0,0.2,1.9,1,0.3,0.3,0.0,0.0,0.2,1.1,0.7,1.4,0.6,2.9,0.3,0.5,1
144,Ander Barrenetxea,68,Real Sociedad,21, M(LR)  ,9(14),874,1,0.4,14.7,77.2,0.2,0.4,0.0,6.64,3,4,0,0.8,0.5,0,1.5,0.6,0.0,0.8,1.6,0.9,0.2,1.0,0.1,0.3,0.7,0.0,0
157,Aihen Muñoz,68,Real Sociedad,25, D(L)  ,20(3),1758,1,0.6,34.2,80.2,0.6,1.3,0.0,6.62,0,2,0,0.3,1.0,0,0.8,0.7,0.0,0.8,1.1,1.7,0.4,1.3,0.1,1.3,1.1,0.2,0
200,Asier Illarramendi,68,Real Sociedad,33, M(C)  ,13(11),1077,0,0.4,26.0,86.2,0.0,0.7,0.0,6.54,1,5,0,0.5,0.7,0,0.3,0.5,0.0,0.3,0.6,1.5,0.8,1.0,0.0,0.7,1.2,0.3,0
231,Andoni Gorosabel,68,Real Sociedad,26, D(R)  ,19(8),1712,0,0.5,30.4,86.7,0.5,1.1,0.0,6.49,0,3,0,0.5,0.7,1,0.3,0.6,0.0,0.3,0.5,1.5,0.6,0.9,0.1,0.8,0.6,0.1,0
243,Mohamed-Ali Cho,68,Real Sociedad,19, FW  ,5(14),580,2,0.4,7.1,73.9,0.5,0.1,0.0,6.47,1,1,0,1.2,0.3,1,0.8,0.6,0.2,0.5,1.5,0.7,0.1,0.6,0.0,0.1,0.3,0.0,0
274,Mikel Oyarzabal,68,Real Sociedad,26," AM(CLR),FW  ",14(9),1217,1,0.6,15.6,76.9,0.3,0.4,0.0,6.42,4,1,0,0.8,0.7,1,0.3,0.7,0.5,0.8,1.2,0.6,0.1,0.7,0.0,0.2,0.6,0.2,0
276,Aritz Elustondo,68,Real Sociedad,29, D(CR)  ,16(9),1450,1,0.2,27.4,82.6,0.1,1.3,0.0,6.41,0,5,1,0.3,0.7,0,0.2,0.4,0.0,0.3,0.5,1.0,0.8,0.8,0.4,1.6,0.5,0.2,0
324,Carlos Fernández,68,Real Sociedad,27," AM(C),FW  ",8(16),626,0,0.3,6.1,65.3,0.0,0.0,0.0,6.25,1,6,0,0.9,1.0,0,0.5,0.6,0.4,0.5,0.8,0.3,0.0,0.7,0.0,0.2,0.6,0.0,0
