Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
58,Jordi Masip,58,Real Valladolid,34, GK  ,28,2508,0,0.0,30.0,66.4,0.0,6.3,0.0,6.83,0,4,0,0.0,0.3,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0
83,Gonzalo Plata,58,Real Valladolid,22," AM(R),FW  ",26(8),2310,5,1.1,20.4,78.1,0.2,0.2,0.1,6.75,1,1,0,1.1,0.5,2,1.9,1.2,0.1,1.1,2.0,1.9,0.4,0.6,0.0,0.2,1.4,0.0,0
104,Cyle Larin,58,Real Valladolid,28," AM(LR),FW  ",16(3),1471,3,0.8,12.7,70.1,0.1,0.3,0.0,6.71,8,4,0,2.7,2.3,0,0.5,1.3,1.5,1.9,3.4,0.5,0.0,1.2,0.2,0.8,0.2,0.2,0
120,Sergio Escudero,58,Real Valladolid,33," D(L),M(L)  ",17(6),1442,0,0.7,23.2,72.3,0.7,1.3,0.0,6.69,1,3,0,1.2,1.0,1,0.3,0.9,0.0,0.3,0.6,1.4,1.1,0.8,0.2,1.7,0.9,0.3,0
166,Jawad El Yamiq,58,Real Valladolid,31, D(C)  ,19(6),1612,0,0.2,36.2,81.6,0.0,2.8,0.0,6.59,1,2,1,0.7,1.7,0,0.4,0.4,0.0,0.2,0.6,0.7,1.5,0.5,0.2,3.8,0.2,0.8,0
182,Kike Pérez,58,Real Valladolid,26, M(C)  ,28(8),2319,2,0.9,31.5,79.3,0.3,2.3,0.0,6.57,1,9,0,1.3,0.9,0,0.8,1.6,0.1,0.9,1.4,1.9,0.6,1.6,0.0,0.7,1.2,0.2,0
184,Iván Sánchez,58,Real Valladolid,30, AM(CR)  ,13(12),1122,1,0.7,17.4,84.4,0.5,0.7,0.0,6.57,1,0,0,0.7,0.1,1,1.4,1.7,0.0,0.6,0.8,0.8,0.3,0.4,0.0,0.2,0.7,0.0,0
187,Iván Fresneda,58,Real Valladolid,18, D(R)  ,18(4),1776,0,0.8,31.3,80.7,0.5,1.6,0.0,6.56,0,3,0,0.2,0.4,0,0.7,1.1,0.0,0.8,1.0,2.2,0.7,0.6,0.0,2.0,0.8,0.4,0
203,Javi Sánchez,58,Real Valladolid,26, D(C)  ,28(4),2395,0,0.1,36.3,82.5,0.0,2.6,0.0,6.54,1,11,0,0.3,1.4,0,0.2,0.3,0.0,0.1,0.2,1.3,1.4,1.1,0.3,3.5,0.3,0.7,0
214,Monchu,58,Real Valladolid,23, DMC  ,24(10),2030,2,0.7,28.5,83.2,0.8,2.8,0.1,6.52,3,10,0,1.1,0.5,1,0.3,0.8,0.0,0.4,1.0,1.5,0.5,1.4,0.0,0.5,0.8,0.3,0
215,Joaquín Fernández,58,Real Valladolid,27," D(C),DMC  ",24(3),2158,0,0.1,36.3,83.2,0.0,2.7,0.0,6.52,1,4,0,0.4,2.0,1,0.0,0.4,0.1,0.0,0.3,1.3,1.0,0.6,0.5,3.6,0.4,0.8,1
223,Óscar Plano,58,Real Valladolid,32," AM(CLR),FW  ",22(11),2048,1,0.5,18.5,75.4,0.2,0.6,0.1,6.51,1,3,0,0.9,1.0,0,0.4,1.5,0.2,0.7,1.1,1.2,0.9,0.7,0.0,0.5,0.8,0.1,0
245,Lucas Olaza,58,Real Valladolid,28," D(L),M(L)  ",16(7),1497,1,0.7,24.8,80.4,0.5,1.4,0.0,6.46,0,3,0,0.2,1.2,0,0.2,0.9,0.1,0.3,0.6,1.0,0.6,0.5,0.1,1.3,0.4,0.3,0
247,Álvaro Aguado,58,Real Valladolid,27, M(C)  ,18(16),1887,2,1.0,31.6,85.2,0.3,3.4,0.1,6.46,1,3,0,0.6,0.4,0,0.4,1.0,0.0,0.3,0.7,0.8,0.4,0.4,0.0,0.4,0.3,0.1,0
280,Roque Mesa,58,Real Valladolid,34, DMC  ,21(9),1629,1,0.6,31.4,83.4,0.1,3.0,0.1,6.4,2,9,1,0.9,0.4,1,0.5,0.8,0.0,0.7,0.7,0.9,0.4,1.3,0.0,0.6,0.9,0.1,0
317,Sergio León,58,Real Valladolid,34, FW  ,14(15),1332,1,0.4,6.6,70.3,0.0,0.3,0.0,6.28,6,0,1,1.0,0.6,1,0.3,0.8,0.7,0.6,1.6,0.2,0.0,0.3,0.0,0.1,0.1,0.0,0
