,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Lionel Messi,304,PSG,36," AM(CR),FW  ",32,2842,16,2.9,60.3,83.1,1.1,2.7,1.2,8.28,16,0,0,4.0,0.0,14,3.2,1.1,0.2,2.4,1.6,0.8,0.1,0.3,0.0,0.0,0.5,0.0,0
1,Kylian Mbappé,304,PSG,24," AM(LR),FW  ",32(2),2822,5,1.6,37.9,82.9,0.4,0.6,0.2,7.8,29,6,0,4.4,0.2,7,2.2,1.2,1.0,1.2,1.9,0.3,0.1,0.6,0.0,0.1,0.3,0.0,0
2,Neymar,304,PSG,31," AM(CLR),FW  ",18(2),1553,11,2.5,59.4,82.7,0.9,2.2,0.5,7.71,13,4,1,1.9,0.1,3,1.9,3.3,0.3,1.9,2.5,1.1,0.2,1.3,0.0,0.1,0.5,0.1,0
24,Nuno Mendes,304,PSG,21," D(L),M(L)  ",18(5),1554,5,1.0,35.9,86.9,0.3,0.6,0.1,7.04,1,2,0,0.4,0.4,0,1.2,1.5,0.2,0.7,1.3,2.0,0.7,1.1,0.1,0.7,0.5,0.1,0
43,Achraf Hakimi,304,PSG,24," D(LR),M(R)  ",23(5),2053,3,1.2,49.8,90.2,0.6,0.5,0.0,6.94,5,5,2,0.6,0.3,0,1.0,0.7,0.2,0.8,1.0,1.9,0.6,1.0,0.0,0.5,1.0,0.1,0
47,Marco Verratti,304,PSG,30, M(C)  ,27(2),2206,0,1.1,87.5,92.9,0.1,2.8,0.2,6.94,0,10,1,0.3,0.4,0,1.0,1.8,0.0,1.1,0.6,2.6,0.9,1.2,0.0,0.4,1.8,0.2,0
59,Fabián Ruiz,304,PSG,27, M(CL)  ,21(6),1899,2,0.6,64.1,92.3,0.0,2.1,0.1,6.89,3,0,0,1.0,0.2,1,0.7,0.5,0.1,0.6,0.9,2.3,0.7,0.7,0.0,0.8,1.3,0.0,0
62,Gianluigi Donnarumma,304,PSG,24, GK  ,38,3410,0,0.0,20.2,84.0,0.0,1.9,0.0,6.88,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
82,Sergio Ramos,304,PSG,37, D(CR)  ,31(2),2709,1,0.1,75.5,94.8,0.1,4.8,0.0,6.82,2,3,1,0.6,1.7,0,0.2,0.7,0.1,0.2,0.2,1.0,1.0,1.1,0.5,2.8,0.6,0.4,0
106,Danilo Pereira,304,PSG,31," D(C),DMC  ",27(6),2411,0,0.1,61.8,94.6,0.0,2.5,0.0,6.76,2,3,0,0.7,1.0,0,0.3,0.4,0.0,0.3,0.4,1.0,1.1,0.5,0.4,1.8,0.2,0.6,0
108,Nordi Mukiele,304,PSG,25," D(CR),M(R)  ",12(7),1133,3,0.5,31.7,88.4,0.1,0.6,0.0,6.76,0,0,0,0.6,1.1,1,0.3,0.7,0.1,0.6,0.6,1.6,0.7,0.8,0.1,0.8,0.5,0.5,0
114,Vitinha,304,PSG,23, M(C)  ,29(7),2461,3,0.8,53.4,92.4,0.1,1.3,0.1,6.74,2,3,0,0.9,0.1,0,0.9,0.5,0.0,0.9,0.9,1.6,0.7,0.9,0.0,0.4,1.6,0.1,0
129,Marquinhos,304,PSG,29," D(CR),DMC  ",30(3),2718,0,0.3,65.2,95.4,0.0,1.9,0.0,6.72,2,4,0,0.5,1.1,0,0.0,0.3,0.0,0.2,0.4,1.0,0.7,0.4,0.3,2.4,0.2,0.8,1
176,Juan Bernat,304,PSG,30," D(L),M(CL)  ",18(10),1648,4,0.8,33.7,93.3,0.1,0.4,0.0,6.61,1,1,0,0.3,0.2,0,0.8,0.3,0.0,0.3,0.3,1.1,0.3,0.3,0.1,0.7,0.6,0.1,0
185,Hugo Ekitike,304,PSG,21, FW  ,12(13),1155,4,0.4,13.1,82.6,0.0,0.2,0.0,6.59,3,0,0,1.4,0.3,0,0.6,0.5,0.3,0.7,1.1,0.5,0.4,0.6,0.0,0.1,0.3,0.0,0
229,Carlos Soler,304,PSG,26, M(CLR)  ,14(12),1188,2,0.5,23.5,87.4,0.2,0.5,0.1,6.46,3,0,0,0.4,0.0,1,0.2,0.5,0.0,0.5,0.8,0.8,0.2,0.7,0.0,0.2,0.3,0.2,0
239,Renato Sanches,304,PSG,25, M(CR)  ,6(17),705,0,0.4,28.6,91.6,0.0,1.4,0.0,6.43,2,1,0,0.6,0.2,0,0.6,0.4,0.0,0.3,0.6,0.3,0.4,1.0,0.0,0.2,0.4,0.1,0
288,Warren Zaïre-Emery,304,PSG,17, M(R)  ,8(18),919,0,0.2,22.7,92.0,0.0,0.2,0.0,6.31,2,1,0,0.3,0.1,0,0.6,0.2,0.1,0.5,0.4,0.7,0.5,0.3,0.1,0.4,0.8,0.0,0
