,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
41,Yunis Abdelhamid,950,Reims,35, D(C)  ,37,3330,2,0.4,54.3,83.1,0.0,2.9,0.0,6.94,1,6,0,0.9,2.5,1,0.6,0.8,0.1,0.6,0.7,2.2,1.7,1.3,0.6,3.1,0.4,0.7,0
44,Yehvann Diouf,950,Reims,23, GK  ,31,2790,0,0.0,28.0,76.4,0.0,6.2,0.0,6.94,0,2,0,0.0,0.5,2,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.7,0.1,0.0,0
56,Folarin Balogun,950,Reims,21, FW  ,34(3),3013,2,1.0,14.8,72.5,0.2,0.3,0.0,6.9,21,5,0,3.5,0.4,4,0.9,1.5,0.8,2.0,2.5,0.2,0.1,1.0,0.0,0.4,0.5,0.0,0
57,Azor Matusiwa,950,Reims,25, DMC  ,29(1),2492,0,0.8,53.3,85.7,0.0,3.8,0.0,6.89,0,4,0,0.4,1.1,0,0.5,1.1,0.0,0.4,0.8,2.2,1.5,1.4,0.0,1.6,0.8,0.4,0
60,Junya Ito,950,Reims,30," AM(LR),FW  ",34(1),2930,5,1.9,25.8,71.3,1.4,0.5,0.1,6.89,6,3,1,1.2,0.8,3,1.8,1.2,0.9,1.3,2.5,1.1,0.2,0.6,0.0,0.1,1.1,0.0,0
63,Marshall Munetsi,950,Reims,27," D(C),M(C)  ",31(3),2708,3,0.9,25.3,75.3,0.1,1.1,0.0,6.88,7,6,0,2.0,1.7,0,0.6,1.1,0.1,0.5,1.6,1.7,0.8,1.9,0.1,1.1,0.8,0.3,0
79,Alexis Flips,950,Reims,23, M(CLR)  ,28(5),1998,6,1.3,25.2,72.6,1.2,1.6,0.2,6.82,4,3,1,1.6,0.4,2,0.4,0.7,0.1,0.7,1.8,1.5,0.7,0.7,0.1,0.3,1.1,0.2,0
97,Emmanuel Agbadou,950,Reims,26," D(C),DMC  ",27(2),2390,3,0.4,51.1,86.0,0.0,3.7,0.2,6.79,0,5,3,0.8,2.1,1,0.3,0.2,0.0,0.4,0.8,2.4,1.1,1.0,0.2,3.6,0.8,0.5,1
171,Jens Cajuste,950,Reims,23, DMC  ,14(17),1529,1,0.5,23.5,82.8,0.0,1.5,0.0,6.61,3,7,1,0.9,0.4,0,1.3,0.9,0.0,0.7,0.9,1.5,0.6,1.1,0.1,0.7,0.7,0.2,0
175,Thomas Foket,950,Reims,28," D(LR),M(R)  ",23(1),1983,1,1.0,41.5,82.9,0.5,1.8,0.0,6.61,0,0,0,0.1,0.5,0,0.4,0.9,0.1,0.8,1.2,1.5,1.4,1.1,0.3,0.9,1.2,0.3,0
178,Thibault De Smet,950,Reims,25," D(L),M(L)  ",20(2),1762,1,0.5,40.0,79.0,0.5,1.5,0.0,6.6,0,2,0,0.0,1.4,0,0.2,0.4,0.1,0.4,0.9,1.1,0.9,1.1,0.1,1.6,1.2,0.2,0
213,Kamory Doumbia,950,Reims,20, AM(C)  ,13(13),1158,2,0.7,20.0,81.9,0.0,0.7,0.1,6.5,2,0,0,1.0,0.3,0,0.7,0.3,0.0,0.8,1.3,1.2,0.5,0.6,0.0,0.1,1.0,0.0,0
243,Dion Lopy,950,Reims,21, DMC  ,16(13),1377,1,0.5,25.2,85.5,0.0,2.1,0.0,6.43,0,4,2,0.6,0.6,0,0.6,0.9,0.0,0.6,1.0,1.6,0.8,1.1,0.0,0.6,1.3,0.1,0
255,Arbër Zeneli,950,Reims,28," AM(LR),FW  ",12(11),1003,2,1.0,15.8,76.3,0.4,0.4,0.1,6.39,0,0,0,1.3,0.2,1,0.7,0.5,0.1,1.0,2.0,0.4,0.1,0.3,0.0,0.1,0.3,0.0,0
269,Mitchell van Bergen,950,Reims,23," AM(LR),FW  ",6(22),889,1,0.7,8.5,78.7,0.5,0.1,0.0,6.35,0,1,0,0.9,0.2,0,0.5,0.3,0.1,0.4,0.9,0.6,0.2,0.4,0.0,0.3,0.4,0.1,0
275,Maxime Busi,950,Reims,23," D(R),M(R)  ",11(10),1041,1,0.3,22.9,75.3,0.4,1.4,0.0,6.34,0,4,0,0.1,0.7,1,0.3,0.3,0.0,0.2,0.8,1.0,0.7,0.9,0.2,1.0,0.8,0.3,0
