,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
10,Benjamin Bourigeaud,313,Rennes,29, M(CLR)  ,37,3084,10,2.6,46.6,80.8,2.0,3.1,0.2,7.15,7,4,1,2.0,0.3,4,0.4,0.4,0.1,0.5,0.9,1.2,0.8,0.9,0.1,0.7,1.2,0.1,0
12,Amine Gouiri,313,Rennes,23," AM(L),FW  ",29(4),2532,3,1.1,22.1,79.8,0.2,0.5,0.1,7.12,15,3,0,2.2,0.9,1,1.0,0.5,0.2,1.1,2.2,1.3,0.4,1.2,0.0,0.3,0.6,0.0,0
19,Jérémy Doku,313,Rennes,21, AM(LR)  ,13(16),1287,2,1.0,17.0,86.4,0.2,0.2,0.0,7.08,6,0,0,0.9,0.1,4,3.3,1.2,0.0,0.8,1.5,0.9,0.2,0.6,0.0,0.1,0.4,0.0,0
71,Baptiste Santamaría,313,Rennes,28, DMC  ,20(5),1815,0,0.5,52.3,85.5,0.0,3.9,0.0,6.84,2,2,0,0.8,2.4,1,0.4,0.8,0.0,0.4,1.2,1.6,0.8,0.9,0.0,0.9,0.8,0.2,0
76,Adrien Truffert,313,Rennes,21," D(L),M(L)  ",24(4),1962,6,0.8,40.5,80.8,0.4,1.0,0.0,6.83,0,2,0,0.4,1.2,1,0.8,0.9,0.1,0.5,1.0,2.2,0.8,0.7,0.2,1.6,0.5,0.3,0
81,Hamari Traoré,313,Rennes,31," D(R),M(R)  ",28(3),2531,4,0.7,51.2,87.0,0.5,2.1,0.1,6.82,1,5,0,1.0,1.1,0,0.3,0.2,0.1,0.3,0.8,1.5,1.2,1.1,0.2,1.9,0.8,0.2,0
126,Lovro Majer,313,Rennes,25, AM(CR)  ,18(14),1670,5,1.1,28.0,82.1,0.5,1.1,0.1,6.72,2,3,0,1.1,0.2,1,0.9,0.9,0.1,1.0,1.4,1.1,0.7,1.5,0.0,0.1,0.7,0.0,0
130,Désiré Doué,313,Rennes,18, AM(C)  ,11(15),1116,1,0.6,16.2,81.2,0.3,0.9,0.0,6.71,3,5,0,0.8,0.4,1,1.8,1.1,0.2,1.2,1.3,1.4,0.5,1.4,0.0,0.1,0.7,0.0,0
132,Arthur Theate,313,Rennes,23, D(C)  ,35,3129,0,0.3,73.0,89.6,0.0,3.7,0.0,6.71,4,5,0,0.9,2.0,1,0.2,0.4,0.0,0.1,0.4,0.8,0.9,0.7,0.8,3.2,0.4,0.4,1
134,Steve Mandanda,313,Rennes,38, GK  ,34,3016,1,0.0,30.8,71.9,0.0,6.4,0.0,6.7,0,1,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0
165,Flavien Tait,313,Rennes,30, M(CLR)  ,19(11),1685,2,0.8,35.8,86.5,0.0,2.4,0.1,6.62,2,2,0,0.8,0.2,1,0.7,1.0,0.0,1.0,0.8,1.0,0.7,0.8,0.0,0.3,0.8,0.1,0
166,Arnaud Kalimuendo,313,Rennes,21, FW  ,24(6),1862,3,0.4,14.1,84.4,0.0,0.1,0.0,6.62,7,0,0,1.4,0.4,1,0.8,0.8,0.2,1.2,1.9,0.5,0.1,0.5,0.0,0.3,0.5,0.1,0
222,Lesley Ugochukwu,313,Rennes,19, DMC  ,14(12),1330,1,0.1,24.8,87.6,0.0,1.2,0.0,6.48,0,3,1,0.2,0.6,0,0.5,0.5,0.0,0.4,0.2,1.4,0.8,1.1,0.0,0.6,0.3,0.4,0
262,Birger Meling,313,Rennes,28," D(LR),DMC  ",10(17),1200,1,0.3,23.8,86.2,0.1,1.0,0.0,6.37,0,3,1,0.0,0.5,0,0.2,0.6,0.1,0.3,0.4,0.9,0.9,0.7,0.2,0.8,0.5,0.1,0
