Name,Position,Date of Birth,Age,Nationality,Market Value
Brice Samba,Goalkeeper,"Apr 25, 1994",29,France,€13.00m
Wuilker Fariñez,Goalkeeper,"Feb 15, 1998",25,Venezuela,€3.50m
Jean-Louis Leca,Goalkeeper,"Sep 21, 1985",37,France,€200k
Yannick Pandor,Goalkeeper,"May 1, 2001",22,Comoros,€150k
Kevin Danso,Centre-Back,"Sep 19, 1998",24,Austria,€22.00m
Facundo Medina,Centre-Back,"May 28, 1999",24,Argentina,€22.00m
Christopher Wooh,Centre-Back,"Sep 18, 2001",21,Cameroon,€6.00m
Jonathan Gradit,Centre-Back,"Nov 24, 1992",30,France,€5.00m
Julien Le Cardinal,Centre-Back,"Aug 3, 1997",25,France,€2.00m
Steven Fortes,Centre-Back,"Apr 17, 1992",31,Cape Verde,€400k
Adrien Louveau,Centre-Back,"Feb 1, 2000",23,France,€100k
Ismaëlo Ganiou,Centre-Back,"Mar 14, 2005",18,France,€50k
Deiver Machado,Left-Back,"Sep 2, 1993",29,Colombia,€4.00m
Massadio Haidara,Left-Back,"Dec 2, 1992",30,Mali,€3.00m
Ismaël Boura,Left-Back,"Aug 14, 2000",22,Comoros,€1.00m
Salis Abdul Samed,Defensive Midfield,"Mar 26, 2000",23,Ghana,€18.00m
Jean Onana,Defensive Midfield,"Jan 8, 2000",23,Cameroon,€6.00m
Patrick Berg,Defensive Midfield,"Nov 24, 1997",25,Norway,€4.50m
Yacouba Barry,Defensive Midfield,"Nov 25, 2002",20,France,€100k
Fodé Sylla,Defensive Midfield,"Apr 16, 2006",17,France,-
Seko Fofana,Central Midfield,"May 7, 1995",28,Cote d'Ivoire,€32.00m
Lukasz Poreba,Central Midfield,"Mar 13, 2000",23,Poland,€2.00m
Mamadou Camara,Central Midfield,"Oct 15, 2002",20,Senegal,€250k
Yaya Fofana,Central Midfield,"Jun 12, 2004",19,Cote d'Ivoire,€150k
Przemyslaw Frankowski,Right Midfield,"Apr 12, 1995",28,Poland,€9.00m
Jimmy Cabot,Right Midfield,"Apr 18, 1994",29,France,€3.50m
Angelo Fulgini,Attacking Midfield,"Aug 20, 1996",26,France,€9.00m
David Pereira da Costa,Attacking Midfield,"Jan 5, 2001",22,Portugal,€8.00m
Adrien Thomasson,Attacking Midfield,"Dec 10, 1993",29,France,€6.00m
Alexis Claude-Maurice,Attacking Midfield,"Jun 6, 1998",25,France,€4.50m
Gaël Kakuta,Attacking Midfield,"Jun 21, 1991",32,DR Congo,€1.80m
Nolan Bonte,Attacking Midfield,"Jan 19, 2004",19,France,€100k
Loïs Openda,Centre-Forward,"Feb 16, 2000",23,Belgium,€35.00m
Adam Buksa,Centre-Forward,"Jul 12, 1996",26,Poland,€5.00m
Ignatius Ganago,Centre-Forward,"Feb 16, 1999",24,Cameroon,€4.00m
Florian Sotoca,Centre-Forward,"Oct 25, 1990",32,France,€4.00m
Wesley Saïd,Centre-Forward,"Apr 19, 1995",28,France,€2.00m
Rémy Labeau Lascary,Centre-Forward,"Mar 3, 2003",20,Guadeloupe,€500k
Ibrahima Baldé,Centre-Forward,"Jan 17, 2003",20,France,€400k
