Name,Position,Date of Birth,Age,Nationality,Market Value
Yvon Mvogo,Goalkeeper,"Jun 6, 1994",29,Switzerland,€3.50m
Paul Nardi,Goalkeeper,"May 18, 1994",29,France,€3.00m
Julian Pollersbeck,Goalkeeper,"Aug 16, 1994",28,Germany,€500k
Vito Mannone,Goalkeeper,"Mar 2, 1988",35,Italy,€300k
Teddy Bartouche,Goalkeeper,"Jun 5, 1997",26,Guadeloupe,€150k
Montassar Talbi,Centre-Back,"May 26, 1998",25,Tunisia,€8.00m
Chrislain Matsima,Centre-Back,"May 15, 2002",21,France,€6.00m
Julien Laporte,Centre-Back,"Nov 4, 1993",29,France,€2.50m
Bamo Meïté,Centre-Back,"Dec 3, 2001",21,Cote d'Ivoire,€2.50m
Léo Pétrot,Centre-Back,"Apr 15, 1997",26,France,€900k
Loris Mouyokolo,Centre-Back,"May 22, 2001",22,France,€500k
Maxime Wackers,Centre-Back,"Jan 1, 1998",25,France,€150k
Aurélien Pelon,Centre-Back,"May 6, 2004",19,France,€50k
Paul Mbelek,Centre-Back,"Jul 22, 1999",23,France,-
Darlin Yongwa,Left-Back,"Sep 22, 2000",22,Cameroon,€1.20m
Vincent Le Goff,Left-Back,"Oct 15, 1989",33,France,€1.00m
Samuel Loric,Left-Back,"Jul 5, 2000",22,France,€500k
Gédéon Kalulu,Right-Back,"Aug 29, 1997",25,DR Congo,€5.00m
Igor Silva,Right-Back,"Aug 21, 1996",26,Brazil,€1.50m
Laurent Abergel,Defensive Midfield,"Feb 1, 1993",30,France,€3.00m
Bonke Innocent,Defensive Midfield,"Jan 20, 1996",27,Nigeria,€2.00m
Jean-Victor Makengo,Central Midfield,"Jun 12, 1998",25,France,€10.00m
Ayman Kari,Central Midfield,"Nov 19, 2004",18,France,€1.00m
Paul Bellon,Central Midfield,"Jan 15, 2000",23,France,€100k
Romain Faivre,Right Midfield,"Jul 14, 1998",24,France,€10.00m
Théo Le Bris,Left Midfield,"Oct 1, 2002",20,France,€3.00m
Enzo Le Fée,Attacking Midfield,"Feb 3, 2000",23,France,€20.00m
Julien Ponceau,Attacking Midfield,"Nov 28, 2000",22,France,€2.50m
Adil Aouchiche,Attacking Midfield,"Jul 15, 2002",20,France,€2.20m
Quentin Boisgard,Attacking Midfield,"Mar 17, 1997",26,France,€1.00m
Eli Junior Kroupi,Attacking Midfield,"Jun 23, 2006",17,France,€400k
Armand Laurienté,Left Winger,"Dec 4, 1998",24,France,€18.00m
Yoann Cathline,Left Winger,"Jul 22, 2002",20,France,€2.00m
Erwan Colas,Left Winger,"Apr 22, 1997",26,France,-
Dango Ouattara,Right Winger,"Feb 11, 2002",21,Burkina Faso,€25.00m
Stéphane Diarra,Right Winger,"Dec 9, 1998",24,Cote d'Ivoire,€2.50m
Terem Moffi,Centre-Forward,"May 25, 1999",24,Nigeria,€20.00m
Bamba Dieng,Centre-Forward,"Mar 23, 2000",23,Senegal,€8.00m
Ibrahima Koné,Centre-Forward,"Jun 16, 1999",24,Mali,€4.00m
Adrian Grbic,Centre-Forward,"Aug 4, 1996",26,Austria,€1.50m
Pablo Pagis,Centre-Forward,"Dec 29, 2002",20,France,€1.50m
Siriné Doucouré,Centre-Forward,"Apr 8, 2002",21,Mali,€500k
