Name,Position,Date of Birth,Age,Nationality,Market Value
Pau López,Goalkeeper,"Dec 13, 1994",28,Spain,€14.00m
Rubén Blanco,Goalkeeper,"Jul 25, 1995",27,Spain,€4.00m
Simon Ngapandouetnbu,Goalkeeper,"Apr 12, 2003",20,Cameroon,€400k
Chancel Mbemba,Centre-Back,"Aug 8, 1994",28,DR Congo,€20.00m
Duje Caleta-Car,Centre-Back,"Sep 17, 1996",26,Croatia,€11.00m
Samuel Gigot,Centre-Back,"Oct 12, 1993",29,France,€10.00m
Leonardo Balerdi,Centre-Back,"Jan 26, 1999",24,Argentina,€10.00m
Sead Kolasinac,Centre-Back,"Jun 20, 1993",30,Bosnia-Herzegovina,€8.00m
Isaak Touré,Centre-Back,"Mar 28, 2003",20,France,€6.00m
Eric Bailly,Centre-Back,"Apr 12, 1994",29,Cote d'Ivoire,€5.00m
Yakine Said M'Madi,Centre-Back,"Mar 11, 2004",19,Comoros,€150k
Nuno Tavares,Left-Back,"Jan 26, 2000",23,Portugal,€18.00m
Jonathan Clauss,Right-Back,"Sep 25, 1992",30,France,€14.00m
Issa Kaboré,Right-Back,"May 12, 2001",22,Burkina Faso,€7.00m
Pol Lirola,Right-Back,"Aug 13, 1997",25,Spain,€2.00m
Pape Gueye,Defensive Midfield,"Jan 24, 1999",24,Senegal,€10.00m
Bartuğ Elmaz,Defensive Midfield,"Feb 19, 2003",20,Türkiye,€300k
Raimane Daou,Defensive Midfield,"Nov 20, 2004",18,Comoros,-
Mattéo Guendouzi,Central Midfield,"Apr 14, 1999",24,France,€25.00m
Valentin Rongier,Central Midfield,"Dec 7, 1994",28,France,€22.00m
Gerson,Central Midfield,"May 20, 1997",26,Brazil,€16.00m
Jordan Veretout,Central Midfield,"Mar 1, 1993",30,France,€16.00m
Azzedine Ounahi,Central Midfield,"Apr 19, 2000",23,Morocco,€12.00m
Esey Gebreyesus,Right Midfield,"Jan 23, 2004",19,Switzerland,€100k
Emran Soglo,Left Midfield,"Jul 11, 2005",17,England,-
Ruslan Malinovskyi,Attacking Midfield,"May 4, 1993",30,Ukraine,€15.00m
Amine Harit,Attacking Midfield,"Jun 18, 1997",26,Morocco,€12.00m
Dimitri Payet,Attacking Midfield,"Mar 29, 1987",36,France,€1.80m
Salim Ben Seghir,Left Winger,"Feb 24, 2003",20,France,€500k
Cengiz Ünder,Right Winger,"Jul 14, 1997",25,Türkiye,€20.00m
François Mughe,Right Winger,"Jun 16, 2004",19,Cameroon,€300k
Vitinha,Centre-Forward,"Mar 15, 2000",23,Portugal,€18.00m
Arkadiusz Milik,Centre-Forward,"Feb 28, 1994",29,Poland,€8.00m
Luis Suárez,Centre-Forward,"Dec 2, 1997",25,Colombia,€8.00m
Bamba Dieng,Centre-Forward,"Mar 23, 2000",23,Senegal,€8.00m
Cédric Bakambu,Centre-Forward,"Apr 11, 1991",32,DR Congo,€5.00m
Alexis Sánchez,Centre-Forward,"Dec 19, 1988",34,Chile,€4.00m
