Name,Position,Date of Birth,Age,Nationality,Market Value
Kasper Schmeichel,Goalkeeper,"Nov 5, 1986",36,Denmark,€2.00m
Marcin Bulka,Goalkeeper,"Oct 4, 1999",23,Poland,€2.00m
Teddy Boulhendi,Goalkeeper,"Apr 9, 2001",22,Algeria,€150k
Enzo Garrido,Goalkeeper,"Jul 26, 2003",19,France,-
Jean-Clair Todibo,Centre-Back,"Dec 30, 1999",23,France,€30.00m
Flavius Daniliuc,Centre-Back,"Apr 27, 2001",22,Austria,€8.00m
Mattia Viti,Centre-Back,"Jan 24, 2002",21,Italy,€7.00m
Mads Bech Sörensen,Centre-Back,"Jan 7, 1999",24,Denmark,€2.50m
Dante,Centre-Back,"Oct 18, 1983",39,Brazil,€600k
Yannis Nahounou,Centre-Back,"May 16, 2004",19,France,€150k
Melvin Bard,Left-Back,"Nov 6, 2000",22,France,€7.00m
Ayoub Amraoui,Left-Back,"May 14, 2004",19,Morocco,€2.50m
Joe Bryan,Left-Back,"Sep 17, 1993",29,England,€2.20m
Jordan Lotomba,Right-Back,"Sep 29, 1998",24,Switzerland,€8.00m
Youcef Atal,Right-Back,"May 17, 1996",27,Algeria,€7.00m
Antoine Mendy,Right-Back,"May 27, 2004",19,France,€1.00m
Youssouf Ndayishimiye,Defensive Midfield,"Oct 27, 1998",24,Burundi,€12.00m
Mario Lemina,Defensive Midfield,"Sep 1, 1993",29,Gabon,€10.00m
Pablo Rosario,Defensive Midfield,"Jan 7, 1997",26,Netherlands,€6.00m
Alexis Beka Beka,Defensive Midfield,"Mar 29, 2001",22,France,€4.50m
Reda Belahyane,Defensive Midfield,"Jun 1, 2004",19,France,€300k
Théo Trinker,Defensive Midfield,"Jun 20, 2001",22,France,€100k
Khéphren Thuram,Central Midfield,"Mar 26, 2001",22,France,€40.00m
Hicham Boudaoui,Central Midfield,"Sep 23, 1999",23,Algeria,€8.00m
Ross Barkley,Central Midfield,"Dec 5, 1993",29,England,€6.00m
Aaron Ramsey,Central Midfield,"Dec 26, 1990",32,Wales,€2.50m
Soudeysse Kari,Central Midfield,"Feb 7, 2002",21,France,€100k
Tom Louchet,Central Midfield,"May 4, 2003",20,France,€100k
Daouda Traoré,Central Midfield,"Jul 22, 2006",16,France,€100k
Calvin Stengs,Attacking Midfield,"Dec 18, 1998",24,Netherlands,€10.00m
Alexis Claude-Maurice,Attacking Midfield,"Jun 6, 1998",25,France,€4.50m
Andrea Dacourt,Attacking Midfield,"Jul 30, 2005",17,France,-
Amine Gouiri,Left Winger,"Feb 16, 2000",23,Algeria,€35.00m
Sofiane Diop,Left Winger,"Jun 9, 2000",23,Morocco,€15.00m
Billal Brahimi,Left Winger,"Mar 14, 2000",23,Algeria,€7.00m
Rares Ilie,Left Winger,"Apr 19, 2003",20,Romania,€2.50m
Nicolas Pépé,Right Winger,"May 29, 1995",28,Cote d'Ivoire,€18.00m
Badredine Bouanani,Right Winger,"Dec 8, 2004",18,Algeria,€6.00m
Terem Moffi,Centre-Forward,"May 25, 1999",24,Nigeria,€20.00m
Gaëtan Laborde,Centre-Forward,"May 3, 1994",29,France,€16.00m
Andy Delort,Centre-Forward,"Oct 9, 1991",31,Algeria,€7.00m
