player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Teun Koopmeiners,300,Atalanta,25," D(C),M(C)  ",32(1),2861,4,1.8,46.5,78.1,1.5,2.8,0.1,7.11,10,7,0,1.8,1.2,2,0.9,0.8,0.2,1.0,1.5,1.4,0.6,1.5,0.1,1.0,0.8,0.2,0
Ademola Lookman,300,Atalanta,25," AM(CLR),FW  ",20(11),1737,6,1.3,19.3,78.6,0.4,0.2,0.1,6.91,13,3,0,1.7,0.1,1,1.1,1.2,0.4,1.5,1.5,0.4,0.1,0.8,0.0,0.0,0.4,0.0,0
Rafael Tolói,300,Atalanta,32, D(C)  ,32,2791,1,0.5,51.0,81.3,0.1,3.1,0.0,6.82,2,8,0,0.9,1.3,3,0.2,0.6,0.1,0.2,0.7,2.2,1.8,1.2,0.3,2.7,0.9,0.6,0
Davide Zappacosta,300,Atalanta,31," D(LR),M(LR)  ",18(3),1479,2,0.7,32.2,87.1,0.6,0.5,0.0,6.8,4,4,0,1.2,0.1,2,0.8,0.6,0.1,0.7,1.2,1.6,0.4,0.9,0.0,0.7,0.3,0.1,0
Jérémie Boga,300,Atalanta,26," AM(CLR),FW  ",5(18),770,5,1.5,18.0,85.0,1.0,0.9,0.0,6.78,2,0,0,0.6,0.2,1,2.1,0.7,0.0,0.5,1.3,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0
Marten de Roon,300,Atalanta,32," D(C),DMC  ",34(1),2966,1,0.6,53.7,83.6,0.0,3.5,0.0,6.78,3,7,0,0.5,1.5,0,0.1,0.7,0.0,0.4,0.5,2.2,1.0,1.3,0.1,1.6,1.3,0.1,0
Berat Djimsiti,300,Atalanta,30, D(C)  ,20(4),1799,1,0.2,44.9,87.1,0.0,1.6,0.0,6.71,0,3,0,0.2,2.5,0,0.2,0.3,0.0,0.2,0.4,1.4,1.5,0.6,0.3,3.1,0.3,0.3,0
Éderson,300,Atalanta,23, M(C)  ,25(10),2226,1,0.6,30.6,81.9,0.1,1.8,0.0,6.71,1,4,0,1.0,0.6,0,1.1,1.2,0.0,0.9,1.4,1.9,1.0,0.8,0.0,0.7,1.1,0.2,0
Rasmus Højlund,300,Atalanta,20, FW  ,20(12),1836,2,0.8,13.3,74.3,0.1,0.3,0.0,6.67,9,1,0,1.7,1.0,3,0.9,1.0,0.2,1.8,2.9,0.1,0.0,0.7,0.0,0.2,0.2,0.0,0
Giorgio Scalvini,300,Atalanta,19, D(C)  ,29(3),2346,2,0.3,45.8,81.5,0.1,2.2,0.0,6.63,2,7,0,0.5,1.5,0,0.4,0.2,0.2,0.3,0.6,1.7,1.8,1.7,0.1,1.7,0.9,0.4,0
Juan Musso,300,Atalanta,29, GK  ,24,2078,0,0.0,23.0,65.9,0.0,5.2,0.0,6.58,0,1,0,0.0,0.0,0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
Merih Demiral,300,Atalanta,25, D(C)  ,14(14),1525,0,0.1,23.2,85.8,0.0,1.3,0.0,6.57,1,5,0,0.2,1.9,1,0.1,0.5,0.0,0.1,0.2,1.5,0.9,0.5,0.5,1.9,0.4,0.3,0
Mario Pasalic,300,Atalanta,28, M(CLR)  ,24(8),1789,2,0.5,21.6,80.9,0.1,0.7,0.0,6.52,5,3,0,1.0,1.2,1,0.3,0.5,0.1,0.8,1.1,0.7,0.7,0.8,0.0,0.4,0.5,0.1,0
Duván Zapata,300,Atalanta,32, FW  ,16(9),1393,2,0.7,14.9,72.3,0.2,0.4,0.0,6.51,2,1,0,1.6,1.7,0,0.8,1.5,0.3,1.8,2.1,0.3,0.2,0.7,0.0,0.6,0.1,0.1,0
Joakim Mæhle,300,Atalanta,26," D(LR),M(LR)  ",25(9),2214,3,1.1,34.7,81.6,0.3,0.8,0.0,6.5,3,5,1,0.8,0.1,0,0.5,0.6,0.2,0.7,1.1,0.9,0.7,0.5,0.0,0.6,0.5,0.2,0
Luis Muriel,300,Atalanta,32," AM(CL),FW  ",10(19),1071,3,1.3,15.3,72.0,0.8,0.9,0.1,6.5,3,0,2,1.2,0.4,2,1.2,0.5,0.1,0.9,1.7,0.3,0.1,0.6,0.0,0.1,0.4,0.0,0
