player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Stefan Posch,71,Bologna,26, D(CR)  ,30,2541,2,0.8,49.2,76.7,0.3,3.9,0.1,6.96,6,6,0,0.9,0.9,7,0.5,0.9,0.0,0.4,1.3,2.7,1.2,1.6,0.2,2.0,1.0,0.5,0
Nicolás Domínguez,71,Bologna,24, M(C)  ,26(5),2309,2,1.2,44.0,83.7,0.1,1.9,0.2,6.91,3,10,0,1.4,1.2,1,0.8,1.0,0.1,0.7,1.6,2.5,0.7,1.4,0.0,0.8,1.2,0.1,0
Lukasz Skorupski,71,Bologna,32, GK  ,37,3330,0,0.0,27.2,74.8,0.0,5.5,0.0,6.79,0,4,0,0.0,0.2,2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0
Riccardo Orsolini,71,Bologna,26," M(CR),FW  ",22(10),2122,4,1.4,23.8,68.1,1.0,1.7,0.0,6.77,11,6,2,2.9,0.5,3,1.1,1.3,0.6,1.1,2.2,0.9,0.3,1.2,0.0,0.4,0.8,0.1,0
Lewis Ferguson,71,Bologna,23, M(C)  ,27(5),2324,0,0.5,37.2,86.1,0.1,0.5,0.0,6.73,7,4,0,1.3,0.9,2,0.3,1.3,0.2,0.5,1.0,1.4,0.6,1.6,0.0,0.8,0.6,0.2,0
Marko Arnautovic,71,Bologna,34," AM(CLR),FW  ",18(3),1540,0,1.0,21.3,72.3,0.0,0.5,0.0,6.7,10,5,0,1.5,0.5,1,0.6,1.0,0.5,0.9,2.0,0.4,0.1,1.0,0.0,0.5,0.2,0.0,0
Jerdy Schouten,71,Bologna,26, DMC  ,29(4),2516,2,0.6,45.2,87.1,0.0,1.4,0.0,6.7,0,3,0,0.2,0.8,0,0.8,0.9,0.1,0.8,1.3,1.9,1.2,0.8,0.0,1.2,0.7,0.5,1
Nikola Moro,71,Bologna,25, DMC  ,12(14),1224,5,0.7,29.9,81.6,0.1,2.0,0.2,6.64,1,1,0,0.8,0.8,0,0.7,0.4,0.0,0.3,0.5,1.2,0.3,0.6,0.0,0.7,0.8,0.1,0
Musa Barrow,71,Bologna,24," AM(CL),FW  ",26(6),1971,8,1.3,21.2,79.8,0.9,0.9,0.0,6.62,3,3,0,2.0,0.4,0,0.8,0.6,0.2,1.0,1.6,0.7,0.0,0.6,0.0,0.2,0.2,0.0,0
Jhon Lucumí,71,Bologna,25, D(C)  ,33,2902,1,0.3,58.9,88.8,0.0,3.9,0.0,6.6,0,8,0,0.3,1.2,0,0.1,0.5,0.0,0.2,0.6,1.6,1.1,0.9,0.4,2.8,0.6,0.8,1
Andrea Cambiaso,71,Bologna,23," D(LR),M(L)  ",25(7),2172,3,0.9,39.1,85.7,0.3,1.3,0.0,6.59,0,2,0,0.5,0.1,1,1.0,0.9,0.2,0.6,1.3,1.8,0.8,0.8,0.1,0.8,1.2,0.1,0
Charalampos Lykogiannis,71,Bologna,29," D(CL),M(L)  ",11(10),1105,0,0.9,26.4,75.3,0.8,1.3,0.0,6.53,2,3,0,0.9,0.9,0,0.2,0.5,0.0,0.0,0.5,0.8,0.7,0.7,0.2,1.1,0.4,0.2,0
Adama Soumaoro,71,Bologna,31, D(CR)  ,22(1),1873,0,0.0,46.4,93.3,0.0,1.7,0.0,6.49,0,3,1,0.1,1.3,0,0.1,0.5,0.0,0.0,0.3,1.1,0.7,0.9,0.5,3.1,0.1,0.6,0
Roberto Soriano,71,Bologna,32, AM(CLR)  ,15(12),1326,3,0.7,21.8,81.1,0.1,0.7,0.1,6.48,1,1,0,0.5,0.4,0,0.2,1.2,0.1,0.6,0.8,1.1,0.2,0.7,0.0,0.5,0.5,0.1,0
Joshua Zirkzee,71,Bologna,22, FW  ,5(14),809,2,0.8,13.3,77.9,0.0,0.1,0.1,6.44,2,2,0,1.5,0.6,0,0.8,0.5,0.1,1.3,1.9,0.2,0.2,0.4,0.0,0.2,0.3,0.1,0
Gary Medel,71,Bologna,35," D(C),DMC  ",17(12),1477,1,0.2,37.8,89.8,0.0,2.3,0.0,6.39,0,5,0,0.1,0.5,0,0.1,0.6,0.0,0.1,0.2,0.9,1.0,0.7,0.0,1.1,0.3,0.3,0
Michel Aebischer,71,Bologna,26, M(CR)  ,18(14),1541,0,0.5,19.9,84.9,0.1,0.6,0.0,6.18,1,4,0,0.5,0.3,0,0.2,0.7,0.2,0.5,0.9,0.4,0.2,0.7,0.0,0.3,0.5,0.1,0
