player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Antonio Sanabria,72,Torino,27, FW  ,28(5),2442,4,0.8,20.8,76.1,0.0,0.5,0.0,6.82,12,4,0,2.1,2.6,4,0.7,0.8,0.4,0.9,2.5,0.3,0.1,1.0,0.0,0.2,0.2,0.1,0
Alessandro Buongiorno,72,Torino,24, D(C)  ,30(4),2723,2,0.2,45.7,85.1,0.1,1.1,0.0,6.77,1,8,0,0.6,2.9,2,0.2,1.1,0.0,0.2,1.0,1.1,1.8,1.9,0.3,2.9,0.4,0.6,0
Nikola Vlasic,72,Torino,25," AM(CLR),FW  ",29(5),2732,6,1.9,27.2,81.7,0.4,0.5,0.0,6.74,5,1,0,1.6,0.8,1,0.9,1.1,0.4,1.4,2.8,0.9,0.3,0.9,0.0,0.3,0.6,0.1,0
Ola Aina,72,Torino,26," D(CLR),M(LR)  ",9(10),874,1,0.6,21.5,76.5,0.6,0.7,0.0,6.68,1,5,0,0.4,0.6,2,1.2,0.8,0.1,0.4,0.8,0.9,0.6,0.8,0.1,1.0,0.3,0.1,0
Perr Schuurs,72,Torino,23, D(C)  ,28(2),2334,2,0.2,39.8,88.2,0.0,1.9,0.0,6.67,0,5,0,0.5,2.0,0,0.3,0.1,0.1,0.2,0.7,1.7,0.9,1.0,0.4,3.2,0.4,0.5,0
Ricardo Rodríguez,72,Torino,30," D(CL),M(L)  ",30(5),2670,0,0.8,45.4,84.1,0.7,2.2,0.0,6.65,0,3,0,0.3,0.9,0,0.2,0.2,0.0,0.3,0.4,1.5,1.1,0.7,0.1,1.6,0.4,0.4,0
Aleksey Miranchuk,72,Torino,27," M(CR),FW  ",24(5),2099,5,1.5,26.9,81.4,0.3,1.2,0.1,6.64,4,0,0,1.4,0.3,0,0.5,0.8,0.0,0.9,1.6,0.4,0.1,0.3,0.0,0.2,0.3,0.0,0
Wilfried Singo,72,Torino,22, M(R)  ,24(7),2056,1,0.7,28.6,76.8,0.4,1.5,0.1,6.64,2,8,0,1.1,1.7,0,1.0,1.1,0.0,0.5,1.1,0.9,0.4,1.4,0.1,0.9,0.2,0.1,0
Samuele Ricci,72,Torino,21, M(C)  ,23(5),2073,1,0.6,40.9,89.5,0.3,1.6,0.0,6.62,2,6,0,0.8,0.4,0,0.3,2.1,0.0,0.6,0.8,1.1,0.6,0.8,0.0,0.9,0.2,0.2,0
Vanja Milinkovic-Savic,72,Torino,26, GK  ,38,3420,0,0.0,42.3,57.9,0.0,8.6,0.0,6.58,0,4,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0
Valentino Lazaro,72,Torino,27," D(R),M(CLR)  ",15(8),1377,3,1.3,29.1,78.1,1.1,1.1,0.0,6.52,0,4,0,0.3,0.6,2,0.7,0.1,0.0,0.2,0.7,0.4,0.1,0.6,0.1,1.0,0.4,0.1,0
Koffi Djidji,72,Torino,30, D(CL)  ,26(8),2422,0,0.1,41.5,87.4,0.1,1.4,0.0,6.5,1,3,0,0.2,1.4,1,0.1,0.1,0.0,0.2,0.2,1.5,1.0,0.8,0.2,2.0,0.4,0.4,0
Nemanja Radonjic,72,Torino,27," M(CLR),FW  ",16(12),1458,2,0.6,13.9,71.8,0.5,0.3,0.0,6.49,2,1,0,1.9,0.3,4,1.8,0.6,0.4,1.2,1.9,0.1,0.1,0.6,0.0,0.1,0.1,0.0,0
Mërgim Vojvoda,72,Torino,28," D(CR),M(LR)  ",18(11),1717,5,0.8,32.5,78.8,0.3,1.6,0.1,6.48,0,3,0,0.8,0.3,0,0.4,0.2,0.1,0.6,0.7,0.8,0.3,0.7,0.0,0.8,0.4,0.1,0
Karol Linetty,72,Torino,28, M(CLR)  ,22(10),1888,0,0.6,29.4,87.3,0.3,1.1,0.0,6.42,1,8,0,0.5,0.8,1,0.3,0.7,0.1,0.3,0.8,1.0,0.6,1.6,0.0,0.7,0.4,0.3,0
Yann Karamoh,72,Torino,24," AM(CLR),FW  ",7(14),710,0,0.5,9.5,79.4,0.2,0.2,0.0,6.42,4,2,0,1.0,0.3,1,1.2,0.6,0.6,0.6,1.6,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0
Demba Seck,72,Torino,22, Forward  ,6(13),516,0,0.3,8.2,80.1,0.0,0.0,0.1,6.23,0,0,0,0.5,0.4,0,0.8,0.9,0.3,0.7,1.3,0.3,0.1,0.4,0.0,0.1,0.1,0.1,0
