player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Destiny Udogie,86,Udinese,20, M(L)  ,31(2),2714,4,1.0,29.2,83.0,0.2,0.6,0.0,6.87,3,5,0,0.8,0.5,0,1.5,1.8,0.2,1.1,1.8,2.2,1.1,1.1,0.2,0.5,0.8,0.2,0
Jaka Bijol,86,Udinese,24," D(C),M(C),FW  ",32,2732,2,0.3,42.9,85.0,0.0,3.7,0.1,6.86,3,10,0,0.6,2.8,2,0.1,0.2,0.0,0.1,0.3,1.2,0.9,0.9,0.6,5.1,0.3,0.8,0
Roberto Pereyra,86,Udinese,32," M(CLR),FW  ",33(1),2837,7,1.4,33.7,84.5,0.6,1.1,0.0,6.77,5,7,0,1.2,0.1,3,1.1,1.4,0.1,1.1,1.6,1.1,0.5,0.9,0.0,0.6,0.8,0.1,0
Rodrigo Becão,86,Udinese,27, D(C)  ,28,2487,1,0.4,43.9,80.3,0.1,2.9,0.0,6.75,2,11,1,0.7,2.3,1,0.2,1.1,0.2,0.1,0.6,2.5,0.9,1.4,0.4,2.2,0.5,0.9,1
Lazar Samardzic,86,Udinese,21, AM(C)  ,19(18),1848,4,1.3,21.4,85.4,0.9,2.3,0.0,6.7,5,1,0,1.4,0.3,2,0.8,0.4,0.0,0.5,0.8,0.9,0.3,0.7,0.0,0.4,0.7,0.0,0
Sandi Lovric,86,Udinese,25, AM(C)  ,28(9),2351,6,1.3,23.7,83.9,0.7,1.4,0.0,6.66,5,4,0,1.9,0.2,1,0.4,0.9,0.0,0.6,1.4,1.1,0.7,0.8,0.0,0.5,0.5,0.1,0
Beto,86,Udinese,25, FW  ,23(10),2132,1,0.7,8.8,65.7,0.0,0.2,0.0,6.66,10,2,0,1.8,2.2,3,1.0,0.8,0.3,1.3,3.5,0.5,0.2,1.1,0.0,0.9,0.4,0.1,0
Walace,86,Udinese,28, DMC  ,37,3200,1,0.5,46.9,84.7,0.1,3.2,0.0,6.66,0,6,0,0.9,0.6,0,0.3,1.1,0.0,0.8,1.1,2.2,1.4,1.1,0.1,1.2,1.3,0.3,0
Nehuén Pérez,86,Udinese,23, D(C)  ,33(1),2831,0,0.3,49.0,86.4,0.1,4.4,0.0,6.65,2,7,1,0.5,1.1,1,0.1,0.3,0.0,0.3,0.4,2.3,1.0,0.9,0.4,2.8,0.5,0.7,1
Marco Silvestri,86,Udinese,32, GK  ,38,3420,0,0.0,27.2,75.0,0.0,4.6,0.0,6.55,0,0,0,0.0,0.3,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0
Isaac Success,86,Udinese,27," AM(LR),FW  ",21(9),1821,6,1.0,18.3,67.5,0.0,0.7,0.0,6.54,1,4,0,1.2,1.3,0,1.0,2.6,0.4,1.5,3.2,0.3,0.1,1.1,0.0,0.6,0.2,0.1,0
Kingsley Ehizibue,86,Udinese,28," D(R),M(R)  ",16(11),1534,0,0.3,17.0,75.5,0.3,0.6,0.0,6.47,2,7,0,0.5,0.6,1,0.5,0.7,0.0,0.4,0.7,1.7,0.4,1.2,0.1,1.3,0.6,0.1,0
Enzo Ebosse,86,Udinese,24, D(C)  ,9(11),919,0,0.1,24.1,84.4,0.1,1.9,0.0,6.31,0,3,0,0.2,0.8,0,0.2,0.2,0.1,0.2,0.4,0.8,0.6,0.5,0.0,1.2,0.2,0.3,0
Ilija Nestorovski,86,Udinese,33, FW  ,5(16),626,1,0.1,7.7,71.6,0.0,0.2,0.1,6.31,2,3,0,0.7,0.6,0,0.1,1.0,0.2,0.1,0.7,0.3,0.1,0.9,0.0,0.5,0.3,0.0,0
Tolgay Arslan,86,Udinese,32, M(C)  ,12(24),1197,0,0.4,15.8,83.2,0.1,1.3,0.0,6.28,1,3,0,0.7,0.2,0,0.4,1.0,0.0,0.5,0.7,0.8,0.3,0.4,0.0,0.2,0.7,0.0,0
