Name,Position,Date of Birth,Age,Nationality,Market Value
Juan Musso,Goalkeeper,"May 6, 1994",29,Argentina,€8.00m
Marco Sportiello,Goalkeeper,"May 10, 1992",31,Italy,€1.50m
Tommaso Bertini,Goalkeeper,"Jan 13, 2004",19,Italy,€100k
Francesco Rossi,Goalkeeper,"Apr 27, 1991",32,Italy,€100k
Giorgio Scalvini,Centre-Back,"Dec 11, 2003",19,Italy,€40.00m
Merih Demiral,Centre-Back,"Mar 5, 1998",25,Türkiye,€20.00m
Caleb Okoli,Centre-Back,"Jul 13, 2001",21,Italy,€10.00m
Berat Djimsiti,Centre-Back,"Feb 19, 1993",30,Albania,€10.00m
Rafael Tolói,Centre-Back,"Oct 10, 1990",32,Italy,€6.00m
José Luis Palomino,Centre-Back,"Jan 5, 1990",33,Argentina,€2.50m
Tommaso Del Lungo,Centre-Back,"Nov 21, 2003",19,Italy,€100k
Iacopo Regonesi,Left-Back,"Mar 28, 2004",19,Italy,€200k
Lorenzo Bernasconi,Left-Back,"Nov 16, 2003",19,Italy,€75k
Joakim Maehle,Right-Back,"May 20, 1997",26,Denmark,€14.00m
Brandon Soppy,Right-Back,"Feb 21, 2002",21,France,€9.00m
Marten de Roon,Defensive Midfield,"Mar 29, 1991",32,Netherlands,€10.00m
Matteo Colombo,Defensive Midfield,"Mar 9, 2004",19,Italy,€125k
Mannah Chiwisa,Defensive Midfield,"Dec 12, 2003",19,Zambia,€125k
Leonardo Mendicino,Defensive Midfield,"Jun 25, 2006",17,Italy,-
Éderson,Central Midfield,"Jul 7, 1999",23,Brazil,€20.00m
Mario Pasalic,Central Midfield,"Feb 9, 1995",28,Croatia,€20.00m
Endri Muhameti,Central Midfield,"Jul 12, 2004",18,Albania,€150k
Simone Muratore,Central Midfield,"May 30, 1998",25,Italy,€100k
Davide Zappacosta,Right Midfield,"Jun 11, 1992",31,Italy,€7.00m
Hans Hateboer,Right Midfield,"Jan 9, 1994",29,Netherlands,€6.00m
Nadir Zortea,Right Midfield,"Jun 19, 1999",24,Italy,€2.00m
Marco Palestra,Right Midfield,"Mar 3, 2005",18,Italy,-
Matteo Ruggeri,Left Midfield,"Jul 11, 2002",20,Italy,€4.00m
Teun Koopmeiners,Attacking Midfield,"Feb 28, 1998",25,Netherlands,€30.00m
Ruslan Malinovskyi,Attacking Midfield,"May 4, 1993",30,Ukraine,€15.00m
Lukas Vorlicky,Attacking Midfield,"Jan 18, 2002",21,Czech Republic,€100k
Jérémie Boga,Left Winger,"Jan 3, 1997",26,Cote d'Ivoire,€14.00m
Ademola Lookman,Second Striker,"Oct 20, 1997",25,Nigeria,€30.00m
Tommaso De Nipoti,Second Striker,"Jul 23, 2003",19,Italy,€175k
Alessandro Falleni,Second Striker,"May 9, 2003",20,Italy,€25k
Rasmus Højlund,Centre-Forward,"Feb 4, 2003",20,Denmark,€45.00m
Duván Zapata,Centre-Forward,"Apr 1, 1991",32,Colombia,€8.00m
Luis Muriel,Centre-Forward,"Apr 16, 1991",32,Colombia,€5.00m
