Name,Position,Date of Birth,Age,Nationality,Market Value
Lukasz Skorupski,Goalkeeper,"May 5, 1991",32,Poland,€3.50m
Federico Ravaglia,Goalkeeper,"Nov 11, 1999",23,Italy,€450k
Francesco Bardi,Goalkeeper,"Jan 18, 1992",31,Italy,€400k
Nicola Bagnolini,Goalkeeper,"Mar 14, 2004",19,Italy,€200k
Francesco Raffaelli,Goalkeeper,"May 21, 2005",18,Italy,-
Jhon Lucumí,Centre-Back,"Jun 26, 1998",25,Colombia,€12.00m
Joaquín Sosa,Centre-Back,"Jan 10, 2002",21,Uruguay,€3.00m
Adama Soumaoro,Centre-Back,"Jun 18, 1992",31,France,€3.00m
Kevin Bonifazi,Centre-Back,"May 19, 1996",27,Italy,€2.80m
Gary Medel,Centre-Back,"Aug 3, 1987",35,Chile,€800k
Wisdom Amey,Centre-Back,"Aug 11, 2005",17,Italy,€700k
Matteo Angeli,Centre-Back,"Dec 30, 2002",20,Italy,€450k
Riccardo Stivanello,Centre-Back,"Apr 24, 2004",19,Italy,€250k
Mattia Motolese,Centre-Back,"Apr 13, 2004",19,Italy,€125k
Andrea Cambiaso,Left-Back,"Feb 20, 2000",23,Italy,€8.00m
Charalampos Lykogiannis,Left-Back,"Oct 22, 1993",29,Greece,€1.00m
Stefan Posch,Right-Back,"May 14, 1997",26,Austria,€14.00m
Denso Kasius,Right-Back,"Oct 6, 2002",20,Netherlands,€1.70m
Lorenzo De Silvestri,Right-Back,"May 23, 1988",35,Italy,€400k
Ibrahima Mbaye,Right-Back,"Nov 19, 1994",28,Senegal,€300k
Jerdy Schouten,Defensive Midfield,"Jan 12, 1997",26,Netherlands,€12.00m
Nikola Moro,Defensive Midfield,"Mar 12, 1998",25,Croatia,€6.50m
Nicolás Domínguez,Central Midfield,"Jun 28, 1998",25,Argentina,€17.00m
Michel Aebischer,Central Midfield,"Jan 6, 1997",26,Switzerland,€4.00m
Niklas Pyyhtiä,Central Midfield,"Sep 25, 2003",19,Finland,€600k
Kacper Urbanski,Central Midfield,"Sep 7, 2004",18,Poland,€600k
Kingsley Michael,Central Midfield,"Aug 26, 1999",23,Nigeria,€250k
Georgios Kyriakopoulos,Left Midfield,"Feb 5, 1996",27,Greece,€3.80m
Lewis Ferguson,Attacking Midfield,"Aug 24, 1999",23,Scotland,€12.00m
Roberto Soriano,Attacking Midfield,"Feb 8, 1991",32,Italy,€2.50m
Musa Barrow,Left Winger,"Nov 14, 1998",24,The Gambia,€11.00m
Nicola Sansone,Left Winger,"Sep 10, 1991",31,Italy,€1.50m
Riccardo Orsolini,Right Winger,"Jan 24, 1997",26,Italy,€12.00m
Emanuel Vignato,Right Winger,"Aug 24, 2000",22,Italy,€2.00m
Orji Okwonkwo,Right Winger,"Jan 19, 1998",25,Nigeria,-
Joshua Zirkzee,Centre-Forward,"May 22, 2001",22,Netherlands,€9.00m
Marko Arnautovic,Centre-Forward,"Apr 19, 1989",34,Austria,€5.00m
Antonio Raimondo,Centre-Forward,"Mar 18, 2004",19,Italy,€800k
