Name,Position,Date of Birth,Age,Nationality,Market Value
Ivan Provedel,Goalkeeper,"Mar 17, 1994",29,Italy,€12.00m
Luís Maximiano,Goalkeeper,"Jan 5, 1999",24,Portugal,€6.00m
Marius Adamonis,Goalkeeper,"May 13, 1997",26,Lithuania,€150k
Federico Magro,Goalkeeper,"Jan 10, 2005",18,Italy,-
Nicolò Casale,Centre-Back,"Feb 14, 1998",25,Italy,€22.00m
Alessio Romagnoli,Centre-Back,"Jan 12, 1995",28,Italy,€18.00m
Patric,Centre-Back,"Apr 17, 1993",30,Spain,€5.00m
Mario Gila,Centre-Back,"Aug 29, 2000",22,Spain,€3.00m
Fabio Ruggeri,Centre-Back,"Dec 13, 2004",18,Italy,€75k
Luca Pellegrini,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
Mohamed Salim Fares,Left-Back,"Feb 15, 1996",27,Algeria,€2.00m
Dimitrije Kamenovic,Left-Back,"Jul 16, 2000",22,Serbia,€700k
Ștefan Radu,Left-Back,"Oct 22, 1986",36,Romania,€300k
Adam Marusic,Right-Back,"Oct 17, 1992",30,Montenegro,€8.00m
Elseid Hysaj,Right-Back,"Feb 2, 1994",29,Albania,€5.00m
Djavan Anderson,Right-Back,"Apr 21, 1995",28,Suriname,€275k
Romano Floriani Mussolini,Right-Back,"Jan 27, 2003",20,Italy,€75k
Danilo Cataldi,Defensive Midfield,"Aug 6, 1994",28,Italy,€10.00m
Marco Bertini,Defensive Midfield,"Aug 7, 2002",20,Italy,€100k
Sergej Milinković-Savić,Central Midfield,"Feb 27, 1995",28,Serbia,€50.00m
Luis Alberto,Central Midfield,"Sep 28, 1992",30,Spain,€18.00m
Marcos Antônio,Central Midfield,"Jun 13, 2000",23,Brazil,€8.00m
Toma Bašić,Central Midfield,"Nov 25, 1996",26,Croatia,€6.00m
Matías Vecino,Central Midfield,"Aug 24, 1991",31,Uruguay,€4.50m
Manuel Lazzari,Right Midfield,"Nov 29, 1993",29,Italy,€7.50m
Mattia Zaccagni,Left Winger,"Jun 16, 1995",28,Italy,€30.00m
Raúl Moro,Left Winger,"Dec 5, 2002",20,Spain,€2.50m
Diego González,Left Winger,"Jan 7, 2003",20,Paraguay,€750k
Felipe Anderson,Right Winger,"Apr 15, 1993",30,Brazil,€15.00m
Matteo Cancellieri,Right Winger,"Feb 12, 2002",21,Italy,€5.00m
Luka Romero,Right Winger,"Nov 18, 2004",18,Argentina,€3.00m
Pedro,Right Winger,"Jul 28, 1987",35,Spain,€1.50m
Ciro Immobile,Centre-Forward,"Feb 20, 1990",33,Italy,€15.00m
