Name,Position,Date of Birth,Age,Nationality,Market Value
Bartlomiej Dragowski,Goalkeeper,"Aug 19, 1997",25,Poland,€4.50m
Jeroen Zoet,Goalkeeper,"Jan 6, 1991",32,Netherlands,€400k
Petar Zovko,Goalkeeper,"Mar 25, 2002",21,Bosnia-Herzegovina,€100k
Federico Marchetti,Goalkeeper,"Feb 7, 1983",40,Italy,€50k
Leonardo Dido,Goalkeeper,"Jan 5, 2004",19,Italy,€10k
Dimitrios Nikolaou,Centre-Back,"Aug 13, 1998",24,Greece,€3.50m
Przemysław Wiśniewski,Centre-Back,"Jul 27, 1998",24,Poland,€3.00m
Mattia Caldara,Centre-Back,"May 5, 1994",29,Italy,€2.00m
Petko Hristov,Centre-Back,"Mar 1, 1999",24,Bulgaria,€900k
Elio Capradossi,Centre-Back,"Mar 11, 1996",27,Italy,€750k
Nicolò Bertola,Centre-Back,"Mar 23, 2003",20,Italy,€150k
Simone Giorgeschi,Centre-Back,"Jun 28, 2004",19,Italy,€50k
Jakub Kiwior,Left-Back,"Feb 15, 2000",23,Poland,€25.00m
Arkadiusz Reca,Left-Back,"Jun 17, 1995",28,Poland,€3.00m
João Moutinho,Left-Back,"Jan 12, 1998",25,Portugal,€1.50m
Leonardo Gabelli,Left-Back,"Apr 30, 2002",21,Italy,€25k
Kelvin Amian,Right-Back,"Feb 8, 1998",25,France,€3.80m
Luca Vignali,Right-Back,"Jan 11, 1996",27,Italy,€1.00m
Salva Ferrer,Right-Back,"Jan 21, 1998",25,Spain,€800k
Ethan Ampadu,Defensive Midfield,"Sep 14, 2000",22,Wales,€9.00m
Salvatore Esposito,Defensive Midfield,"Oct 7, 2000",22,Italy,€3.30m
Albin Ekdal,Defensive Midfield,"Jul 28, 1989",33,Sweden,€800k
Aurélien Nguiamba,Defensive Midfield,"Jan 18, 1999",24,France,€300k
Simone Bastoni,Central Midfield,"Nov 5, 1996",26,Italy,€6.50m
Szymon Żurkowski,Central Midfield,"Sep 25, 1997",25,Poland,€3.50m
Mikael Egill Ellertsson,Central Midfield,"Mar 11, 2002",21,Iceland,€1.50m
Mehdi Bourabia,Central Midfield,"Aug 7, 1991",31,Morocco,€1.30m
Aimar Sher,Central Midfield,"Dec 20, 2002",20,Sweden,€800k
Tio Cipot,Central Midfield,"Apr 20, 2003",20,Slovenia,€700k
Emil Kornvig,Central Midfield,"Apr 28, 2000",23,Denmark,€450k
Jacopo Sala,Central Midfield,"Dec 5, 1991",31,Italy,€400k
Julius Beck,Central Midfield,"Apr 27, 2005",18,Denmark,€250k
Pietro Candelari,Central Midfield,"Jan 21, 2005",18,Italy,-
Emil Holm,Right Midfield,"May 13, 2000",23,Sweden,€5.00m
Daniel Maldini,Attacking Midfield,"Oct 11, 2001",21,Italy,€3.00m
Kevin Agudelo,Attacking Midfield,"Nov 14, 1998",24,Colombia,€3.00m
Viktor Kovalenko,Attacking Midfield,"Feb 14, 1996",27,Ukraine,€1.50m
Leonardo Pedicillo,Attacking Midfield,"Jan 20, 2003",20,Italy,€25k
Emmanuel Gyasi,Left Winger,"Jan 11, 1994",29,Ghana,€2.00m
Suf Podgoreanu,Left Winger,"Jan 20, 2002",21,Israel,€300k
Daniele Verde,Right Winger,"Jun 20, 1996",27,Italy,€3.00m
Leandro Sanca,Right Winger,"Jan 4, 2000",23,Guinea-Bissau,€400k
Ognjen Stijepovic,Second Striker,"Oct 22, 1999",23,Montenegro,€50k
M'Bala Nzola,Centre-Forward,"Aug 18, 1996",26,Angola,€8.00m
Eldor Shomurodov,Centre-Forward,"Jun 29, 1995",28,Uzbekistan,€6.00m
Raimonds Krollis,Centre-Forward,"Oct 28, 2001",21,Latvia,€2.50m
David Strelec,Centre-Forward,"Apr 4, 2001",22,Slovakia,€1.10m
Samuel Mraz,Centre-Forward,"May 13, 1997",26,Slovakia,€600k
