Name,Position,Date of Birth,Age,Nationality,Market Value
Vanja Milinković-Savić,Goalkeeper,"Feb 20, 1997",26,Serbia,€3.50m
Etrit Berisha,Goalkeeper,"Mar 10, 1989",34,Albania,€400k
Luca Gemello,Goalkeeper,"Jul 3, 2000",22,Italy,€300k
Matteo Fiorenza,Goalkeeper,"Jun 15, 2003",20,Italy,€50k
Perr Schuurs,Centre-Back,"Nov 26, 1999",23,Netherlands,€25.00m
Alessandro Buongiorno,Centre-Back,"Jun 6, 1999",24,Italy,€10.00m
David Zima,Centre-Back,"Nov 8, 2000",22,Czech Republic,€5.00m
Andreaw Gravillon,Centre-Back,"Feb 8, 1998",25,Guadeloupe,€4.00m
Ricardo Rodríguez,Centre-Back,"Aug 25, 1992",30,Switzerland,€3.50m
Koffi Djidji,Centre-Back,"Nov 30, 1992",30,Cote d'Ivoire,€3.00m
Ange Caumenan N'Guessan,Centre-Back,"Sep 1, 2003",19,France,€200k
Sebas Wade,Left-Back,"Apr 9, 2003",20,England,€10k
Wilfried Singo,Right-Back,"Dec 25, 2000",22,Cote d'Ivoire,€12.00m
Ola Aina,Right-Back,"Oct 8, 1996",26,Nigeria,€3.50m
Brian Bayeye,Right-Back,"Jun 30, 2000",23,DR Congo,€500k
Ali Dembélé,Right-Back,"Jan 5, 2004",19,France,€200k
Samuele Ricci,Defensive Midfield,"Aug 21, 2001",21,Italy,€20.00m
Ivan Ilić,Central Midfield,"Mar 17, 2001",22,Serbia,€19.00m
Saša Lukić,Central Midfield,"Aug 13, 1996",26,Serbia,€12.00m
Emirhan İlkhan,Central Midfield,"Jun 1, 2004",19,Türkiye,€4.00m
Karol Linetty,Central Midfield,"Feb 2, 1995",28,Poland,€3.50m
Ronaldo Vieira,Central Midfield,"Jul 19, 1998",24,England,€2.00m
Jacopo Segre,Central Midfield,"Feb 17, 1997",26,Italy,€1.70m
Gvidas Gineitis,Central Midfield,"Apr 15, 2004",19,Lithuania,€900k
Michel Adopo,Central Midfield,"Jul 19, 2000",22,France,€500k
Matthew Garbett,Central Midfield,"Apr 13, 2002",21,New Zealand,€300k
Aaron Ciammaglichella,Central Midfield,"Jan 26, 2005",18,Italy,-
Valentino Lazaro,Left Midfield,"Mar 24, 1996",27,Austria,€5.00m
Mërgim Vojvoda,Left Midfield,"Feb 1, 1995",28,Kosovo,€4.00m
Nikola Vlašić,Attacking Midfield,"Oct 4, 1997",25,Croatia,€17.00m
Aleksey Miranchuk,Attacking Midfield,"Oct 17, 1995",27,Russia,€12.00m
Nemanja Radonjic,Left Winger,"Feb 15, 1996",27,Serbia,€4.00m
Yann Karamoh,Left Winger,"Jul 8, 1998",24,France,€3.50m
Demba Seck,Right Winger,"Feb 10, 2001",22,Senegal,€2.70m
Simone Edera,Right Winger,"Jan 9, 1997",26,Italy,€300k
Antonio Sanabria,Centre-Forward,"Mar 4, 1996",27,Paraguay,€10.00m
Pietro Pellegri,Centre-Forward,"Mar 17, 2001",22,Italy,€3.50m
Luigi Caccavo,Centre-Forward,"Feb 3, 2004",19,Italy,€125k
