,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Manchester City,38,28,5,5,94,33,61,89,94,15.8,44,1,65.2,89.2,11.6,6.9,7.7,12.4,5.9,9.1,1.3,15.8,5.8,8.8,10.1
1,Arsenal,38,26,6,6,88,43,45,84,88,15.6,52,0,59.7,85.4,12.9,6.81,9.0,14.9,6.2,9.8,1.5,15.6,5.4,9.4,11.4
2,Manchester United,38,23,6,9,58,43,15,75,58,15.6,78,2,53.8,82.3,12.3,6.77,12.7,17.3,9.3,11.2,2.1,15.6,5.7,8.4,7.8
3,Newcastle,38,19,14,5,68,33,35,71,68,15.0,62,1,52.2,79.8,14.7,6.79,10.2,16.0,8.8,10.7,1.9,15.0,5.2,9.2,10.5
4,Liverpool,38,19,10,9,75,47,28,67,75,15.9,57,1,60.6,84.2,12.7,6.75,9.7,15.5,8.8,10.7,2.2,15.9,5.6,8.6,8.4
5,Brighton,38,18,8,12,72,53,19,62,72,16.1,59,0,60.5,85.9,11.7,6.72,10.2,16.2,8.0,11.2,1.8,16.1,6.1,9.1,10.7
6,Aston Villa,38,18,7,13,51,46,5,61,51,11.3,80,1,49.2,81.1,11.7,6.64,11.3,16.6,8.5,11.0,1.5,11.3,4.0,7.8,13.1
7,Tottenham,38,18,6,14,70,63,7,60,70,13.6,75,3,49.8,83.4,14.6,6.71,13.7,16.2,8.9,11.2,1.8,13.6,5.2,8.1,9.3
8,Brentford,38,15,14,9,58,46,12,59,58,10.7,55,1,43.3,74.8,17.6,6.66,14.7,15.4,9.0,9.3,1.9,10.7,4.3,7.0,10.5
9,Fulham,38,15,7,16,55,53,2,52,55,11.3,80,1,48.6,80.0,13.5,6.61,13.3,16.5,8.9,10.8,1.6,11.3,3.9,7.4,10.7
10,Crystal Palace,38,11,12,15,40,49,-9,45,40,11.2,79,3,45.8,79.3,13.1,6.61,12.0,18.2,9.4,11.7,1.5,11.2,3.6,9.7,12.6
11,Chelsea,38,11,11,16,38,47,-9,44,38,12.7,77,3,58.8,85.8,13.1,6.62,11.5,19.5,9.0,10.4,1.9,12.7,4.2,10.0,12.2
12,Wolves,38,11,8,19,31,58,-27,41,31,10.8,84,6,50.1,81.3,12.3,6.51,14.6,17.4,7.3,12.2,1.6,10.8,3.3,10.1,10.2
13,West Ham,38,11,7,20,42,55,-13,40,42,12.5,44,0,41.4,78.2,16.4,6.6,13.1,16.0,10.7,9.5,1.6,12.5,3.8,6.6,8.3
14,Bournemouth,38,11,6,21,37,71,-34,39,37,9.4,69,0,40.0,77.5,13.8,6.53,16.5,16.3,9.3,10.3,1.0,9.4,3.5,8.7,9.6
15,Nottingham Forest,38,9,11,18,38,68,-30,38,38,9.7,84,0,37.2,72.3,14.8,6.49,14.7,17.3,9.2,11.7,1.8,9.7,3.1,6.9,10.3
16,Everton,38,8,12,18,34,57,-23,36,34,11.3,79,2,42.5,77.0,15.3,6.62,15.2,18.6,10.3,10.4,1.7,11.3,4.0,8.1,10.1
17,Leicester,38,9,7,22,51,68,-17,34,51,11.0,59,2,47.7,80.3,13.5,6.57,15.1,18.4,9.7,10.8,2.2,11.0,4.0,7.7,10.4
18,Leeds,38,7,10,21,48,78,-30,31,48,12.2,84,3,46.3,74.9,15.5,6.5,13.9,22.1,10.3,12.3,1.6,12.2,3.8,7.1,10.7
19,Southampton,38,6,7,25,36,73,-37,25,36,11.0,73,0,44.1,77.3,14.6,6.5,13.8,18.8,11.3,11.3,1.5,11.0,3.7,9.5,9.9
