,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Kevin De Bruyne,Man City,32," M(CLR),FW",25(5),2205,15,8,2,-,2.6,82.5,0.4,4,7.64,1.1,0.2,0.7,-,0.5,0.8,0.1,-,1,0.9,0.1,0.7,0.7,45.3,82.5,1,2.4,0.3
1,Mohamed Salah,Liverpool,31," AM(CLR),FW",30(5),2763,23,13,1,-,4,79.9,0.2,7,7.54,0.5,0.2,0.3,-,0.1,0.4,-,-,1.5,0.7,0.3,2.3,2.3,30.8,79.9,0.2,0.5,0.3
2,Son Heung-Min,Tottenham,31," M(CLR),FW",35,2976,23,7,2,-,2.5,86.5,0.4,6,7.52,0.4,0.4,0.4,-,0.2,0.5,0.2,-,1.5,1,0.5,1.2,1.2,28.3,86.5,1.2,0.5,0.1
3,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",32,2854,2,12,2,-,1.6,78.1,0.5,5,7.51,1.3,1.3,0.4,0.4,1,1,0.1,-,0.6,0.2,0.3,0.6,0.6,67.3,78.1,2.6,6.3,0.3
4,Harry Kane,Tottenham,30," AM(C),FW",36(1),3187,17,9,5,-,3.6,69.9,2.0,8,7.45,0.4,0.1,1.1,0.1,1.1,0.3,0.2,-,1.5,1.4,0.4,1.6,1.6,23.2,69.9,0.2,1.7,0.3
5,Rodri,Man City,27," D(C),DMC",33,2887,7,2,5,-,1.4,91.8,2.6,4,7.44,2.2,0.8,1.3,0.1,1.3,0.8,0.2,-,0.4,0.6,-,0.7,0.7,86.8,91.8,0.1,5.5,0.1
6,João Cancelo,Man City,29," D(LR),M(R)",36,3228,1,7,7,-,2.3,85.3,1.6,5,7.43,2.3,1.6,0.9,0.3,0.9,1.3,0.1,-,1.6,0.7,0.1,0.7,0.7,82.0,85.3,0.6,3.9,0.1
7,Joël Matip,Liverpool,32, D(C),31,2790,3,3,2,-,1.1,88.5,3.5,5,7.35,1.5,1.4,0.4,1.4,2.9,0.4,0.5,-,0.3,0.4,-,0.2,0.2,74.8,88.5,-,3.5,0.1
8,Phil Foden,Man City,23," AM(CLR),FW",24(4),2133,9,5,1,-,2,87.4,0.2,1,7.3,0.6,0.4,0.5,-,0.1,0.4,-,-,1.3,0.8,0.5,1.2,1.2,34.3,87.4,1.3,0.7,0.1
9,Sadio Mané,Liverpool,32," AM(CLR),FW",32(2),2825,16,2,5,-,2.9,77.3,0.9,3,7.29,1,0.2,1.5,0.1,0.3,0.5,-,-,1.4,1.5,0.6,1.7,1.7,30.5,77.3,0.3,0.7,0.1
10,Ivan Toney,Brentford,28, FW,32(1),2908,12,5,8,-,2.7,58.9,4.5,5,7.28,1,0.4,1.5,-,1.3,0.8,0.1,-,0.7,2.4,0.8,1.3,1.3,22.2,58.9,0.1,0.4,0.3
11,Bernardo Silva,Man City,29," M(CLR),FW",33(2),2861,8,4,6,-,1.3,89.6,0.2,3,7.28,1.6,0.6,0.9,-,0.4,1,0.1,-,1.5,0.9,0.3,0.7,0.7,53.9,89.6,0.2,1.2,0.1
12,Reece James,Chelsea,24," D(CR),DMC,M(R)",22(4),1868,5,9,4,1,1.4,89.6,0.7,4,7.24,1.3,0.7,0.8,0.1,0.7,0.5,0.1,1,1.4,1.2,0.2,0.8,0.8,53.0,89.6,0.9,1.7,-
13,Ilkay Gündogan,Man City,33, M(C),20(7),1856,8,4,1,-,2,91.2,0.4,1,7.24,0.9,0.6,0.5,-,0.4,0.7,-,-,0.9,0.4,0.1,0.7,0.7,47.0,91.2,0.6,2.3,0.2
14,Andy Robertson,Liverpool,30," D(L),M(L)",29,2541,3,10,5,1,0.6,85.2,0.9,2,7.23,1.2,0.8,0.7,0.5,1.8,0.5,0.1,-,0.4,0.3,0.1,0.5,0.5,66.5,85.2,1.6,2,-
15,Gabriel Jesus,Man City,27," AM(LR),FW",21(7),1880,8,8,1,-,2.3,84.8,0.8,6,7.2,0.6,0.5,0.9,-,0.2,0.7,-,-,1.6,0.9,0.4,1,1,26.4,84.8,0.1,0.4,0.1
16,Raheem Sterling,Man City,29," M(CLR),FW",23(7),2127,13,5,1,-,1.9,85.4,0.1,4,7.2,0.8,0.4,0.6,-,0.1,0.4,-,-,1.8,1.2,0.3,1.8,1.8,27.3,85.4,0.3,0.2,-
17,Mason Mount,Chelsea,25, M(CLR),27(5),2365,11,10,4,-,2.4,85.4,0.2,7,7.19,1.3,0.4,0.9,-,0.3,0.8,-,-,0.6,0.7,0.2,1.1,1.1,34.8,85.4,1.3,0.7,0.2
18,Virgil van Dijk,Liverpool,32, D(C),34,3060,3,1,3,-,1,89.5,3.4,-,7.18,0.5,0.9,0.3,1.3,3.1,0.1,0.4,-,0.2,0.2,-,0.1,0.1,77.8,89.5,-,4.9,-
19,Jack Grealish,Man City,28," AM(CL),FW",22(4),1917,3,3,3,-,1.7,88.4,0.5,-,7.17,0.7,0.3,0.7,-,0.2,0.3,-,-,1.5,2.1,0.2,1.1,1.1,35.7,88.4,0.3,0.5,0.1
20,John McGinn,Aston Villa,29, M(CLR),35,3092,3,4,8,-,1.2,79.5,0.7,4,7.17,3,1,1.6,-,0.8,1.4,0.2,-,1.3,2.3,-,0.8,0.8,35.5,79.5,0.9,3.3,0.2
21,Jarrod Bowen,West Ham,27," AM(CLR),FW",34(2),2993,12,10,6,-,2.2,76.2,1.1,4,7.15,1,0.6,0.7,-,0.2,0.8,0.1,-,1.4,1.2,0.4,1.4,1.4,19.8,76.2,0.8,1,0.1
22,Pierre-Emile Højbjerg,Tottenham,28, M(C),36,3154,2,2,3,-,0.9,89.6,0.6,1,7.13,1.9,1.3,0.8,-,1.4,1.3,0.4,-,1.1,1.1,-,0.6,0.6,68.6,89.6,0.1,3.6,0.1
23,Cristiano Ronaldo,Man Utd,39," M(L),FW",27(3),2459,18,3,8,-,3.7,81.9,1.4,5,7.11,0.3,0.1,0.5,-,1,0.1,-,-,0.7,0.6,1.1,1,1,29.3,81.9,-,0.5,-
24,Declan Rice,West Ham,25," D(C),DMC",35(1),3178,1,4,8,-,0.7,91.6,1.2,1,7.1,2.2,1.8,0.8,-,1.4,0.9,0.6,-,1.4,0.3,-,0.6,0.6,59.8,91.6,0.2,3.6,-
25,Thiago Alcântara,Liverpool,33, M(C),17(8),1538,1,4,2,-,1,89.1,1.3,-,7.1,1.9,1,0.8,-,0.5,1.3,0.1,-,0.8,0.5,-,0.5,0.5,59.9,89.1,-,4,-
26,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",31(4),2767,5,5,6,-,1.8,76.5,0.5,6,7.09,0.4,0.3,0.6,-,0.1,0.4,0.1,-,4.3,1.3,0.4,2.5,2.5,19.0,76.5,0.3,0.7,0.1
27,Marcos Alonso,Chelsea,33," D(CL),M(L)",25(3),2173,4,4,8,-,1.5,81.1,1.4,1,7.09,1.5,1.5,0.9,0.1,1.8,0.7,0.2,-,0.5,1,0.1,0.9,0.9,40.5,81.1,1.1,1.5,-
28,Diogo Jota,Liverpool,27," AM(CLR),FW",27(8),2373,15,4,3,-,2.6,74.9,1.1,4,7.08,1.1,0.2,1.2,-,0.2,1.2,0.1,-,0.8,1.1,0.1,0.9,0.9,21.3,74.9,0.1,0.3,0.1
29,Conor Gallagher,Crystal Palace,24, M(CL),33(1),2851,8,3,10,-,1.5,81.2,0.7,4,7.08,2,0.9,1.9,-,0.7,1.4,0.3,-,1.3,1.9,0.1,1.5,1.5,30.9,81.2,1.1,1.4,-
30,James Maddison,Leicester,27, AM(CLR),28(7),2468,12,8,3,-,2.1,80.7,0.1,6,7.07,1.1,0.3,0.6,-,0.2,0.9,0.1,-,0.9,1.8,0.1,0.9,0.9,27.3,80.7,0.6,1.5,0.1
31,Thiago Silva,Chelsea,39, D(C),28(4),2651,3,-,2,-,0.6,92.8,1.8,1,7.06,1,1.4,0.4,0.6,3,0.3,1,-,0.2,0.4,-,0.1,0.1,81.9,92.8,-,5.3,-
32,Bukayo Saka,Arsenal,22," D(L),M(CLR)",36(2),2996,11,7,6,-,2.6,79.5,0.6,3,7.06,1.1,0.6,1,-,0.6,0.7,0.1,-,1.1,1.6,0.4,1.2,1.2,27.9,79.5,0.8,0.4,-
33,Mateo Kovacic,Chelsea,29, M(CL),16(9),1557,2,5,4,-,0.9,88.8,0.2,1,7.04,2,0.3,1,-,0.4,0.7,0.2,-,1.5,0.8,-,0.9,0.9,47.7,88.8,-,2.2,0.2
34,Bruno Fernandes,Man Utd,29, M(CLR),35(1),3120,10,6,10,-,2.5,78.3,0.5,3,7.03,1.5,0.5,0.9,0.1,1.1,1.8,-,-,0.7,1.3,0.1,1.1,1.1,52.8,78.3,1.1,3.3,0.3
35,Trevoh Chalobah,Chelsea,24," D(CR),DMC",17(3),1451,3,1,2,-,0.5,90.6,1.7,1,7.03,2,1,1,0.3,2.1,0.4,0.3,-,0.5,0.7,-,0.4,0.4,63.5,90.6,-,2.2,0.1
36,James Ward-Prowse,Southampton,29, M(CR),36,3217,10,5,3,1,1.5,86.3,0.8,4,7.01,1.1,1.1,0.6,-,1.1,1.4,0.4,-,0.3,0.4,-,0.7,0.7,50.8,86.3,2.1,1.8,0.1
37,Christian Nørgaard,Brentford,30," D(C),DMC",35,3059,3,4,8,-,0.8,79.9,1.4,1,7.0,3.1,1.8,1.6,0.1,1.6,1.4,0.3,-,0.5,0.9,-,0.7,0.7,47.6,79.9,0.1,2.1,0.1
38,N'Golo Kanté,Chelsea,33, M(C),21(5),1778,2,4,2,-,0.7,86.7,0.5,2,7.0,2.3,1.2,0.8,-,0.3,0.6,0.1,-,1.3,0.4,-,1.1,1.1,49.7,86.7,-,1.3,0.2
39,Fabinho,Liverpool,30," D(CR),DMC",26(3),2316,5,1,7,-,0.7,87.5,1.5,1,7.0,1.6,1.4,1.4,0.1,0.8,1.6,0.3,-,0.4,1,-,0.4,0.4,53.2,87.5,-,2.1,0.1
40,Riyad Mahrez,Man City,33," AM(CLR),FW",15(13),1493,11,5,-,-,2.2,90.0,0.3,2,7.0,0.4,0.2,0.4,-,0.1,0.5,-,-,0.9,0.5,0.1,0.8,0.8,29.5,90.0,0.6,1,0.2
41,Paul Pogba,Man Utd,31, M(CL),16(4),1355,1,9,7,1,1.6,83.5,1.8,1,7.0,0.7,0.7,2,0.1,0.8,1.1,-,-,2,1.5,-,1.4,1.4,43.9,83.5,0.2,3.7,0.2
42,Yves Bissouma,Brighton,27, M(C),25(1),2117,1,2,10,-,0.8,89.2,0.6,2,6.99,2.9,1.9,1.2,-,1.8,0.6,0.1,-,1.3,0.7,-,1,1,45.7,89.2,-,1.7,-
43,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",31(2),2761,14,1,4,1,2.1,79.9,0.4,5,6.99,1.2,0.2,1.1,-,0.2,0.6,-,-,2.3,3.1,0.7,3.3,3.3,27.5,79.9,0.4,0.4,0.1
44,Tomás Soucek,West Ham,29, M(C),34(1),3062,5,1,3,-,1.3,76.6,3.8,1,6.98,1.9,1.5,1.1,-,2.8,1.1,0.4,-,0.3,0.5,0.1,0.5,0.5,38.4,76.6,0.1,1.9,-
45,Ethan Pinnock,Brentford,30, D(C),32,2698,1,1,1,-,0.5,75.4,4.5,1,6.97,1.6,1.4,0.3,0.6,4.6,0.4,0.3,-,0.3,0.4,-,0.2,0.2,44.3,75.4,0.1,2,-
46,James Tarkowski,Burnley,31, D(C),35,3107,1,2,11,-,0.6,68.8,4.4,1,6.97,1.8,1.4,0.9,0.2,5.2,0.4,1.7,1,0.1,0.5,0.1,0.1,0.1,33.7,68.8,-,4,-
47,Raphinha,Leeds,27," AM(LR),FW",34(1),2923,11,3,7,-,2.5,69.3,0.7,4,6.97,1.5,0.8,1.1,-,0.7,1.4,-,-,1.8,1.3,0.4,1,1,30.7,69.3,0.9,1.6,0.1
48,Richarlison,Everton,26," AM(CLR),FW",28(2),2528,10,5,9,-,2.4,63.4,2.2,3,6.96,1.3,0.4,1.2,-,1.1,0.5,0.1,-,1.3,2.3,0.7,1.8,1.8,17.5,63.4,0.2,0.3,0.1
49,Philippe Coutinho,Aston Villa,31, M(CLR),16(3),1339,5,3,-,-,2.3,83.3,0.3,1,6.96,0.9,0.4,0.4,-,0.2,0.8,0.1,-,1.1,1.1,0.2,1.1,1.1,33.1,83.3,0.2,1.4,0.1
50,Jorginho,Chelsea,32, DMC,26(3),2279,6,2,5,-,0.6,89.3,0.4,3,6.96,2.2,1.2,1,-,0.7,1.9,0.1,-,0.6,1.3,-,0.7,0.7,64.9,89.3,-,2.1,0.1
51,Rayan Aït-Nouri,Wolves,22," D(L),M(L)",20(3),1828,1,2,4,-,0.6,76.7,0.7,1,6.96,2.8,1,0.6,0.2,1.3,1,0.1,-,1.8,0.9,0.1,1.2,1.2,32.8,76.7,1,1.2,-
