,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Harry Kane,0.6,0.3,0.7,-,1.1,0.5,0.3,-
1,Kevin De Bruyne,1.3,0.4,1,-,0.3,1.4,-,-
2,Jack Grealish,1.2,0.5,1.5,-,0.2,0.3,0.1,-
3,Bruno Fernandes,1.5,0.7,1.2,-,0.7,2,-,-
4,Tomás Soucek,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1
5,Mason Mount,2.1,0.9,1.4,-,0.3,1.2,0.1,-
6,Sadio Mané,1.4,0.4,1.5,-,0.3,0.6,-,-
7,Ilkay Gündogan,0.9,0.7,0.3,-,0.3,1.1,0.1,-
8,João Cancelo,2.4,1.4,1.3,0.3,1,1.4,0.1,-
9,Gareth Bale,0.9,0.4,0.5,0.1,0.7,0.4,0.1,-
10,Son Heung-Min,0.9,0.4,0.4,-,0.1,1.5,0.1,-
11,Wilfred Ndidi,3.7,2.3,2.1,0.1,2,1.5,0.4,-
12,Raphinha,1.1,1,0.4,-,0.9,1.5,-,-
13,James Rodríguez,1.2,0.7,0.7,-,-,1.5,-,-
14,Riyad Mahrez,0.7,0.3,0.5,-,0.1,0.9,-,-
15,Raheem Sterling,0.7,0.5,1.2,-,0.1,0.2,-,-
16,Ollie Watkins,0.8,0.2,1.3,-,0.6,0.6,0.1,-
17,Michail Antonio,0.3,0.3,1.1,-,0.3,0.2,0.1,-
18,Dominic Calvert-Lewin,0.5,0.2,1.1,-,1,0.2,0.2,-
19,Rodri,2.1,1.1,1.3,-,1.6,1,0.3,-
20,Aaron Wan-Bissaka,2.6,1.8,0.9,0.2,1.8,0.4,0.5,-
21,Phil Foden,0.8,0.4,0.4,-,0.4,0.5,-,-
22,Marcus Rashford,0.5,0.2,0.7,0.1,0.3,0.5,0.1,-
23,Thiago Alcântara,2.5,1.3,2,-,0.5,1.3,-,-
24,Pedro Neto,0.5,1,0.7,-,0.2,0.6,-,-
25,Allan Saint-Maximin,0.6,0.2,0.4,-,-,0.2,-,-
26,Roberto Firmino,0.9,0.3,0.6,-,0.3,0.7,0.1,-
27,Jamie Vardy,0.5,0.1,0.8,0.1,0.9,0.4,0.1,-
28,Adama Traoré,0.7,0.2,1.3,-,0.3,0.2,-,-
29,Youri Tielemans,2.3,1.2,1,-,0.4,1.7,0.2,-
30,Lucas Digne,2.1,1,1.1,0.1,2.4,0.8,0.1,-
31,Christian Benteke,0.5,0.1,1.2,-,1.3,0.2,0.2,-
32,Kurt Zouma,0.7,1.2,0.7,0.5,3.8,0.2,0.4,-
33,Solly March,2.3,1,1.2,-,1,0.8,0.2,-
34,James Ward-Prowse,2,1.1,1.2,-,1.4,1.1,0.1,-
35,Mohamed Salah,0.5,-,0.6,-,0.3,0.2,-,-
36,Liam Cooper,2.7,2.4,0.9,0.5,2.7,0.9,1.3,-
37,Bernardo Silva,1,0.7,0.7,-,0.2,1.6,-,-
38,Sèrge Aurier,2.9,1,1.2,0.2,2.2,1.3,0.3,-
39,Paul Pogba,1.4,1,1.6,-,1.4,0.8,0.1,-
40,Harry Maguire,0.9,1.8,1.2,0.6,3.6,0.3,0.7,-
41,Gabriel Jesus,0.6,0.5,0.9,-,0.2,0.6,-,-
42,John Stones,1,0.8,0.3,0.7,2.5,0.2,0.7,-
43,James Justin,2.7,1.3,0.7,0.2,1.9,0.9,0.4,-
44,Luke Shaw,1.4,0.6,1.3,0.1,1.2,0.5,0.3,1
45,Patrick Bamford,0.6,0.3,0.9,-,1,0.5,0.1,-
46,James Tarkowski,1.8,1.2,0.8,0.6,4.4,0.7,1.2,-
47,Antonio Rüdiger,1.6,0.9,0.8,0.5,2.7,0.2,0.5,1
48,Trent Alexander-Arnold,1.6,1.4,0.6,0.4,1.2,0.6,0.1,-
49,Wesley Fofana,1.8,2.2,1.3,0.5,3.3,0.5,0.6,-
50,Declan Rice,1.8,1.8,0.7,-,1.1,0.9,0.3,-
51,Kalvin Phillips,2.6,1.6,1.6,0.1,1.7,1.2,0.5,-
52,James Maddison,1,0.3,0.6,-,0.1,0.9,-,-
