,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kevin De Bruyne,45.3,82.5,1,2.4,0.3
1,Mohamed Salah,30.8,79.9,0.2,0.5,0.3
2,Son Heung-Min,28.3,86.5,1.2,0.5,0.1
3,Trent Alexander-Arnold,67.3,78.1,2.6,6.3,0.3
4,Harry Kane,23.2,69.9,0.2,1.7,0.3
5,Rodri,86.8,91.8,0.1,5.5,0.1
6,João Cancelo,82,85.3,0.6,3.9,0.1
7,Joël Matip,74.8,88.5,-,3.5,0.1
8,Phil Foden,34.3,87.4,1.3,0.7,0.1
9,Sadio Mané,30.5,77.3,0.3,0.7,0.1
10,Ivan Toney,22.2,58.9,0.1,0.4,0.3
11,Bernardo Silva,53.9,89.6,0.2,1.2,0.1
12,Reece James,53,89.6,0.9,1.7,-
13,Ilkay Gündogan,47,91.2,0.6,2.3,0.2
14,Andy Robertson,66.5,85.2,1.6,2,-
15,Gabriel Jesus,26.4,84.8,0.1,0.4,0.1
16,Raheem Sterling,27.3,85.4,0.3,0.2,-
17,Mason Mount,34.8,85.4,1.3,0.7,0.2
18,Virgil van Dijk,77.8,89.5,-,4.9,-
19,Jack Grealish,35.7,88.4,0.3,0.5,0.1
20,John McGinn,35.5,79.5,0.9,3.3,0.2
21,Jarrod Bowen,19.8,76.2,0.8,1,0.1
22,Pierre-Emile Højbjerg,68.6,89.6,0.1,3.6,0.1
23,Cristiano Ronaldo,29.3,81.9,-,0.5,-
24,Declan Rice,59.8,91.6,0.2,3.6,-
25,Thiago Alcântara,59.9,89.1,-,4,-
26,Allan Saint-Maximin,19,76.5,0.3,0.7,0.1
27,Marcos Alonso,40.5,81.1,1.1,1.5,-
28,Diogo Jota,21.3,74.9,0.1,0.3,0.1
29,Conor Gallagher,30.9,81.2,1.1,1.4,-
30,James Maddison,27.3,80.7,0.6,1.5,0.1
31,Thiago Silva,81.9,92.8,-,5.3,-
32,Bukayo Saka,27.9,79.5,0.8,0.4,-
33,Mateo Kovacic,47.7,88.8,-,2.2,0.2
34,Bruno Fernandes,52.8,78.3,1.1,3.3,0.3
35,Trevoh Chalobah,63.5,90.6,-,2.2,0.1
36,James Ward-Prowse,50.8,86.3,2.1,1.8,0.1
37,Christian Nørgaard,47.6,79.9,0.1,2.1,0.1
38,N'Golo Kanté,49.7,86.7,-,1.3,0.2
39,Fabinho,53.2,87.5,-,2.1,0.1
40,Riyad Mahrez,29.5,90,0.6,1,0.2
41,Paul Pogba,43.9,83.5,0.2,3.7,0.2
42,Yves Bissouma,45.7,89.2,-,1.7,-
43,Wilfried Zaha,27.5,79.9,0.4,0.4,0.1
44,Tomás Soucek,38.4,76.6,0.1,1.9,-
45,Ethan Pinnock,44.3,75.4,0.1,2,-
46,James Tarkowski,33.7,68.8,-,4,-
47,Raphinha,30.7,69.3,0.9,1.6,0.1
