,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Kevin De Bruyne,Man City,32," M(CLR),FW",25(5),2205,15,8,2,-,2.6,82.5,0.4,4,7.64
1,Mohamed Salah,Liverpool,31," AM(CLR),FW",30(5),2763,23,13,1,-,4,79.9,0.2,7,7.54
2,Son Heung-Min,Tottenham,31," M(CLR),FW",35,2976,23,7,2,-,2.5,86.5,0.4,6,7.52
3,Trent Alexander-Arnold,Liverpool,25," D(R),DMC,M(R)",32,2854,2,12,2,-,1.6,78.1,0.5,5,7.51
4,Harry Kane,Tottenham,30," AM(C),FW",36(1),3187,17,9,5,-,3.6,69.9,2,8,7.45
5,Rodri,Man City,27," D(C),DMC",33,2887,7,2,5,-,1.4,91.8,2.6,4,7.44
6,João Cancelo,Man City,29," D(LR),M(R)",36,3228,1,7,7,-,2.3,85.3,1.6,5,7.43
7,Joël Matip,Liverpool,32, D(C),31,2790,3,3,2,-,1.1,88.5,3.5,5,7.35
8,Phil Foden,Man City,23," AM(CLR),FW",24(4),2133,9,5,1,-,2,87.4,0.2,1,7.30
9,Sadio Mané,Liverpool,32," AM(CLR),FW",32(2),2825,16,2,5,-,2.9,77.3,0.9,3,7.29
10,Ivan Toney,Brentford,28, FW,32(1),2908,12,5,8,-,2.7,58.9,4.5,5,7.28
11,Bernardo Silva,Man City,29," M(CLR),FW",33(2),2861,8,4,6,-,1.3,89.6,0.2,3,7.28
12,Reece James,Chelsea,24," D(CR),DMC,M(R)",22(4),1868,5,9,4,1,1.4,89.6,0.7,4,7.24
13,Ilkay Gündogan,Man City,33, M(C),20(7),1856,8,4,1,-,2,91.2,0.4,1,7.24
14,Andy Robertson,Liverpool,30," D(L),M(L)",29,2541,3,10,5,1,0.6,85.2,0.9,2,7.23
15,Gabriel Jesus,Man City,27," AM(LR),FW",21(7),1880,8,8,1,-,2.3,84.8,0.8,6,7.20
16,Raheem Sterling,Man City,29," M(CLR),FW",23(7),2127,13,5,1,-,1.9,85.4,0.1,4,7.20
17,Mason Mount,Chelsea,25, M(CLR),27(5),2365,11,10,4,-,2.4,85.4,0.2,7,7.19
18,Virgil van Dijk,Liverpool,32, D(C),34,3060,3,1,3,-,1,89.5,3.4,-,7.18
19,Jack Grealish,Man City,28," AM(CL),FW",22(4),1917,3,3,3,-,1.7,88.4,0.5,-,7.17
20,John McGinn,Aston Villa,29, M(CLR),35,3092,3,4,8,-,1.2,79.5,0.7,4,7.17
21,Jarrod Bowen,West Ham,27," AM(CLR),FW",34(2),2993,12,10,6,-,2.2,76.2,1.1,4,7.15
22,Pierre-Emile Højbjerg,Tottenham,28, M(C),36,3154,2,2,3,-,0.9,89.6,0.6,1,7.13
23,Cristiano Ronaldo,Man Utd,39," M(L),FW",27(3),2459,18,3,8,-,3.7,81.9,1.4,5,7.11
24,Declan Rice,West Ham,25," D(C),DMC",35(1),3178,1,4,8,-,0.7,91.6,1.2,1,7.10
25,Thiago Alcântara,Liverpool,33, M(C),17(8),1538,1,4,2,-,1,89.1,1.3,-,7.10
26,Allan Saint-Maximin,Newcastle,27," AM(CLR),FW",31(4),2767,5,5,6,-,1.8,76.5,0.5,6,7.09
27,Marcos Alonso,Chelsea,33," D(CL),M(L)",25(3),2173,4,4,8,-,1.5,81.1,1.4,1,7.09
28,Diogo Jota,Liverpool,27," AM(CLR),FW",27(8),2373,15,4,3,-,2.6,74.9,1.1,4,7.08
29,Conor Gallagher,Crystal Palace,24, M(CL),33(1),2851,8,3,10,-,1.5,81.2,0.7,4,7.08
30,James Maddison,Leicester,27, AM(CLR),28(7),2468,12,8,3,-,2.1,80.7,0.1,6,7.07
31,Thiago Silva,Chelsea,39, D(C),28(4),2651,3,-,2,-,0.6,92.8,1.8,1,7.06
32,Bukayo Saka,Arsenal,22," D(L),M(CLR)",36(2),2996,11,7,6,-,2.6,79.5,0.6,3,7.06
33,Mateo Kovacic,Chelsea,29, M(CL),16(9),1557,2,5,4,-,0.9,88.8,0.2,1,7.04
34,Bruno Fernandes,Man Utd,29, M(CLR),35(1),3120,10,6,10,-,2.5,78.3,0.5,3,7.03
35,Trevoh Chalobah,Chelsea,24," D(CR),DMC",17(3),1451,3,1,2,-,0.5,90.6,1.7,1,7.03
36,James Ward-Prowse,Southampton,29, M(CR),36,3217,10,5,3,1,1.5,86.3,0.8,4,7.01
37,Christian Nørgaard,Brentford,30," D(C),DMC",35,3059,3,4,8,-,0.8,79.9,1.4,1,7.00
38,N'Golo Kanté,Chelsea,33, M(C),21(5),1778,2,4,2,-,0.7,86.7,0.5,2,7.00
39,Fabinho,Liverpool,30," D(CR),DMC",26(3),2316,5,1,7,-,0.7,87.5,1.5,1,7.00
40,Riyad Mahrez,Man City,33," AM(CLR),FW",15(13),1493,11,5,-,-,2.2,90,0.3,2,7.00
41,Paul Pogba,Man Utd,31, M(CL),16(4),1355,1,9,7,1,1.6,83.5,1.8,1,7.00
42,Yves Bissouma,Brighton,27, M(C),25(1),2117,1,2,10,-,0.8,89.2,0.6,2,6.99
43,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",31(2),2761,14,1,4,1,2.1,79.9,0.4,5,6.99
44,Tomás Soucek,West Ham,29, M(C),34(1),3062,5,1,3,-,1.3,76.6,3.8,1,6.98
45,Ethan Pinnock,Brentford,30, D(C),32,2698,1,1,1,-,0.5,75.4,4.5,1,6.97
46,James Tarkowski,Burnley,31, D(C),35,3107,1,2,11,-,0.6,68.8,4.4,1,6.97
47,Raphinha,Leeds,27," AM(LR),FW",34(1),2923,11,3,7,-,2.5,69.3,0.7,4,6.97
48,Richarlison,Everton,26," AM(CLR),FW",28(2),2528,10,5,9,-,2.4,63.4,2.2,3,6.96
49,Philippe Coutinho,Aston Villa,31, M(CLR),16(3),1339,5,3,-,-,2.3,83.3,0.3,1,6.96
50,Jorginho,Chelsea,32, DMC,26(3),2279,6,2,5,-,0.6,89.3,0.4,3,6.96
51,Rayan Aït-Nouri,Wolves,22," D(L),M(L)",20(3),1828,1,2,4,-,0.6,76.7,0.7,1,6.96
52,Rúben Dias,Man City,26, D(C),27(2),2404,2,4,5,-,0.6,93.4,1.8,1,6.96
53,Thomas Partey,Arsenal,30," D(R),M(CR)",23(1),2032,2,1,5,-,1.8,85.6,1,1,6.96
54,Dwight McNeil,Burnley,24, M(CLR),35(3),3114,-,1,1,-,1.4,77.7,0.3,1,6.96
55,Wilfred Ndidi,Leicester,27," D(C),DMC",18(1),1619,-,-,4,-,0.7,80.2,2.2,-,6.95
56,Sergio Reguilón,Tottenham,27," D(L),M(L)",22(3),1878,2,3,4,-,0.8,78.4,1.2,-,6.95
57,Jamie Vardy,Leicester,37," AM(L),FW",20(5),1806,15,2,2,-,2.2,72.5,1,2,6.95
58,Marc Cucurella,Brighton,25," D(CL),M(L)",35,3092,1,1,6,-,0.5,82,1.1,1,6.94
59,Michail Antonio,West Ham,34," D(R),M(CLR),FW",34(2),2981,10,8,6,1,2.3,67.5,2.2,2,6.94
60,Adama Traoré,Wolves,28," M(CLR),FW",10(10),1065,1,-,-,-,1.2,77.9,0.8,4,6.94
61,Cristian Romero,Tottenham,26, D(C),21(1),1801,1,-,8,-,0.3,86.5,1.9,-,6.92
62,Hakim Ziyech,Chelsea,31, M(CLR),14(9),1317,4,3,3,-,2.3,81.2,0.6,3,6.92
63,Ben Mee,Burnley,34, D(CL),21,1840,3,-,3,-,0.9,70.4,3.2,1,6.91
64,Aymeric Laporte,Man City,29, D(CL),33,2836,4,-,5,1,1.1,94.8,1.6,-,6.91
65,Aaron Wan-Bissaka,Man Utd,26," D(LR),M(R)",20,1794,-,-,2,-,0.3,81,1,1,6.91
66,Matty Cash,Aston Villa,26," D(R),M(CLR)",38,3380,4,3,8,-,1,72.4,1.1,3,6.91
