,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Leeds,13.9,22.1,10.3,12.3,1.6
1,Chelsea,11.5,19.5,9,10.4,1.9
2,Southampton,13.8,18.8,11.3,11.3,1.5
3,Everton,15.2,18.6,10.3,10.4,1.7
4,Leicester,15.1,18.4,9.7,10.8,2.2
5,Crystal Palace,12,18.2,9.4,11.7,1.5
6,Wolves,14.6,17.4,7.3,12.2,1.6
7,Nottingham Forest,14.7,17.3,9.2,11.7,1.8
8,Manchester United,12.7,17.3,9.3,11.2,2.1
9,Aston Villa,11.3,16.6,8.5,11,1.5
10,Fulham,13.3,16.5,8.9,10.8,1.6
11,Bournemouth,16.5,16.3,9.3,10.3,1
12,Tottenham,13.7,16.2,8.9,11.2,1.8
13,Brighton,10.2,16.2,8,11.2,1.8
14,West Ham,13.1,16,10.7,9.5,1.6
15,Newcastle,10.2,16,8.8,10.7,1.9
16,Liverpool,9.7,15.5,8.8,10.7,2.2
17,Brentford,14.7,15.4,9,9.3,1.9
18,Arsenal,9,14.9,6.2,9.8,1.5
19,Manchester City,7.7,12.4,5.9,9.1,1.3
