,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Leeds,14.7,19.5,10.4,11.4,2
1,Southampton,11.3,19.1,10.6,11.3,2
2,Leicester,9.7,17.9,11.5,10.9,1.9
3,Everton,13.3,16.8,10.3,10.2,1.7
4,Crystal Palace,14.2,16.8,10.4,10.8,1.8
5,Tottenham,12.8,16.7,9,11.6,1.2
6,Sheffield United,14.3,16.7,9.2,12.1,1.9
7,Brighton,9.4,16.5,11.2,11.3,1.4
8,Chelsea,8.8,16.1,10.1,11.4,2.1
9,Fulham,11.3,15.8,11.5,12.7,1.1
10,West Bromwich Albion,15.8,15.3,11.4,10.6,2
11,Wolves,11.3,15.1,11.3,11.1,1
12,Manchester United,11.3,14.5,10.2,11.9,2
13,Aston Villa,14.2,13.9,10.2,11.6,1.9
14,Liverpool,8.7,13.8,9.1,10.4,1.7
15,West Ham,12.2,13.5,11.5,9.9,1.9
16,Newcastle,15.1,13.5,9.5,10.2,1.5
17,Burnley,15,13.3,10.9,10.1,2.1
18,Manchester City,7.3,12.9,8.3,9.3,1.5
19,Arsenal,10.9,12,9.2,9.1,1.6
