,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Manchester City,18,6.8,11.5,7.9
1,Chelsea,16,5.2,11.8,11.2
2,Liverpool,15.1,5.9,9.4,9.1
3,Tottenham,14.1,5,9.7,9.6
4,Manchester United,13.8,5.9,8.4,10.4
5,Leicester,13.6,4.8,10.3,9.9
6,Everton,13.1,4.4,8.7,11
7,Crystal Palace,13,3.9,9.9,10.3
8,Southampton,12.7,4.3,7.6,9
9,Wolves,12.6,4,8.7,8.6
10,Arsenal,12.3,4.5,8,12
11,Fulham,11.9,3.8,9.3,9
12,Newcastle,11.7,3.7,6.2,8.7
13,Bournemouth,11.7,4.3,7.7,11.6
14,West Ham,11.6,4.1,10.2,10.2
15,Watford,11.5,4,7.7,10.1
16,Cardiff,11,3.3,6.8,10.3
17,Huddersfield,10.6,3.1,6.1,9.7
18,Brighton,9.8,2.8,7.1,7.9
19,Burnley,9.5,3.1,5.4,9.4
