,Team,P,W,D,L,GF,GA,GD,Pts
0,Manchester City,95,18,44,1,25.7,89.0,14.3,7.09
1,Liverpool,89,15.1,37,2,58.8,84.4,16,7.01
2,Chelsea,63,16,49,0,20.3,87.6,14,6.89
3,Tottenham,67,14.1,56,3,56.7,83.2,16.1,6.86
4,Arsenal,73,12.3,72,2,27.0,83.3,14.9,6.79
5,Leicester,51,13.6,57,5,50.8,79.2,21.5,6.78
6,Crystal Palace,51,13,58,2,46.6,76.8,18.1,6.78
7,West Ham,52,11.6,59,1,49.0,78.7,16.9,6.77
8,Everton,54,13.1,55,4,51.0,77.3,23.5,6.77
9,Wolves,47,12.6,72,1,47.4,78.2,21.6,6.75
10,Newcastle,42,11.7,57,2,42.9,72.9,21.2,6.74
11,Manchester United,65,13.8,73,4,53.3,82.3,18.3,6.74
12,Burnley,45,9.5,75,1,17.9,70.3,27.6,6.70
13,Southampton,45,12.7,71,3,45.4,74.0,20.4,6.68
14,Watford,52,11.5,77,4,47.4,76.1,20.3,6.68
15,Bournemouth,56,11.7,60,1,47.7,78.1,18.8,6.68
16,Cardiff,34,11,66,1,39.1,63.9,25.8,6.62
17,Brighton,35,9.8,60,4,44.1,74.8,22,6.61
18,Fulham,34,11.9,68,2,49.2,80.3,19.7,6.56
19,Huddersfield,22,10.6,55,4,47.1,75.8,22.6,6.47
