,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,Barcelona,36," AM(CR),FW",33(2),3023,30,9,4,-,5.6,85.1,0.2,22,8.52,0.5,0.2,0.6,-,-,0.3,-,-,4.5,2.8,0.2,2.5,2.5,64.2,85.1,1,2,0.2
1,Gerard Moreno,Villarreal,32," AM(CR),FW",30(3),2683,23,7,3,-,2.9,69.7,1.9,12,7.62,0.7,0.5,1.3,-,0.8,0.8,0.1,-,2.2,1.8,0.6,1.8,1.8,32.0,69.7,0.4,1.8,0.2
2,Karim Benzema,Real Madrid,36, FW,33(1),2902,23,9,2,-,3.6,84.6,0.8,8,7.57,0.2,0.2,0.5,-,0.7,0.3,0.1,-,1.1,0.7,0.7,1.1,1.1,35.6,84.6,0.1,1.3,0.1
3,Casemiro,Real Madrid,32," D(C),DMC",32(2),2903,6,4,9,1,1.4,83.9,3,4,7.36,2.5,2.1,1.6,0.1,1.6,1.2,0.5,-,0.4,1.6,0.1,0.8,0.8,56.8,83.9,0.1,4.4,-
4,Iago Aspas,Celta Vigo,36," AM(CR),FW",33,2871,14,13,9,-,1.5,78.8,0.5,8,7.32,0.3,0.5,0.7,-,0.6,0.6,0.1,-,1.8,1.6,0.4,0.8,0.8,37.1,78.8,0.2,1.5,0.2
5,Marcos Llorente,Atletico,29," D(R),M(CR),FW",33(4),2960,12,11,6,-,1.3,84.6,0.6,4,7.26,1.9,0.8,1.6,-,0.6,1,0.1,-,1.1,1,0.2,1.4,1.4,33.6,84.6,0.4,1.3,0.1
6,Mikel Merino,Real Sociedad,27, M(C),25(1),2157,2,4,5,-,1.3,76.7,3.2,4,7.24,2.3,1.2,3,-,1,1,0.3,-,1.2,2.1,0.1,1,1,45.3,76.7,0.1,2.1,0.2
7,Toni Kroos,Real Madrid,34, M(C),24(4),2122,3,10,6,-,1.2,93.6,0.4,3,7.22,1.5,0.5,1,-,0.3,1.2,0.2,-,0.6,1.1,-,0.3,0.3,72.2,93.6,1.3,8.2,0.1
8,Joselu,Deportivo Alaves,34, FW,34(3),3038,11,3,1,-,2.5,58.6,6.9,5,7.22,0.7,0.4,1.2,0.1,1.5,0.5,0.1,-,0.8,2,0.4,1,1,27.4,58.6,0.1,0.9,-
9,Kieran Trippier,Atletico,33," D(LR),M(R)",28,2477,-,6,-,-,0.1,79.4,1.5,2,7.2,2.2,1.4,1.1,0.2,1.7,0.9,0.1,-,0.7,0.5,0.2,0.3,0.3,53.2,79.4,1.2,2.4,0.1
10,Lucas Vázquez,Real Madrid,32," D(R),M(R)",21(3),1851,2,5,3,-,0.9,87.7,0.4,2,7.2,2.5,0.8,1.3,0.1,1,1.3,-,-,1.3,1.3,0.1,0.9,0.9,51.0,87.7,1,2.7,-
11,Antoine Griezmann,Barcelona,33," AM(CLR),FW",32(4),2621,13,7,4,-,2,87.3,0.5,4,7.17,1,0.3,0.4,-,0.3,0.8,-,-,0.7,0.9,0.4,0.6,0.6,36.6,87.3,0.3,1.1,-
