,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Barcelona,38,26,9,3,90,36,54,87,90,14.7,75,2,61.4,88.3,12.1,6.99,10.8,14.1,10.3,10.8,2.7,14.7,6.7,11.7,14.5
1,Atletico Madrid,38,22,10,6,55,29,26,76,55,11.7,97,5,49.3,80.6,18.2,6.9,11.4,20.6,12.2,12.5,2.1,11.7,4.2,9.6,11.9
2,Real Madrid,38,21,5,12,63,46,17,68,63,15.6,75,6,57.8,87.5,13.1,6.86,10.2,16.5,9.8,11.7,2.9,15.6,5.7,12.1,14.3
3,Valencia,38,15,16,7,51,35,16,61,51,12.6,87,3,47.8,79.6,16.3,6.8,12.7,15.7,11.0,12.2,2.0,12.6,4.4,9.0,13.5
4,Getafe,38,15,14,9,48,35,13,59,48,10.6,104,7,43.0,63.7,22.8,6.69,10.0,15.9,11.9,16.9,2.7,10.6,3.4,7.9,13.2
5,Sevilla,38,17,8,13,62,47,15,59,62,13.9,111,6,51.4,79.6,17.9,6.78,12.1,15.7,9.6,14.1,2.9,13.9,4.7,9.4,12.2
6,Espanyol,38,14,11,13,48,50,-2,53,48,12.5,87,2,49.6,80.0,16.3,6.69,13.6,17.2,10.7,14.0,2.2,12.5,4.2,8.4,13.4
7,Athletic Club,38,13,14,11,41,45,-4,53,41,10.2,117,5,49.7,76.9,25.3,6.68,10.4,16.9,11.9,15.3,1.9,10.2,3.7,7.6,12.9
8,Real Sociedad,38,13,11,14,45,46,-1,50,45,11.3,78,4,51.7,80.2,19.0,6.7,11.7,15.2,11.2,12.9,2.4,11.3,3.8,10.8,14.3
9,Real Betis,38,14,8,16,44,52,-8,50,44,11.7,90,1,59.4,86.7,12.7,6.69,11.2,16.2,9.5,11.4,2.1,11.7,4.4,11.8,14.4
10,Deportivo Alaves,38,13,11,14,39,50,-11,50,39,11.3,101,1,44.6,70.8,23.6,6.66,13.2,16.9,10.3,14.5,1.5,11.3,3.2,7.2,13.1
11,Eibar,38,11,14,13,46,50,-4,47,46,14.0,79,2,52.0,72.7,27.1,6.7,8.8,16.8,9.7,13.7,2.4,14.0,4.1,9.1,10.3
12,Leganes,38,11,12,15,37,43,-6,45,37,11.0,102,4,44.5,73.2,25.1,6.67,10.8,16.0,11.4,14.3,2.0,11.0,3.5,6.7,10.5
13,Villarreal,38,10,14,14,49,52,-3,44,49,13.0,112,3,48.5,79.9,16.9,6.72,14.6,17.6,10.3,13.6,2.5,13.0,4.6,9.2,10.8
14,Levante,38,11,11,16,59,66,-7,44,59,11.6,101,7,46.6,75.3,13.1,6.65,18.2,15.1,11.1,13.2,2.2,11.6,4.2,10.6,12.8
15,Real Valladolid,38,10,11,17,32,51,-19,41,32,10.9,93,0,47.5,76.4,16.3,6.59,12.9,18.8,10.2,13.7,2.5,10.9,3.5,7.7,13.7
16,Celta Vigo,38,10,11,17,53,62,-9,41,53,11.9,74,6,51.5,81.8,18.0,6.69,12.6,16.7,10.1,12.1,2.4,11.9,4.2,10.0,12.7
17,Girona,38,9,10,19,37,53,-16,37,37,10.5,79,4,48.5,78.6,20.4,6.65,13.8,16.1,11.4,14.1,1.6,10.5,3.8,8.3,13.9
18,SD Huesca,38,7,12,19,43,65,-22,33,43,12.4,112,3,45.8,73.7,20.3,6.62,12.3,18.7,11.5,15.2,2.5,12.4,3.9,8.3,11.6
19,Rayo Vallecano,38,8,8,22,41,70,-29,32,41,12.1,97,8,49.5,78.9,14.6,6.61,11.8,17.1,11.4,14.9,1.9,12.1,4.0,14.1,12.0
