,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,59.8,82.6,0.8,2.2,0.6
1,Casemiro,61.5,84.1,0.2,6.5,-
2,Karim Benzema,34.7,86.2,-,1.4,0.1
3,Luis Suárez,23.4,75.5,0.1,0.9,-
4,Mikel Merino,53.7,75.8,0.2,2.2,-
5,Gerard Moreno,27.5,74.5,0.3,1.9,0.1
6,Nabil Fekir,29.8,83.9,0.5,1.2,-
7,Saúl Ñíguez,47.7,79.3,0.1,2.2,0.1
8,Joselu,26.9,52,-,0.9,-
9,Lucas Ocampos,25.4,79.9,0.6,0.8,-
10,Raúl García,26.8,55.9,0.1,0.6,-
11,Toni Kroos,66.7,93.5,1,6.9,-
12,Dani Carvajal,64.4,86.6,0.7,2.9,-
13,Santi Cazorla,44.9,86.4,1.2,4,0.1
14,Chimy Ávila,14.5,57.2,0.2,0.8,-
15,Rafinha,44.1,87.1,0.1,1.8,0.2
16,Martin Ødegaard,48.2,84.7,1.1,1.8,0.2
17,Éver Banega,67,86,1.5,7.3,0.2
18,Sergio Reguilón,47.4,81.4,0.9,2.3,-
19,Thomas Partey,46.8,83.4,0.1,2.9,-
20,Sergio Ramos,61.4,91,-,6.8,-
21,Sergio Busquets,78,89.9,-,3.3,0.2
22,Frank Anguissa,40.6,87.8,0.1,1.6,-
23,Mikel Oyarzabal,28,77.5,0.6,1.2,0.1
24,Gerard Piqué,76.6,91.8,-,4.3,-
25,Koke,51.4,85.2,0.6,1.3,0.1
26,Dani Parejo,64.1,86.3,1.4,6,0.1
27,Luka Modric,44.8,88.6,0.5,3.7,0.1
28,Ferland Mendy,40.4,87.9,0.5,2,-
29,José Campaña,52.7,81.4,1.1,2.8,0.1
30,Yeray Álvarez,45.9,78.3,0.1,3.6,-
31,Kieran Trippier,37.6,76.7,1.3,1.8,0.1
32,Iago Aspas,34.1,77,0.1,1.1,-
33,Raphaël Varane,52.2,87.3,-,5,-
34,Aitor Fernández,25.3,61.5,-,5.9,-
35,Antoine Griezmann,31.9,81.8,0.1,0.9,0.1
36,Felipe,36.8,76.8,-,2.4,-
37,Fernando,46,87.6,-,3.2,-
38,Yangel Herrera,30.5,75.2,0.1,1.5,0.1
39,Munir El Haddadi,20.4,79,0.3,0.6,-
40,Joan Jordán,48.8,87.3,0.8,4.1,-
41,Yuri Berchiche,38.9,81.8,0.6,2.6,-
42,Ante Budimir,16.5,64,-,0.1,-
43,Fabián Orellana,30.5,76.9,1.3,1.4,0.1
44,Pervis Estupiñán,35.5,74.6,1.1,1.5,-
45,Diego Carlos,54.3,84.2,0.1,4.8,-
46,Darwin Machís,12.1,72.4,0.8,0.4,-
47,Iñigo Martínez,45.8,77.9,0.2,5.8,-
48,Marc Bartra,55.7,85.3,-,3.5,-
49,Clément Lenglet,76.4,92.3,-,3.8,-
50,Rubén García,29,75.4,1.3,1.7,-
51,Cote,36.6,70,1.4,3.2,-
52,Joaquín,30.8,84.1,0.7,1,-
53,Álvaro Morata,14.6,64.4,-,0.1,0.1
54,Jesús Navas,53.5,80.2,1.4,3.4,0.1
55,Sergio Canales,57.4,88.4,1.3,3.5,0.1
56,Ander Capa,32.7,75.1,0.5,1,-
57,Jordi Alba,70.7,88.6,0.5,2.4,0.1
58,Jules Koundé,49.9,85.9,0.1,3,-
59,Rubén Rochina,31.4,76.1,0.5,3.3,0.1
60,Cucho Hernández,19,68.2,0.3,0.5,-
61,Víctor Díaz,31,67.1,0.7,3.1,-
62,Luuk de Jong,15.1,69.3,-,0.4,-
63,Denis Suárez,29.3,80.9,1,0.9,-
64,Sergi Roberto,67.1,91.8,0.3,1.1,-
65,Rubén Alcaraz,38.3,79.4,0.3,4.4,-
66,Frenkie de Jong,56.4,91.8,-,2.1,0.1
67,Thibaut Courtois,25.9,75.1,-,2.9,-
68,Damián Suárez,33.7,64.9,1.1,2.6,-
69,Carlos Fernández,17.8,59.7,-,0.5,0.1
70,Arthur,48.4,91.5,0.1,1.9,0.1
71,Joaquín Fernández,38.8,78.8,-,2.7,-
72,Roberto Torres,26,70.5,1,1.6,-
