,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Lionel Messi,Barcelona,36," AM(CR),FW",29(5),2710,36,13,3,-,5,81.3,0.2,17,8.48
1,Luis Suárez,Barcelona,37," AM(CLR),FW",31(2),2830,21,6,5,-,3.4,75.3,0.7,5,7.57
2,Iago Aspas,Celta Vigo,36," AM(CR),FW",26(1),2262,20,6,5,-,2.6,82,0.9,6,7.51
3,Dani Parejo,Valencia,35, M(C),35(1),3063,9,7,6,1,1.2,85.8,0.9,9,7.40
4,Karim Benzema,Real Madrid,36, FW,35(1),2964,21,6,1,-,2.9,82.6,1.2,7,7.38
5,Antoine Griezmann,Atletico,33," AM(CLR),FW",37,3204,15,9,5,-,3.1,78.3,1.1,4,7.29
6,Ousmane Dembélé,Barcelona,26," AM(CLR),FW",20(9),1673,8,5,1,-,1.3,80.7,0.3,3,7.25
7,Rodri,Atletico,27," D(C),DMC",32(2),2743,3,1,5,-,0.8,91.1,2.3,3,7.24
8,Wissam Ben Yedder,Sevilla,33," AM(C),FW",31(4),2821,18,9,4,-,2.2,73.9,1.1,3,7.23
9,Guillermo Maripán,Deportivo Alaves,29, D(C),22(1),2009,2,2,5,-,0.7,75.3,4.2,2,7.20
10,Gerard Piqué,Barcelona,37, D(C),35,3150,4,2,6,-,0.5,91.4,3.4,-,7.18
11,Saúl Ñíguez,Atletico,29," D(CL),M(CLR)",32(1),2925,4,1,10,-,1.6,78.8,2.9,4,7.17
12,Raúl García,Athletic Club,37," M(CLR),FW",27(6),2379,9,3,13,-,2.5,55.7,5.8,6,7.17
13,Pablo Sarabia,Sevilla,31," D(L),M(CLR),FW",30(3),2730,12,13,9,-,2.3,79.6,0.3,5,7.16
14,Casemiro,Real Madrid,32," D(C),DMC",27(2),2316,3,-,5,1,1.4,88,3,4,7.15
15,Joan Jordán,Eibar,29, M(C),32(4),2879,4,4,10,-,1.6,83.4,1.4,4,7.14
16,José Giménez,Atletico,29, D(CR),19(2),1772,-,-,5,-,0.7,80.5,2.7,-,7.13
17,José Campaña,Levante,30, M(CLR),36,3213,4,9,12,-,0.6,84.4,1.2,4,7.10
18,Santi Cazorla,Villarreal,39, M(CLR),30(5),2651,4,10,2,-,0.9,86.6,0.3,5,7.09
19,Toni Kroos,Real Madrid,34, M(C),26(2),2227,-,4,2,-,1.1,93.2,0.8,2,7.09
20,Koke,Atletico,32, M(CLR),29(1),2588,3,4,8,1,0.7,86.2,0.5,1,7.09
21,Jonathan Calleri,Deportivo Alaves,30, FW,33(1),2878,9,2,6,-,2.4,59.1,6,7,7.08
22,Éver Banega,Sevilla,35, M(C),32,2681,3,4,15,2,1,85.4,0.3,2,7.08
23,Ivan Rakitic,Barcelona,36, M(CL),29(5),2643,3,5,5,1,1.1,91.4,1.1,1,7.06
24,Rubén Rochina,Levante,33, M(CLR),23(4),1815,4,5,9,2,1.7,72.8,0.9,2,7.06
25,Giovani Lo Celso,Real Betis,28," M(CR),FW",27(5),2401,9,4,5,-,2,82.9,0.5,4,7.06
26,Cote,Eibar,34, D(L),34(1),3035,1,1,9,-,0.7,68.1,1.4,1,7.06
27,Enric Gallego,SD Huesca,37, FW,17(2),1541,5,1,4,-,1.7,55.1,5.3,2,7.05
28,Zouhair Feddal,Real Betis,34, D(C),19(2),1702,1,1,7,-,0.8,86.2,3.4,2,7.04
29,Rubén Peña,Eibar,32," D(LR),M(LR),FW",30(1),2674,1,2,3,-,0.7,71.5,0.7,1,7.04
30,Iborra,Villarreal,36, M(C),19,1667,3,1,7,-,0.9,80.4,4.6,-,7.04
31,Dani Carvajal,Real Madrid,32, D(R),23(1),2106,1,2,10,-,0.5,87.4,0.8,1,7.04
32,Adnan Januzaj,Real Sociedad,29, AM(CLR),13(7),1254,1,3,1,-,1.6,75.4,0.2,1,7.04
33,Luka Modric,Real Madrid,38, M(C),31(3),2618,3,6,6,-,1.1,88.9,0.4,1,7.03
34,Cristhian Stuani,Girona,37," AM(CLR),FW",30(2),2731,19,-,9,-,2.4,68.2,3.7,5,7.03
35,Sofiane Boufal,Celta Vigo,30," AM(CLR),FW",25(10),2100,3,3,6,-,1.5,80,0.5,1,7.03
36,Roberto Rosales,Espanyol,35," D(R),M(R)",20(1),1751,3,1,2,-,0.9,77.3,2.4,1,7.02
37,Jordi Alba,Barcelona,35," D(L),M(L)",32(4),2988,2,8,6,-,0.4,85.6,0.5,1,7.01
38,Leandro Cabrera,Getafe,32, D(CL),31(1),2794,2,-,9,1,0.7,50.6,5,2,7.01
39,Sergio Canales,Real Betis,33, M(CLR),30(2),2658,7,2,7,-,2.1,88.3,0.2,1,7.00
40,Sergio Busquets,Barcelona,35, DMC,30(5),2720,-,1,10,-,0.2,89.7,1.5,-,7.00
41,Iñaki Williams,Athletic Club,29," AM(CLR),FW",36(2),3040,13,4,3,-,2,70.3,2.1,5,7.00
42,Brais Méndez,Celta Vigo,27," AM(CR),FW",27(4),2354,6,7,5,-,2.3,78.5,1,1,6.99
43,Francis Coquelin,Valencia,32, M(CLR),20(6),1767,-,1,5,-,0.3,86.1,1.3,1,6.99
44,Diego Godín,Atletico,38, D(C),28(2),2508,3,1,7,-,0.5,80.5,3,1,6.98
45,José Gayà,Valencia,28," D(L),M(L)",35,3138,1,1,10,-,0.4,81.9,1,2,6.98
46,Yeray Álvarez,Athletic Club,29, D(C),30,2614,-,-,10,-,0.4,80.1,3.4,2,6.98
47,Marc Bartra,Real Betis,33," D(CR),DMC",33,2930,1,-,4,-,0.3,87.8,2.3,1,6.97
48,Jorge Molina,Getafe,42, FW,28(10),2651,14,5,2,-,1.5,66.7,2.4,4,6.97
49,Fabián Orellana,Eibar,38, AM(CLR),31(2),2739,3,5,4,-,2.4,77.8,0.8,5,6.97
50,Filipe Luís,Atletico,38, D(L),24(3),2038,2,2,4,-,0.4,83.1,0.7,-,6.96
51,Maxi Gómez,Celta Vigo,27, FW,33(2),2964,13,5,4,1,2.3,73.1,4,3,6.95
52,Geoffrey Kondogbia,Valencia,31," D(C),DMC",14(5),1244,1,1,1,-,1.2,84.4,1.3,2,6.95
53,Mario Hermoso,Espanyol,28, D(CL),31(1),2806,3,-,7,-,0.8,83.9,2.3,3,6.95
54,Raúl de Tomás,Rayo Vallecano,29, FW,32(1),2821,14,1,5,-,3.5,81.7,1.3,3,6.94
55,Dimitrios Siovas,Leganes,35, D(C),34,2965,1,-,5,-,0.6,72.3,3.1,1,6.94
56,André Silva,Sevilla,28, FW,25(2),2164,9,-,4,-,2.3,72.7,2.5,2,6.93
57,Thomas Partey,Atletico,30," D(R),M(CR)",22(10),2067,3,4,7,1,1.1,83.8,1.3,5,6.93
58,Aritz Elustondo,Real Sociedad,30, D(CR),24(3),2253,1,-,5,-,0.4,78.9,2.4,1,6.93
59,Jesús Navas,Sevilla,38," D(R),M(R)",31(1),2714,1,5,8,-,1,77,0.5,-,6.93
60,Gabriel Paulista,Valencia,33, D(CR),30,2625,-,1,6,-,0.4,86.7,2.1,1,6.93
