,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Karim Benzema,0.3,0.1,0.4,-,0.4,0.2,-,-
1,Vinícius Júnior,1.3,0.2,1,-,-,1,-,-
2,Ousmane Dembélé,1.1,0.4,0.5,-,0.1,0.8,-,-
3,Nabil Fekir,1.3,0.2,1.9,-,0.1,0.9,-,-
4,Casemiro,2.5,1.2,1.7,-,1.8,1.2,0.6,-
5,Joselu,0.4,0.2,1.2,-,1.2,0.5,0.1,-
6,Iker Muniain,0.9,0.5,0.4,-,0.1,0.8,-,-
7,Iago Aspas,0.4,0.3,0.6,-,0.5,0.5,0.1,-
8,Dani Parejo,1.3,0.9,0.5,-,0.5,1,0.2,-
9,Mikel Merino,2.1,0.6,1.8,0.1,1.6,1.2,0.3,-
10,Memphis Depay,0.4,0.1,0.8,-,0.1,0.4,-,-
11,Yannick Carrasco,1,0.6,0.9,-,0.4,0.7,0.1,-
12,Sergio Busquets,2.6,1.3,1.5,0.1,0.8,1,0.2,-
13,Raúl de Tomás,0.4,0.2,1,-,1.1,0.3,0.1,-
14,Luka Modric,0.6,0.7,0.9,-,0.3,0.8,0.1,-
15,Javi Galán,2.9,1.2,1.5,0.1,1.1,1.5,0.2,-
16,Mathías Olivera,2.5,1.7,1.7,0.2,1.7,0.9,0.1,-
17,Óscar Trejo,1.3,0.4,1.8,-,0.3,1.1,-,-
18,Gonçalo Guedes,0.6,0.3,1,-,-,0.6,-,-
19,Jordi Alba,1.6,1.1,0.9,0.4,1.1,0.7,0.2,-
20,Toni Kroos,1.2,0.4,0.7,-,0.4,0.8,0.1,-
21,Gabriel Paulista,1.1,2.1,0.6,0.8,4.5,0.3,0.6,-
22,Éder Militão,1.5,1.5,1.1,0.4,3.1,0.6,0.6,-
23,Ferland Mendy,1.1,0.8,0.7,0.1,0.9,0.3,0.1,-
24,Étienne Capoue,1.5,1.2,1.5,-,1.7,0.4,0.2,-
25,José Luís Morales,0.8,0.1,0.8,-,0.1,0.9,-,-
26,Marcos Acuña,1.6,0.5,1.2,0.1,0.6,0.5,0.2,-
27,Marc Bartra,1.7,1.4,0.9,1.3,4.4,0.7,1,-
28,Iñigo Martínez,1,1.4,1.2,0.5,5.1,0.3,0.4,-
29,Juan Foyth,2.8,0.8,1.6,0.4,1.7,0.5,0.3,-
30,David García,0.8,1.5,1.5,0.6,4.7,0.3,0.6,-
31,Enes Ünal,1,0.1,2.1,-,1,1,0.1,-
32,Sergio Canales,0.7,0.3,0.6,-,0.3,0.7,-,-
33,Pablo Maffeo,2.4,1.3,0.9,0.1,1.7,0.9,0.4,-
34,Mauro Arambarri,2,1,1.6,-,0.4,1.5,0.2,-
35,Juanmi,1.2,0.3,1.2,-,0.3,0.9,-,-
36,Gerard Piqué,0.8,1.3,1.1,0.4,3.1,0.1,0.6,-
37,Carlos Soler,0.9,0.4,0.7,-,0.8,0.8,0.1,-
38,Guido Rodríguez,3,1,1.5,0.2,1.6,1.4,0.4,-
39,Lucas Torró,2.2,1.4,1.7,0.1,1.6,0.8,0.3,1
40,Álex Moreno,2.5,1.1,1.1,0.5,2.3,0.9,0.2,-
41,Jules Koundé,1.3,0.7,0.5,0.4,3.1,0.3,0.6,-
42,Arnaut Danjuma,0.3,0.1,0.1,-,0.1,0.1,-,-
43,Frenkie de Jong,1.1,0.6,0.8,0.1,0.5,0.3,0.2,-
44,João Félix,0.2,0.3,0.6,-,0.3,0.2,-,-
45,Lucas Boyé,1.1,0.1,1.6,-,1,0.6,-,-
46,Mikel Oyarzabal,0.8,0.5,0.6,-,0.6,0.6,0.1,-
47,David Silva,1.1,0.3,0.9,-,0.5,0.7,0.1,-
48,Marco Asensio,0.4,0.4,0.3,-,0.2,0.5,-,-
49,Germán Pezzella,0.9,1.7,1.1,1,4.4,0.6,0.8,1
50,Héctor Bellerín,2.3,1,1,0.4,2.4,0.6,0.1,1
51,Alfonso Pedraza,1.2,1.1,1.3,0.1,1,0.6,0.1,-
52,Robin Le Normand,1.3,1.3,1,0.5,3.2,0.2,0.6,-
53,Érik Lamela,1.6,0.3,1.1,-,0.1,1,-,-
54,Pau Torres,1,0.6,0.4,1.1,3.1,0.2,0.7,-
55,Santi Comesaña,2.5,0.9,1.7,0.1,0.8,1.8,0.2,-
56,Dani Carvajal,1.8,0.8,0.8,-,1.3,0.5,0.3,-
57,Sergi Darder,1.3,0.7,0.8,-,0.8,1,-,-
58,Ronald Araujo,1.4,0.8,0.8,0.5,2,0.1,0.7,-
59,Luis Milla,1.7,0.7,0.8,-,0.9,1.1,0.1,-
60,Brais Méndez,1.8,1,2,-,0.8,1.6,0.2,-
61,Ivan Rakitic,1.1,0.7,1,-,1,0.8,0.2,-
62,José Giménez,0.8,1,0.5,0.3,3.9,0.3,0.8,-
63,Eduardo Camavinga,2,0.7,1.3,-,0.5,0.7,0.1,-
64,Yeray Álvarez,1.1,2,1,0.4,4.3,0.4,0.7,-
65,Alfonso Espino,2.9,1.5,1.4,0.2,2.1,1.8,0.3,-
66,Santi Mina,0.8,0.2,1.6,-,0.6,0.8,0.1,-
67,Geoffrey Kondogbia,2.6,1.6,1.4,-,0.8,1,0.2,-
68,Álvaro García,1.2,1.2,0.6,-,0.4,0.8,0.1,-
69,Thomas Lemar,1,0.3,0.5,-,0.4,0.6,-,-
70,Rodrigo De Paul,1.5,0.6,1.3,-,0.4,0.8,0.1,-
71,Conan Ledesma,0.1,-,0.1,-,1.3,-,-,-
72,Dani Vivian,1.3,1.1,0.8,0.9,4.5,0.3,0.6,-
73,Antoine Griezmann,1.2,0.3,0.7,-,0.6,0.8,-,-
74,Stefan Savic,1.6,1.3,1.1,0.2,3.5,0.5,0.4,1
75,William Carvalho,1.5,0.5,0.9,-,0.6,0.8,0.2,-
76,Alejandro Catena,1.1,0.8,0.7,0.3,4.6,0.5,0.5,-
77,Thibaut Courtois,-,-,-,-,0.4,-,-,-
78,Omar Alderete,1.8,1.2,1.4,0.4,5.2,0.7,0.6,-
79,Gavi,1.1,0.7,1.9,-,0.3,0.7,-,-
80,Samuel Chukwueze,0.5,0.2,0.4,0.1,0.1,0.1,-,-
81,Nacho Vidal,2.4,1.7,1.4,0.1,2,1.1,0.4,-
82,Denis Suárez,1.6,0.4,1.2,-,0.2,1.5,0.1,-
83,Diego López,-,-,-,-,1.1,0.1,-,-
84,Alex Berenguer,1.3,0.5,1.3,-,0.4,1.2,0.1,-
85,Edgar Badia,-,-,-,-,1.3,-,-,-
86,Aritz Elustondo,0.7,1,0.6,0.4,2.8,0.3,0.4,-
87,Lucas Ocampos,1.5,0.3,1.5,-,0.7,1.1,-,-
88,Óscar De Marcos,2.3,0.9,1.1,0.2,1.2,0.7,0.1,-
89,Yassine Bounou,-,-,-,-,0.7,-,-,-
90,Sergiño Dest,1.5,0.1,0.8,0.1,0.8,0.2,0.2,-
91,Federico Valverde,1.2,0.8,0.5,-,0.3,0.6,0.2,-
92,Ante Budimir,0.9,0.1,1.3,-,0.6,0.5,0.1,-
93,Martín Zubimendi,1.4,1.4,0.9,0.1,1.3,0.6,0.4,-
94,José Campaña,1.4,1.1,0.9,0.2,1,1,0.1,-
95,David Alaba,0.8,0.7,0.5,0.3,2.2,0.3,0.5,-
96,Diego Carlos,1,0.7,1,0.4,3.5,0.2,1,-
97,Edgar González,1.2,1.1,1,0.6,3.9,0.3,0.5,-
98,Diego Rico,2,1.4,0.8,0.6,1.9,1.1,0.2,-
99,Leandro Cabrera,1,1.2,0.9,0.6,5.8,0.4,0.6,1
100,Álvaro Negredo,0.1,0.1,0.5,-,0.7,0.1,0.1,-
101,Darwin Machís,0.9,0.6,0.8,-,0.5,0.6,-,-
102,Luís Maximiano,0.1,-,-,-,0.6,0.1,-,1
103,Dani Rodríguez,1.5,0.6,1.8,-,0.5,0.9,0.1,-
104,Lucas Vázquez,1.5,0.7,0.9,0.1,1.1,0.6,0.2,-
105,Papu Gómez,0.7,0.2,0.7,-,0.3,0.9,0.1,-
106,Alexander Isak,0.2,0.1,1,-,0.2,0.3,0.1,-
107,Carlos Akapo,1.7,2,0.9,0.2,2.2,0.6,0.3,-
108,Stole Dimitrievski,-,-,-,-,1.1,-,-,-
109,Jorge Cuenca,1.4,1.2,1,1,4.6,0.2,0.4,-
