,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Lionel Messi,30,9,5.6,4.5,2.8,0.2,2.5,2.5
1,Gerard Moreno,23,7,2.9,2.2,1.8,0.6,1.8,1.8
2,Karim Benzema,23,9,3.6,1.1,0.7,0.7,1.1,1.1
3,Casemiro,6,4,1.4,0.4,1.6,0.1,0.8,0.8
4,Iago Aspas,14,13,1.5,1.8,1.6,0.4,0.8,0.8
5,Marcos Llorente,12,11,1.3,1.1,1,0.2,1.4,1.4
6,Mikel Merino,2,4,1.3,1.2,2.1,0.1,1,1
7,Toni Kroos,3,10,1.2,0.6,1.1,-,0.3,0.3
8,Joselu,11,3,2.5,0.8,2,0.4,1,1
9,Kieran Trippier,-,6,0.1,0.7,0.5,0.2,0.3,0.3
10,Lucas Vázquez,2,5,0.9,1.3,1.3,0.1,0.9,0.9
11,Antoine Griezmann,13,7,2,0.7,0.9,0.4,0.6,0.6
12,Javi Galán,1,2,0.2,3.3,2.6,0.1,1.1,1.1
13,Yannick Carrasco,6,10,1.4,2.2,1.1,0.1,1.7,1.7
14,Luis Suárez,21,3,3.3,0.4,1.3,1,0.8,0.8
15,Luka Modric,5,3,1.3,1.6,0.9,-,0.9,0.9
16,Frenkie de Jong,3,4,0.5,1.6,1.2,0.1,0.7,0.7
17,Nabil Fekir,5,5,2.6,2.6,2.8,0.4,2.5,2.5
18,Dani Parejo,3,4,0.8,1,1.7,-,0.6,0.6
19,Carlos Soler,11,8,1.2,0.8,1.2,-,0.4,0.4
20,Mikel Oyarzabal,11,8,1.9,0.7,1.2,0.5,1.3,1.3
21,Alexander Isak,17,2,2.4,1.1,1,0.6,0.8,0.8
22,Ousmane Dembélé,6,3,1.8,2.1,0.9,0.4,1,1
23,Jules Koundé,2,1,0.6,0.9,0.7,0.1,0.3,0.3
24,Fernando,3,4,0.2,0.4,0.5,-,0.3,0.3
25,Jordi Alba,3,5,0.8,0.5,0.4,0.3,0.4,0.4
26,David Silva,2,5,1,1.5,1,-,0.8,0.8
27,Emerson Royal,1,4,0.3,0.7,2.1,0.1,1,1
28,Bryan Gil,4,3,1.4,2.4,1.7,0.4,1.3,1.3
29,Sergio Canales,8,6,1.5,1,0.7,0.1,0.8,0.8
30,Guido Rodríguez,1,-,0.9,1,1.3,-,0.6,0.6
31,Kike García,12,2,2.4,1,2.5,0.4,1.7,1.7
32,Ángel Correa,9,8,1.4,1.4,0.8,0.3,1.5,1.5
33,Lucas Ocampos,5,4,2,2,2.2,0.1,1.4,1.4
34,Stefan Savic,1,-,0.2,0.2,0.5,0.1,0.1,0.1
35,Koke,1,2,0.5,0.7,1.2,-,0.9,0.9
36,Maxi Gómez,7,1,1.7,0.5,2.3,1,0.7,0.7
37,Suso,3,4,1.4,1.7,1.1,0.2,1.1,1.1
38,Jesús Navas,-,6,0.4,0.7,0.6,0.1,0.4,0.4
