,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Valencia,10.5,17.8,7.6,13.3,2.1
1,Real Valladolid,15.5,17.7,9.1,12.1,2.6
2,Atletico Madrid,11.5,17.6,8,11.6,2.1
3,Real Betis,12.3,17.5,9.6,10.9,1.9
4,Celta Vigo,10.2,17.5,9.7,12.3,2.1
5,Real Sociedad,10.4,17.4,7.1,16.3,2.4
6,Espanyol,14.3,17.2,8.9,12,1.6
7,Rayo Vallecano,11.5,16.7,8.1,14.3,2.6
8,Elche,14.8,16.7,8.5,13.8,2.1
9,Cadiz,14.5,16.4,7.1,14,2
10,Athletic Club,10.3,16,8.2,13.5,2.5
11,Sevilla,13.4,15.4,8.9,12.5,2.8
12,Mallorca,13.1,15.3,8.4,16.1,2
13,Villarreal,12.5,15.2,6.9,11.8,2.3
14,Almeria,14.3,14.7,8.5,11.7,2.2
15,Girona,13,14.5,7,11.6,2.3
16,Real Madrid,11.1,14.3,7.8,9.7,2.3
17,Getafe,12.8,14.2,8.4,15.8,2.1
18,Osasuna,11.7,14.1,8.3,14.3,1.6
19,Barcelona,8.7,13.7,6.7,11.4,2.6
