,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Real Madrid,17.3,6.8,12,12.5
1,Barcelona,13.6,4.9,12.5,12.9
2,Real Betis,13.6,5,9.8,12.4
3,Rayo Vallecano,13.3,3.7,9.4,13.4
4,Athletic Club,12.3,4.3,7.8,12.7
5,Atletico Madrid,12.2,4.2,10.1,13.2
6,Villarreal,12,4.6,11.9,12.1
7,Mallorca,11.8,3.6,9.7,14.1
8,Levante,11.7,4.2,9.2,10.6
9,Real Sociedad,11.6,4.1,9.5,12.2
10,Sevilla,11.4,3.8,8,12.2
11,Osasuna,11.4,3.3,6.9,10.3
12,Granada,11.2,3.6,7.1,12.3
13,Cadiz,10.8,3.4,7.4,11.8
14,Celta Vigo,10.8,3.8,9.1,12.2
15,Getafe,10.8,3.1,6.4,12.7
16,Espanyol,10.7,3.5,9.8,13.6
17,Valencia,10.6,3.8,9.5,15.4
18,Deportivo Alaves,10,3.1,7.1,12
19,Elche,8.8,2.8,8.9,12.4
