,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Celta Vigo,10.9,17.4,10.7,16.6,1.7
1,Atletico Madrid,9.5,16.4,10.2,12.9,2.5
2,Getafe,8.4,15.2,10.4,16.6,1.9
3,Cadiz,11.8,15.1,11.5,11.5,1.5
4,Real Valladolid,12.4,14.7,11.3,13.4,2
5,Real Betis,9.6,14.6,11.9,13.7,1.7
6,SD Huesca,11.1,14.6,11.5,13.9,2.7
7,Elche,12.5,14.5,10.2,13.9,1.3
8,Real Sociedad,8.9,14.4,8.3,14.9,2.3
9,Villarreal,10.8,14.2,9.8,11.8,2.3
10,Real Madrid,9.4,14,10.5,10.7,2.3
11,Osasuna,11.3,13.8,10.3,14.1,1.8
12,Eibar,9.2,13.5,11.4,13,1.8
13,Levante,12.2,13.4,11.4,13.4,1.8
14,Deportivo Alaves,10.5,13.1,11.2,13.5,1.9
15,Barcelona,8.6,13.1,9.5,9.4,2.4
16,Granada,12.6,13.1,10.3,14,2.2
17,Sevilla,9.2,12.9,9.5,12.9,1.8
18,Valencia,14.4,12.2,10.3,12.1,2.4
19,Athletic Club,9.9,12.2,9.1,12.7,2
