,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Barcelona,15.3,6.4,13.5,13.8
1,Real Madrid,14.4,4.6,11.3,12.5
2,Sevilla,12.1,3.8,10.3,12.8
3,Atletico Madrid,12.1,4.9,9.8,11.7
4,Eibar,11.9,3.6,8.4,10.2
5,Real Betis,11.7,4.2,11,12.7
6,Real Sociedad,11.3,4.1,8.7,12.1
7,SD Huesca,10.7,3.6,11.2,13.6
8,Villarreal,10.7,4.3,11.5,12.2
9,Athletic Club,10.6,3.6,8,12.6
10,Valencia,10.3,3.7,9,13.8
11,Levante,10.1,3.4,9.6,10.4
12,Osasuna,9.8,3.2,6.4,10.7
13,Real Valladolid,9.7,3.1,7.7,13.4
14,Getafe,9.5,2.8,6.9,13.7
15,Granada,9.4,3.3,8.2,12.3
16,Celta Vigo,9.4,3.7,7.3,12.9
17,Deportivo Alaves,9.1,2.7,6.7,12.8
18,Cadiz,8,2.7,8.4,12.7
19,Elche,7.1,2.4,9.6,12
