,Team,P,W,D,L,GF,GA,GD,Pts
0,Real Madrid,70,14.8,76,4,57.1,86.9,14.1,6.97
1,Barcelona,86,13,86,6,63.2,88.8,12.5,6.95
2,Sevilla,54,12.9,96,1,55.9,83.0,20.4,6.80
3,Atletico Madrid,51,11.8,89,3,48.9,78.8,22.7,6.78
4,Villarreal,63,13,78,1,29.6,82.7,15.1,6.75
5,Real Sociedad,56,11.3,77,2,54.6,81.1,22.4,6.69
6,Athletic Club,41,10.8,90,2,49.0,76.4,24.9,6.67
7,Granada,52,10.4,107,1,45.2,71.3,20.4,6.65
8,Real Betis,48,12.6,105,9,55.7,83.4,15.8,6.61
9,Celta Vigo,37,9.7,100,6,51.3,80.5,17.7,6.61
10,Osasuna,46,12.2,104,6,47.8,70.5,23.7,6.61
11,Getafe,43,10.9,131,7,45.8,61.9,25,6.61
12,Valencia,46,8.9,75,8,49.4,81.7,15,6.60
13,Levante,47,11.2,71,5,48.8,77.9,14.1,6.60
14,Eibar,39,11.3,88,3,46.7,69.2,26.4,6.58
15,Real Valladolid,32,9.9,84,0,15.4,74.4,17.1,6.57
16,Leganes,30,11.4,125,4,45.0,72.2,21.3,6.55
17,Mallorca,40,11.1,85,5,46.3,77.6,17.5,6.52
18,Deportivo Alaves,34,8.2,105,7,43.2,70.2,24.5,6.52
19,Espanyol,27,10.8,95,9,47.5,74.6,21,6.47
