,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Barcelona,85,15.3,68,2,36.9,89.7,10.6,6.87
1,Real Madrid,67,14.4,57,2,57.7,87.7,11.8,6.86
2,Atletico Madrid,67,12.1,100,0,51.8,83.1,14.4,6.84
3,Sevilla,53,12.1,75,2,58.7,86.2,16.6,6.70
4,Villarreal,60,10.7,65,5,54.3,84.4,13,6.66
5,Real Sociedad,59,11.3,81,1,53.7,80.8,17.9,6.65
6,Real Betis,50,11.7,87,8,52.9,82.0,16.4,6.64
7,Valencia,50,10.3,77,5,47.9,79.4,16.3,6.60
8,Celta Vigo,55,9.4,104,5,52.0,79.9,16.5,6.60
9,SD Huesca,34,10.7,68,2,48.7,79.8,15.7,6.55
10,Athletic Club,46,10.6,81,3,49.4,78.5,17.9,6.54
11,Osasuna,37,9.8,74,5,44.6,70.2,26.8,6.54
12,Eibar,29,11.9,67,3,49.2,72.6,24.4,6.53
13,Deportivo Alaves,36,9.1,87,8,44.6,72.9,22.6,6.50
14,Levante,46,10.1,70,1,51.5,80.1,12.2,6.50
15,Getafe,28,9.5,117,7,8.9,66.5,22.8,6.49
16,Elche,34,7.1,95,3,48.1,81.5,13.2,6.48
17,Granada,47,9.4,96,6,43.4,70.0,18.3,6.47
18,Cadiz,36,8,77,3,38.5,68.8,18.5,6.47
19,Real Valladolid,34,9.7,93,4,46.2,74.8,17.1,6.46
