,Team,P,W,D,L,GF,GA,GD,Pts
0,Barcelona,38,26,9,3,90,36,+54,87
1,Atletico Madrid,38,22,10,6,55,29,+26,76
2,Real Madrid,38,21,5,12,63,46,+17,68
3,Valencia,38,15,16,7,51,35,+16,61
4,Getafe,38,15,14,9,48,35,+13,59
5,Sevilla,38,17,8,13,62,47,+15,59
6,Espanyol,38,14,11,13,48,50,-2,53
7,Athletic Club,38,13,14,11,41,45,-4,53
8,Real Sociedad,38,13,11,14,45,46,-1,50
9,Real Betis,38,14,8,16,44,52,-8,50
10,Deportivo Alaves,38,13,11,14,39,50,-11,50
11,Eibar,38,11,14,13,46,50,-4,47
12,Leganes,38,11,12,15,37,43,-6,45
13,Villarreal,38,10,14,14,49,52,-3,44
14,Levante,38,11,11,16,59,66,-7,44
15,Real Valladolid,38,10,11,17,32,51,-19,41
16,Celta Vigo,38,10,11,17,53,62,-9,41
17,Girona,38,9,10,19,37,53,-16,37
18,SD Huesca,38,7,12,19,43,65,-22,33
19,Rayo Vallecano,38,8,8,22,41,70,-29,32
