,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Paris Saint-Germain,27,22,2,3,75,24,51,68,75,16.6,49,1,61.8,89.9,8.8,7.11,9.9,17.9,9.4,12.3,2.1,16.6,7.2,15.0,10.8
1,Marseille,28,16,8,4,41,29,12,56,41,13.4,67,3,52.8,82.4,17.5,6.82,9.9,20.1,11.2,13.4,0.8,13.4,4.3,11.3,11.4
2,Rennes,28,15,5,8,38,24,14,50,38,12.2,51,1,50.0,80.5,18.6,6.8,12.8,17.9,9.7,13.8,1.4,12.2,4.1,9.3,14.4
3,Lille,28,15,4,9,35,27,8,49,35,12.5,49,3,51.7,81.1,18.1,6.72,9.9,15.1,9.9,13.8,2.1,12.5,4.6,11.0,12.3
4,Reims,28,10,11,7,26,21,5,41,26,12.1,46,5,49.5,79.8,16.3,6.74,10.1,17.5,11.8,13.7,1.6,12.1,3.3,10.8,13.8
5,Nice,28,11,8,9,41,38,3,41,41,12.1,51,7,54.2,87.1,10.5,6.74,14.0,16.8,12.1,10.5,0.8,12.1,4.8,13.0,12.9
6,Lyon,28,11,7,10,42,27,15,40,42,12.9,48,4,27.6,85.0,16.7,6.84,11.1,17.6,11.1,12.2,0.9,12.9,4.9,12.1,11.1
7,Montpellier,28,11,7,10,35,34,1,40,35,12.6,53,5,47.9,77.9,22.6,6.74,13.3,16.0,11.0,15.0,1.5,12.6,4.2,7.8,13.8
8,Monaco,28,11,7,10,44,44,0,40,44,13.6,59,10,19.3,82.6,15.0,6.74,13.1,18.0,10.0,12.0,1.6,13.6,5.0,10.9,12.3
9,Angers,28,11,6,11,28,33,-5,39,28,13.0,41,2,46.2,80.1,16.9,6.65,9.6,15.7,9.6,12.0,1.0,13.0,4.1,10.4,11.3
10,Strasbourg,27,11,5,11,32,32,0,38,32,12.1,45,1,26.1,80.5,19.6,6.72,10.2,17.5,11.1,13.6,1.2,12.1,4.1,9.5,11.5
11,Bordeaux,28,9,10,9,40,34,6,37,40,11.1,56,0,53.0,82.9,18.3,6.72,12.9,17.3,10.8,13.5,1.4,11.1,3.9,9.8,12.9
12,Nantes,28,11,4,13,28,31,-3,37,28,11.9,50,2,48.3,79.3,17.4,6.72,10.8,19.5,10.9,13.4,1.6,11.9,4.1,11.5,12.1
13,Brest,28,8,10,10,34,37,-3,34,34,11.6,45,2,49.6,79.9,14.9,6.68,14.8,17.3,12.6,11.8,1.3,11.6,3.7,7.5,10.2
14,Metz,28,8,10,10,27,35,-8,34,27,11.1,46,4,46.8,78.7,17.1,6.72,13.9,18.8,11.1,12.0,1.1,11.1,3.6,12.0,12.3
15,Dijon,28,7,9,12,27,37,-10,30,27,12.0,42,2,47.5,79.3,20.2,6.69,14.2,18.5,11.9,12.5,1.1,12.0,3.7,11.2,11.9
16,Saint-Etienne,28,8,6,14,29,45,-16,30,29,11.0,57,3,48.6,78.9,19.8,6.6,11.6,18.3,13.4,13.3,1.5,11.0,3.6,10.3,11.6
17,Nimes,28,7,6,15,29,44,-15,27,29,12.8,40,6,27.7,73.8,22.0,6.64,12.6,19.7,11.8,12.9,1.4,12.8,3.8,8.3,14.3
18,Amiens,28,4,11,13,31,50,-19,23,31,8.4,55,4,16.7,77.4,18.0,6.5,14.6,15.2,10.8,14.4,1.3,8.4,3.0,8.8,11.4
19,Toulouse,28,3,4,21,22,58,-36,13,22,11.3,47,5,45.4,78.1,17.2,6.51,14.8,19.6,11.4,14.1,1.1,11.3,3.5,10.2,10.5
