,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Lionel Messi,PSG,36," AM(CR),FW",32,2842,16,16,-,-,4,83.1,-,14,8.28,0.8,0.1,0.3,-,-,0.5,-,-,3.2,1.1,0.2,2.4,2.4,60.3,83.1,1.1,2.7,1.2
1,Kylian Mbappé,PSG,25," AM(CLR),FW",32(2),2822,29,5,6,-,4.4,82.9,0.2,7,7.8,0.3,0.1,0.6,-,0.1,0.3,-,-,2.2,1.2,1,1.2,1.2,37.9,82.9,0.4,0.6,0.2
2,Neymar,PSG,32," AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71,1.1,0.2,1.3,-,0.1,0.5,0.1,-,1.9,3.3,0.3,1.9,1.9,59.4,82.7,0.9,2.2,0.5
3,Alexandre Lacazette,Lyon,32," M(CLR),FW",34(1),2938,27,5,3,-,3.3,75.5,0.8,5,7.42,1.2,0.4,1.8,-,0.1,0.5,0.1,-,1.1,1.6,0.4,1.3,1.3,24.9,75.5,0.1,0.8,0.1
4,Rémy Cabella,Lille,34," M(CLR),FW",28(4),2535,7,10,3,-,1.3,84.3,0.3,5,7.38,2,0.5,0.8,-,0.2,1.1,0.2,-,1.3,1.4,0.1,1.1,1.1,49.1,84.3,1.6,0.9,0.2
5,Téji Savanier,Montpellier,32, M(C),30,2557,12,4,4,3,2.1,77.9,0.4,7,7.28,1.5,1,1.9,-,0.4,1.6,0.1,-,2.4,3.2,-,1.7,1.7,47.3,77.9,1.7,4.9,0.1
6,Enzo Le Fée,Lorient,24, M(CLR),35,3039,5,5,5,-,1.3,84.7,0.3,5,7.26,3.1,1,1.2,-,0.9,2,0.1,-,1.9,1.8,0.1,1.6,1.6,56.1,84.7,0.9,3,0.1
7,Jonathan David,Lille,24," AM(C),FW",36(1),3179,24,4,6,-,2.9,82.7,0.4,5,7.18,0.6,0.2,1.1,-,0.3,0.5,0.1,-,0.8,1.6,0.6,1.4,1.4,23.2,82.7,0.1,0.4,0.1
8,Benjamin André,Lille,33," D(R),M(CLR)",33(1),2919,1,1,12,-,0.7,84.3,2.7,3,7.16,3.8,1.4,1.7,0.1,1.6,1.6,0.2,-,0.6,1.1,-,1,1,67.6,84.3,-,5.2,0.1
9,Benjamin Lecomte,Montpellier,33, GK,19,1710,-,-,-,-,-,60.0,0.3,1,7.15,-,-,-,-,0.8,0.1,-,-,0.1,-,-,-,-,29.9,60.0,-,7.5,-
10,Benjamin Bourigeaud,Rennes,30, M(CLR),37,3084,7,10,4,1,2,80.8,0.3,4,7.15,1.2,0.8,0.9,0.1,0.7,1.2,0.1,-,0.4,0.4,0.1,0.5,0.5,46.6,80.8,2,3.1,0.2
11,Florian Sotoca,Lens,33," M(CR),FW",34(4),3064,7,9,4,-,2.3,80.1,1.5,4,7.13,1,0.8,1,-,1.3,0.7,0.1,-,0.4,1.2,0.2,0.7,0.7,36.6,80.1,0.5,2.2,0.2
12,Amine Gouiri,Rennes,24," AM(CL),FW",29(4),2532,15,3,3,-,2.2,79.8,0.9,1,7.12,1.3,0.4,1.2,-,0.3,0.6,-,-,1,0.5,0.2,1.1,1.1,22.1,79.8,0.2,0.5,0.1
13,Gaëtan Laborde,Nice,30," AM(CLR),FW",28(5),2514,13,3,-,-,2.3,71.0,1.5,4,7.12,1.4,0.3,0.8,-,0.4,0.7,0.1,-,0.8,0.8,0.2,0.9,0.9,19.3,71.0,0.5,0.3,0.1
14,Aleksandr Golovin,Monaco,27, M(CLR),29(5),2484,8,7,5,-,1.4,74.8,0.5,3,7.11,1.8,1.1,1.1,-,0.2,1.3,-,-,0.8,0.7,0.2,0.9,0.9,28.4,74.8,1,1.3,0.1
