,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kylian Mbappé,0.3,0.1,0.8,-,0.4,0.2,-,-
1,Lionel Messi,0.4,0.2,0.2,-,-,0.4,-,-
2,Neymar,1.3,0.2,1.4,-,0.1,1.1,-,-
3,Benjamin Bourigeaud,1.2,0.8,0.7,-,1,1.1,0.1,-
4,Dimitri Payet,0.5,0.3,0.3,-,0.1,0.8,-,-
5,Martin Terrier,1.5,0.5,0.8,-,0.5,0.5,0.1,-
6,Téji Savanier,1.6,0.9,1.6,-,0.4,1.3,-,-
7,Aurélien Tchouaméni,2.5,2.9,1.5,0.1,0.9,0.7,0.2,-
8,Sofiane Boufal,1.5,0.2,1.5,-,-,0.7,0.1,-
9,Lucas Paquetá,1.9,0.3,1.8,-,0.6,1,0.1,-
10,Jonathan Clauss,1.7,2,1,-,1.1,0.9,-,-
11,Marco Verratti,2.5,0.8,1.3,-,0.4,1.3,0.4,1
12,Bruno Guimarães,2.5,1.1,1.6,0.1,0.4,1.8,0.2,-
13,Moussa Dembélé,0.6,0.3,1,-,1,0.3,-,-
14,Romain Faivre,1.4,0.6,0.7,-,0.5,0.9,-,-
15,Ángel Di María,1.1,0.2,0.3,-,0.1,0.9,-,-
16,Karl Toko-Ekambi,0.4,0.7,0.5,-,0.2,0.6,-,-
17,Gaëtan Laborde,0.6,0.2,0.9,-,0.5,0.6,0.1,-
18,Andrei Girotto,2.4,1.9,1.4,0.4,3.9,1.4,0.9,-
19,Franck Honorat,1.6,0.4,0.7,-,0.6,0.6,0.1,-
20,Andy Delort,0.5,0.3,1.2,-,0.4,0.2,0.1,-
21,Lovro Majer,1.1,0.4,1.2,-,0.3,1.1,0.1,-
22,Ludovic Ajorque,1,0.2,1.1,-,0.9,0.9,0.1,1
23,Wissam Ben Yedder,0.5,-,0.5,-,-,0.2,-,-
24,Kiki Kouyaté,2.8,2.6,1.2,0.5,7,1,1.1,-
25,Frédéric Guilbert,2.1,1.7,0.8,0.2,1.1,0.9,0.3,-
26,Amine Gouiri,0.6,0.3,0.8,-,0.4,0.6,0.1,-
