,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Lionel Messi,16,16,4,3.2,1.1,0.2,2.4,2.4
1,Kylian Mbappé,29,5,4.4,2.2,1.2,1,1.2,1.2
2,Neymar,13,11,1.9,1.9,3.3,0.3,1.9,1.9
3,Alexandre Lacazette,27,5,3.3,1.1,1.6,0.4,1.3,1.3
4,Rémy Cabella,7,10,1.3,1.3,1.4,0.1,1.1,1.1
5,Téji Savanier,12,4,2.1,2.4,3.2,-,1.7,1.7
6,Enzo Le Fée,5,5,1.3,1.9,1.8,0.1,1.6,1.6
7,Jonathan David,24,4,2.9,0.8,1.6,0.6,1.4,1.4
8,Benjamin André,1,1,0.7,0.6,1.1,-,1,1
9,Benjamin Lecomte,-,-,-,0.1,-,-,-,-
10,Benjamin Bourigeaud,7,10,2,0.4,0.4,0.1,0.5,0.5
11,Florian Sotoca,7,9,2.3,0.4,1.2,0.2,0.7,0.7
12,Amine Gouiri,15,3,2.2,1,0.5,0.2,1.1,1.1
13,Gaëtan Laborde,13,3,2.3,0.8,0.8,0.2,0.9,0.9
14,Aleksandr Golovin,8,7,1.4,0.8,0.7,0.2,0.9,0.9
15,Seko Fofana,7,5,2.4,1.7,1.3,0.1,1.2,1.2
16,Andrei Girotto,1,1,0.8,0.1,0.9,-,0.2,0.2
17,Edon Zhegrova,3,4,1.9,2.4,0.7,0.1,0.8,0.8
18,Branco van den Boomen,5,8,1.5,0.5,0.5,0.1,0.3,0.3
19,Jérémy Doku,6,2,0.9,3.3,1.2,-,0.8,0.8
20,Jean-Ricner Bellegarde,2,6,1.3,1.9,2.4,-,1.5,1.5
21,Steve Mounié,6,-,2.6,0.4,1.1,0.4,1.2,1.2
22,Wissam Ben Yedder,19,6,2.3,0.7,0.7,0.7,1,1
23,Fabien Centonze,-,-,0.6,1.7,0.9,-,0.5,0.5
24,Nuno Mendes,1,5,0.4,1.2,1.5,0.2,0.7,0.7
25,Maxence Caqueret,4,7,0.7,1.1,0.9,0.1,1.3,1.3
26,Alexis Sánchez,14,3,1.9,1.2,1.3,0.8,1.8,1.8
