,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Kylian Mbappé,26.9,79.4,0.2,0.6,0.1
1,Téji Savanier,50.4,71.4,2.3,6.6,0.1
2,Nicolas Pépé,31.6,79.1,0.4,0.7,0.3
3,Ángel Di María,42.1,78.8,1,1.7,0.2
4,Youcef Atal,34.9,83.6,0.3,0.9,0.1
5,Edinson Cavani,16.7,76.3,-,0.3,-
6,Hatem Ben Arfa,32.7,85.2,0.5,1.6,0.2
7,Memphis Depay,34.8,80.1,2,1.4,0.2
8,Nabil Fekir,34.1,85.2,1,1.2,0.1
9,Flavien Tait,36.4,78.8,1.4,1.4,0.2
10,Andy Delort,29.3,63.9,0.8,1.4,0.1
11,Thiago Mendes,56.7,84.8,1.4,3.1,0.1
12,Wahbi Khazri,27.4,74.5,1.6,1.8,-
13,Marcelo,72.2,87.8,-,5.2,0.1
14,Marquinhos,75.3,91.9,-,4.1,0.1
15,Allan Saint-Maximin,25.4,76,0.7,1,0.1
16,Florian Thauvin,33.5,76.9,1,1.3,0.2
17,Benjamin André,49.4,79.2,-,1.7,-
18,Max Gradel,31.2,74.2,0.8,0.8,0.1
19,Lucas Ocampos,23.9,78,0.5,0.6,0.1
20,Ruben Aguilar,42.6,83.5,1.1,1.9,-
21,Rémy Cabella,58.1,86.5,0.5,1.8,0.1
22,Youssouf Koné,41.3,83.2,0.9,1.9,-
23,Mathieu Debuchy,34.8,73.1,0.8,1.3,-
24,Kenny Lala,48.1,80.5,1.4,5.1,0.1
25,Valentin Rongier,53.2,82.7,1.1,3.3,-
26,Ferland Mendy,54.7,84.5,0.5,3,-
27,Hiroki Sakai,43.2,81.6,0.3,1.3,-
28,Christophe Hérelle,65.8,88.7,0.1,3.1,-
29,Marco Verratti,79.5,90.9,-,2.6,0.5
30,Thomas Meunier,37.5,84.5,0.5,1.2,-
31,Thiago Silva,75,94.2,-,3.5,0.1
32,Ibrahim Sangaré,54.1,79.6,-,3.9,0.1
33,Houssem Aouar,55.6,86.7,0.1,2.3,0.1
34,Walter Benítez,26.9,75.2,-,4.8,-
35,Florent Mollet,39.8,87.3,2,2.4,-
36,Nicolas Pallois,43.5,77.1,-,3.9,-
37,Gaëtan Laborde,24.1,67.4,0.1,0.4,0.1
38,Renaud Ripart,25.8,73.3,0.3,0.7,0.1
39,Dani Alves,63.1,85.6,0.7,2.2,0.3
40,Julian Draxler,49.5,89.8,0.4,1.3,0.1
41,Jonathan Bamba,30.1,79.6,0.3,0.9,0.2
42,Ghislain Konan,34.6,77.5,0.8,1.6,-
43,Naïm Sliti,22.6,76.8,1.3,1.1,0.1
44,Léo Dubois,48.6,85.6,1,1.8,-
45,Emiliano Sala,19.1,64.2,0.1,0.1,0.1
46,Marcus Thuram,24.5,73.2,0.3,0.3,-
47,Ellyes Skhiri,44.5,85.7,0.1,2.8,-
48,Tanguy Ndombélé,57.7,89.1,-,1.6,0.1
49,Ismaïla Sarr,19.8,76.5,0.3,0.3,-
50,Thilo Kehrer,49.5,92.7,0.1,1.4,-
51,Pablo Martinez,49.4,84.2,0.1,5.9,-
52,Yunis Abdelhamid,42.2,82.9,-,2.8,-
53,Samuel Kalu,22.1,71.8,1.2,1.1,-
54,José Fonte,61.4,87.4,-,3.5,-
