,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Lionel Messi,PSG,36," AM(CR),FW",32,2842,16,16,-,-,4,83.1,-,14,8.28
1,Kylian Mbappé,PSG,25," AM(CLR),FW",32(2),2822,29,5,6,-,4.4,82.9,0.2,7,7.80
2,Neymar,PSG,32," AM(CLR),FW",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71
3,Alexandre Lacazette,Lyon,32," M(CLR),FW",34(1),2938,27,5,3,-,3.3,75.5,0.8,5,7.42
4,Rémy Cabella,Lille,34," M(CLR),FW",28(4),2535,7,10,3,-,1.3,84.3,0.3,5,7.38
5,Téji Savanier,Montpellier,32, M(C),30,2557,12,4,4,3,2.1,77.9,0.4,7,7.28
6,Enzo Le Fée,Lorient,24, M(CLR),35,3039,5,5,5,-,1.3,84.7,0.3,5,7.26
7,Jonathan David,Lille,24," AM(C),FW",36(1),3179,24,4,6,-,2.9,82.7,0.4,5,7.18
8,Benjamin André,Lille,33," D(R),M(CLR)",33(1),2919,1,1,12,-,0.7,84.3,2.7,3,7.16
9,Benjamin Lecomte,Montpellier,33, GK,19,1710,-,-,-,-,-,60,0.3,1,7.15
10,Benjamin Bourigeaud,Rennes,30, M(CLR),37,3084,7,10,4,1,2,80.8,0.3,4,7.15
11,Florian Sotoca,Lens,33," M(CR),FW",34(4),3064,7,9,4,-,2.3,80.1,1.5,4,7.13
12,Amine Gouiri,Rennes,24," AM(CL),FW",29(4),2532,15,3,3,-,2.2,79.8,0.9,1,7.12
13,Gaëtan Laborde,Nice,30," AM(CLR),FW",28(5),2514,13,3,-,-,2.3,71,1.5,4,7.12
14,Aleksandr Golovin,Monaco,27, M(CLR),29(5),2484,8,7,5,-,1.4,74.8,0.5,3,7.11
15,Seko Fofana,Lens,28, M(C),34(1),3079,7,5,2,-,2.4,89.3,0.6,4,7.10
16,Andrei Girotto,Nantes,32," D(C),DMC",36,3153,1,1,7,-,0.8,83,2.2,4,7.09
17,Edon Zhegrova,Lille,25, AM(R),11(11),1056,3,4,1,-,1.9,82.5,-,2,7.08
18,Branco van den Boomen,Toulouse,28, DMC,32(3),2893,5,8,6,-,1.5,83,0.2,1,7.08
19,Jérémy Doku,Rennes,21, M(LR),13(16),1287,6,2,-,-,0.9,86.4,0.1,4,7.08
20,Jean-Ricner Bellegarde,Strasbourg,25, M(CLR),29(1),2428,2,6,5,-,1.3,81.6,0.7,5,7.07
21,Steve Mounié,Brest,29, FW,20(3),1662,6,-,2,-,2.6,56.2,6.6,2,7.07
22,Wissam Ben Yedder,Monaco,33," AM(C),FW",28(4),2130,19,6,4,-,2.3,76.5,0.5,4,7.07
23,Fabien Centonze,Nantes,28," D(R),M(R)",19(4),1693,-,-,4,-,0.6,79.3,1.4,1,7.06
24,Nuno Mendes,PSG,21," D(L),M(L)",18(5),1554,1,5,2,-,0.4,86.9,0.4,-,7.04
25,Maxence Caqueret,Lyon,24, M(C),32(4),2778,4,7,2,-,0.7,86.3,0.4,2,7.04
26,Alexis Sánchez,Marseille,35," M(CLR),FW",32(3),2699,14,3,3,-,1.9,75.8,1,6,7.04
27,Habib Diallo,Strasbourg,28," AM(R),FW",32(5),2880,20,1,2,1,2.5,67.7,3.6,5,7.04
28,Nabil Bentaleb,Angers,29, M(C),29(1),2492,4,4,5,1,1.4,85.2,1,4,7.03
29,Przemyslaw Frankowski,Lens,29," D(R),M(CLR)",31(6),2838,5,3,4,-,0.8,82.1,0.3,3,7.03
30,Ludovic Blas,Nantes,26," M(CLR),FW",30(7),2821,7,5,6,-,2.7,85.5,0.5,3,7.01
31,Valentin Rongier,Marseille,29," D(R),M(C)",34(2),3034,1,2,8,-,0.6,88.5,1.2,1,7.00
32,Franck Honorat,Brest,27," M(LR),FW",29(4),2546,6,5,1,-,1.4,75,0.4,3,7.00
33,Loïs Openda,Lens,24, FW,29(9),2529,21,4,2,-,2.7,71.2,0.3,6,6.99
34,Rayan Cherki,Lyon,20," AM(CLR),FW",21(13),1874,4,6,3,-,1.8,81,0.1,3,6.99
