,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Monaco,8.6,19.3,11.5,12.8,1.8
1,Lorient,12.2,19,13.9,12.5,1.2
2,Saint-Etienne,10.8,18.8,12.4,13.9,1.3
3,Nantes,12.1,18.3,12.2,13.5,1.4
4,Metz,12.6,18,15,13.6,1.3
5,Reims,13.5,17.3,12.8,11.6,1.6
6,Marseille,11.7,17.2,11.6,13.2,1.4
7,Lille,8.9,17.2,11.2,12.8,1.7
8,Strasbourg,10.1,16.7,13.7,13.1,1
9,Angers,10.4,16.5,11.7,12.1,1
10,Nimes,13.7,16.4,13.2,11.1,1.3
11,Paris Saint-Germain,10,16,9.8,12.2,1.7
12,Brest,12.8,16,12.3,12.9,1.6
13,Lens,10.8,15.8,13.4,14.2,1.3
14,Dijon,14.1,15.8,12.4,13.6,1.4
15,Nice,13.3,15.8,11.4,12.1,1.1
16,Rennes,9.7,15.4,9.5,13.2,0.9
17,Lyon,11.6,15.4,10.9,12.7,1.7
18,Bordeaux,12.4,14.9,13.2,12.2,1.3
19,Montpellier,14.7,13.9,11.1,13.5,1.3
