,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Lyon,17.7,6.6,12.2,12.3
1,Paris Saint-Germain,14.8,6.1,11.9,11.7
2,Marseille,13.9,4.5,9.4,12
3,Nimes,13.7,4.7,9.6,13
4,Nantes,13.6,3.9,7.4,13.1
5,Montpellier,13.4,4.5,8,12.6
6,Saint-Etienne,13.1,4.7,8.3,12
7,Lille,13.1,5.1,9.6,13.4
8,Rennes,12.4,4.2,10.3,12.8
9,Monaco,12.3,4.2,7.7,13.3
10,Dijon,12,3.8,9.2,11.7
11,Angers,11.9,4.1,8.3,11.7
12,Nice,11.6,3.4,13.3,13.6
13,Toulouse,11.4,3.5,9.6,12.3
14,Bordeaux,11.2,3.6,9.1,13.1
15,Guingamp,10.9,3,9.3,12.2
16,Reims,10.7,3.6,8.4,12.3
17,Strasbourg,10.6,4.1,7.5,10.6
18,Amiens,10.2,3.1,6.7,13.7
19,Caen,8.8,2.5,7.1,13.2
