,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Paris Saint-Germain,90,14.8,78,4,63.3,90.6,7,6.90
1,Lyon,66,14.6,61,6,58.7,86.0,12.5,6.78
2,Rennes,82,14.5,54,2,56.2,84.4,14.7,6.78
3,Strasbourg,60,12.6,70,3,49.0,80.5,17.4,6.71
4,Monaco,65,11.9,78,4,53.9,81.2,14.4,6.71
5,Marseille,63,13.1,61,3,62.0,88.2,9.9,6.71
6,Nice,52,11.9,77,6,51.3,83.6,14.2,6.71
7,Lens,62,13.6,71,7,50.9,84.2,11.5,6.67
8,Nantes,55,11.2,76,4,43.2,78.6,15.9,6.65
9,Brest,49,10.6,59,2,43.1,78.6,16.5,6.65
10,Lille,48,12.3,93,6,50.7,81.5,14.1,6.62
11,Reims,43,10.4,61,7,41.7,78.4,11.9,6.60
12,Montpellier,49,11.5,69,9,47.9,80.4,11.8,6.56
13,Angers,44,10.3,66,4,48.4,83.2,11.1,6.54
14,Metz,35,9.8,90,9,42.7,78.7,14.2,6.52
15,Lorient,35,11.7,63,4,44.1,79.8,11.6,6.51
16,Troyes,37,10.2,69,6,44.0,79.9,11.2,6.51
17,Saint-Etienne,42,11.6,79,5,48.4,79.6,12.5,6.47
18,Clermont Foot,38,11.5,61,7,49.8,82.2,11.7,6.46
19,Bordeaux,52,11.8,88,5,47.1,79.8,13.2,6.44
