,Team,P,W,D,L,GF,GA,GD,Pts
0,Paris Saint-Germain,38,29,4,5,105,35,+70,91
1,Lille,38,22,9,7,68,33,+35,75
2,Lyon,38,21,9,8,70,47,+23,72
3,Saint-Etienne,38,19,9,10,59,41,+18,66
4,Marseille,38,18,7,13,60,52,+8,61
5,Montpellier,38,15,14,9,53,42,+11,59
6,Nice,38,15,11,12,30,35,-5,56
7,Reims,38,13,16,9,39,42,-3,55
8,Nimes,38,15,8,15,57,58,-1,53
9,Rennes,38,13,13,12,55,52,+3,52
10,Strasbourg,38,11,16,11,58,48,+10,49
11,Nantes,38,13,9,16,48,48,0,48
12,Angers,38,10,16,12,44,49,-5,46
13,Bordeaux,38,10,11,17,34,42,-8,41
14,Amiens,38,9,11,18,31,52,-21,38
15,Toulouse,38,8,14,16,35,57,-22,38
16,Monaco,38,8,12,18,38,57,-19,36
17,Dijon,38,9,7,22,31,60,-29,34
18,Caen,38,7,12,19,29,54,-25,33
19,Guingamp,38,5,12,21,28,68,-40,27
