,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,P,W,D,L,GF,GA,GD,Pts
0,Inter,84,17.8,71,1,56.8,86.3,14.6,6.83,10.6,15.5,8.7,12.3,1.5,17.8,6.7,6.7,10.8,38,25,9,4,84,32,52,84
1,AC Milan,69,15.8,73,3,54.2,83.3,13.7,6.81,10.6,18.3,9.3,12.2,2.1,15.8,5.2,12.0,13.5,38,26,8,4,69,31,38,86
2,Napoli,74,15.2,63,2,58.8,86.9,10.7,6.78,11.0,14.5,7.8,12.1,1.8,15.2,5.3,9.4,12.7,38,24,7,7,74,31,43,79
3,Juventus,57,13.8,75,2,51.7,84.7,14.7,6.72,11.7,14.6,8.7,13.4,1.9,13.8,4.5,9.7,13.2,38,20,10,8,57,37,20,70
4,Atalanta,65,15.9,85,2,55.0,81.9,18.2,6.71,10.3,16.6,11.6,13.5,1.8,15.9,4.7,9.8,11.9,38,16,11,11,65,48,17,59
5,Roma,59,15.8,99,8,51.2,82.9,13.9,6.7,9.9,16.1,10.1,13.2,1.6,15.8,5.2,8.7,12.5,38,18,9,11,59,43,16,63
6,Lazio,77,11.9,82,5,55.4,87.0,11.0,6.69,12.4,15.2,8.3,11.6,1.2,11.9,5.1,8.8,11.8,38,18,10,10,77,58,19,64
7,Torino,46,12.5,85,3,53.7,79.0,20.6,6.62,10.4,14.0,11.1,16.7,2.2,12.5,4.1,7.8,12.1,38,13,11,14,46,41,5,50
8,Verona,65,12.2,90,7,50.5,76.7,18.2,6.6,12.5,14.1,10.3,14.7,2.6,12.2,4.2,8.2,11.3,38,14,11,13,65,59,6,53
9,Udinese,61,13.4,90,6,42.1,78.7,12.1,6.59,12.3,16.4,9.2,14.8,2.1,13.4,4.9,9.6,12.1,38,11,14,13,61,58,3,47
10,Sassuolo,64,15.2,88,4,55.2,85.3,9.2,6.59,14.0,12.7,8.3,12.1,1.1,15.2,5.6,10.6,12.6,38,13,11,14,64,66,-2,50
11,Bologna,44,11.6,84,7,50.3,81.0,13.3,6.58,14.2,13.9,9.7,11.7,1.5,11.6,3.9,8.6,13.1,38,12,10,16,44,55,-11,46
12,Fiorentina,59,13.5,78,8,58.0,85.4,12.5,6.57,9.4,13.4,6.4,12.2,1.5,13.5,4.9,7.9,14.9,38,19,5,14,59,51,8,62
13,Sampdoria,46,10.3,92,4,45.7,77.8,16.3,6.54,14.6,14.8,11.7,13.0,2.2,10.3,3.3,6.0,13.5,38,10,6,22,46,63,-17,36
14,Empoli,50,13.1,81,5,46.9,78.9,11.4,6.52,17.6,14.9,9.3,13.3,2.2,13.1,4.3,7.7,12.2,38,10,11,17,50,70,-20,41
15,Spezia,41,10.2,87,4,42.4,76.7,14.2,6.49,16.9,15.3,9.8,13.4,2.0,10.2,3.6,7.7,11.6,38,10,6,22,41,71,-30,36
16,Cagliari,34,11.2,90,5,43.9,75.2,18.6,6.48,14.6,14.7,10.4,14.4,1.8,11.2,3.3,6.6,12.9,38,6,12,20,34,68,-34,30
17,Genoa,27,10.6,88,3,43.3,73.7,16.8,6.48,14.2,19.4,11.8,14.9,1.9,10.6,3.0,7.9,13.1,38,4,16,18,27,60,-33,28
18,Venezia,34,9.3,106,9,41.8,77.5,15.0,6.45,17.8,16.1,10.2,13.7,1.6,9.3,3.2,7.9,12.0,38,6,9,23,34,69,-35,27
19,Salernitana,33,11.3,88,5,40.2,76.5,17.5,6.43,15.6,14.2,9.3,13.0,1.1,11.3,3.7,8.3,13.7,38,7,10,21,33,78,-45,31
