,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
0,Domenico Berardi,Sassuolo,29," AM(R),FW",33,2838,15,14,9,-,3.3,74.8,0.5,8,7.43,1,0.9,1.6,-,0.7,1.3,0.1,-,0.9,2.3,0.3,1.3,1.3,38.9,74.8,0.8,3.1,0.3
1,Rafael Leão,AC Milan,24," AM(CL),FW",31(3),2621,11,8,4,-,2.9,74.8,0.8,2,7.37,0.5,0.4,0.7,-,0.2,0.3,-,-,2.9,1.3,0.2,1.5,1.5,20.7,74.8,0.4,1,0.1
2,Sergej Milinkovic-Savic,Lazio,29, AM(C),36(1),3111,11,11,4,1,2,81.4,2.8,7,7.36,1.8,0.9,1.5,-,1.1,1,0.2,-,1.2,1.2,0.1,1.3,1.3,62.2,81.4,0.3,2.6,0.1
3,Lorenzo Pellegrini,Roma,27, M(CL),27(1),2300,9,5,6,1,3.3,77.7,0.6,6,7.34,1.3,1,1.6,-,0.7,1.6,-,-,1.5,1.8,0.3,0.9,0.9,32.9,77.7,2,1.9,0.1
4,Dusan Vlahovic,Fiorentina,24, FW,21,1862,17,2,2,-,3.6,70.6,2,5,7.33,0.2,-,0.9,-,0.7,0.4,0.1,-,1,2.3,0.9,2,2,18.0,70.6,0.2,1,0.1
5,Ciro Immobile,Lazio,34, FW,31,2718,27,2,4,-,3.8,78.0,0.7,2,7.31,0.3,0.1,1.2,-,0.5,0.5,-,-,0.6,1.3,0.4,1.4,1.4,27.9,78.0,0.1,0.6,0.1
6,Luis Muriel,Atalanta,33," AM(CL),FW",17(10),1543,9,8,1,-,2.1,75.6,1.1,4,7.3,0.6,0.1,0.5,-,0.2,0.6,-,-,2.3,1,0.3,1.7,1.7,24.9,75.6,1.1,0.7,0.1
7,Hakan Çalhanoglu,Inter,30," M(CLR),FW",33(1),2509,7,12,11,-,1.9,86.8,0.3,5,7.28,1.2,0.7,1.1,-,0.3,0.9,0.1,-,0.4,0.8,-,0.6,0.6,47.5,86.8,2.1,3.1,0.1
8,Victor Osimhen,Napoli,25, FW,23(4),1993,14,2,5,1,3.4,70.5,1.9,4,7.22,0.4,0.1,1.4,-,0.6,0.1,0.1,-,1.1,1.4,0.7,1.2,1.2,12.0,70.5,-,0.3,-
9,Ivan Perisic,Inter,35," M(CLR),FW",35,2844,8,7,4,-,1.3,76.3,1.6,5,7.22,1.1,1.3,0.8,-,0.9,0.6,0.2,-,0.7,0.2,0.4,0.2,0.2,33.3,76.3,1.1,1.8,-
10,Paulo Dybala,Juventus,30," AM(CR),FW",26(3),2074,10,5,3,-,3.4,84.3,0.3,5,7.22,1,0.3,0.6,-,0.1,0.9,-,-,1.6,1.7,0.2,1,1,36.3,84.3,0.6,2.3,0.1
11,Bremer,Torino,27, D(C),33,2895,3,1,7,-,0.8,81.6,4,4,7.22,1.5,3.2,2,0.6,4,0.3,0.7,-,0.5,0.6,0.2,0.2,0.2,43.3,81.6,-,2.6,-
12,Gianluca Caprari,Verona,30," AM(CLR),FW",33(2),2755,12,7,4,-,1.9,80.5,0.2,6,7.2,1.2,0.1,1.2,-,0.1,1,-,-,1.9,2.1,0.4,1.5,1.5,32.9,80.5,0.7,0.9,0.2
13,Juan Cuadrado,Juventus,35," D(R),M(CLR),FW",28(5),2496,4,4,9,-,1.1,88.7,0.6,5,7.19,1.5,0.9,0.6,-,0.9,0.8,0.2,-,1.4,1.6,-,0.5,0.5,49.2,88.7,1.3,3.9,-
14,Lautaro Martínez,Inter,26, FW,28(7),2302,21,3,6,-,3.4,74.7,0.8,4,7.18,0.6,0.5,1.1,-,0.2,0.1,-,-,0.6,1.3,0.3,0.7,0.7,14.0,74.7,0.1,0.4,-
15,Tammy Abraham,Roma,26, FW,36(1),3099,17,4,9,-,2.6,71.0,2.1,4,7.17,0.7,0.1,1,-,0.7,0.4,0.1,-,1,1.3,0.5,1.1,1.1,18.3,71.0,0.1,0.4,0.1
16,Théo Hernández,AC Milan,26," D(CL),M(L)",30(2),2713,5,6,5,2,1.3,83.8,0.8,4,7.16,1.7,0.7,1.1,0.3,0.8,0.3,0.1,-,1.5,2.3,0.3,0.8,0.8,42.8,83.8,1.2,2.2,0.1
17,Marcelo Brozovic,Inter,31, M(CR),35,2951,2,1,7,-,0.9,92.5,0.4,2,7.13,2.2,1.1,1.2,-,0.9,1,0.3,-,0.8,0.9,-,0.6,0.6,73.6,92.5,0.3,5.8,0.1
18,Nicolò Barella,Inter,27, AM(C),36,2933,3,12,9,-,1.9,85.1,0.6,2,7.13,1.8,0.6,0.8,-,0.2,0.7,0.1,-,1,1.4,0.1,1.1,1.1,49.6,85.1,0.6,2.3,0.2
19,Fabián Ruiz,Napoli,28, M(CL),29(3),2398,7,4,2,-,1.3,90.5,0.3,3,7.1,1.7,0.7,0.7,-,1,1.2,-,-,0.4,0.6,-,0.3,0.3,67.9,90.5,0.1,4.2,0.1
20,Lorenzo Insigne,Napoli,32," AM(CL),FW",28(4),2311,11,9,2,-,2.9,83.7,0.2,5,7.09,0.7,0.6,0.6,-,-,1.1,-,-,1.3,0.7,0.2,0.9,0.9,43.3,83.7,0.9,2.8,0.2
21,Kalidou Koulibaly,Napoli,32, D(C),27,2406,3,3,5,1,0.4,86.9,1.8,1,7.08,1.4,1.1,1,0.7,3.1,0.5,0.9,-,0.7,0.4,-,0.1,0.1,60.8,86.9,-,3.4,-
22,Edin Dzeko,Inter,38, FW,27(9),2476,13,5,2,-,2.4,72.7,2.3,-,7.07,0.4,0.1,0.8,-,1,0.5,0.1,-,0.5,1.1,0.1,0.9,0.9,21.3,72.7,0.3,1.2,0.1
23,Duván Zapata,Atalanta,33, FW,20(4),1732,10,4,3,-,3.4,76.7,1.9,2,7.06,0.3,0.1,1.2,-,0.2,0.2,-,-,1.2,1.1,0.4,1.8,1.8,21.5,76.7,0.3,0.4,0.1
24,Frank Anguissa,Napoli,28, M(C),21(4),1925,-,2,5,-,0.8,89.9,1.2,1,7.05,2,1,1.5,-,1.2,1,0.2,-,1.8,1.1,-,0.9,0.9,48.1,89.9,0.2,1.2,-
25,Giovanni Di Lorenzo,Napoli,30," D(CLR),M(R)",33,2873,1,5,3,-,0.6,88.2,1.4,2,7.04,1.8,1.2,1.1,0.2,1.2,0.8,0.3,-,0.6,1.4,0.2,0.8,0.8,59.2,88.2,0.2,2.1,0.1
26,Gerard Deulofeu,Udinese,30," AM(CLR),FW",31(3),2628,13,5,9,-,2.3,78.7,0.1,3,7.04,0.3,0.3,0.7,-,0.1,0.6,-,-,1.5,0.9,1,1.3,1.3,26.6,78.7,1.1,0.6,0.1
27,Sandro Tonali,AC Milan,23, DMC,31(5),2608,5,2,9,-,1,85.5,0.3,4,7.02,1.5,0.9,1.3,-,0.5,0.6,0.2,-,0.8,1.4,0.1,0.6,0.6,38.0,85.5,0.9,2.8,0.1
28,Felipe Anderson,Lazio,31," M(CLR),FW",33(5),2900,6,8,2,-,1.2,81.4,0.3,3,7.02,1.9,0.5,1.1,-,0.4,1.9,0.2,-,1.5,1,0.2,1,1,34.6,81.4,0.5,0.8,0.1
29,Nicolás González,Fiorentina,26," M(CLR),FW",26(7),2361,7,6,2,1,2.2,77.9,2,8,7.02,0.6,0.6,0.9,-,0.1,0.6,0.1,-,1.7,2.9,0.2,1.2,1.2,25.5,77.9,0.4,1.7,-
30,Mattia Zaccagni,Lazio,28," AM(CL),FW",21(8),1881,4,5,6,-,1.1,84.6,0.4,3,7.01,1.1,0.7,1,-,0.1,0.3,0.1,-,1.6,2.6,0.1,0.4,0.4,23.5,84.6,0.2,0.6,-
31,José Palomino,Atalanta,34, D(C),30(4),2674,1,-,9,-,0.4,81.3,3.1,2,7.0,2.3,2.9,1.1,0.7,2.3,0.5,0.6,-,0.2,0.5,-,0.2,0.2,48.4,81.3,0.1,2.8,-
32,Henrikh Mkhitaryan,Roma,35," M(CLR),FW",29(2),2505,5,6,2,1,1.8,84.9,0.5,2,6.99,1.5,0.7,1.3,-,0.8,1.1,0.1,-,1.1,1.6,0.2,0.9,0.9,35.6,84.9,0.4,1.6,0.2
33,Olivier Giroud,AC Milan,37, FW,22(7),1905,11,3,4,-,2.2,67.6,3.2,4,6.99,0.5,0.1,1.1,-,0.7,0.5,0.1,-,0.1,0.8,0.4,0.4,0.4,16.3,67.6,-,0.2,-
34,Fikayo Tomori,AC Milan,26, D(CR),30(1),2719,-,-,4,-,0.4,87.9,1.6,-,6.98,2.4,1.5,0.6,0.5,2.5,0.3,0.7,-,0.3,0.4,-,-,-,55.7,87.9,-,3.3,-
35,Mário Rui,Napoli,32," D(L),M(L)",34,3002,-,6,7,-,0.9,86.1,0.4,1,6.98,2,1.2,0.9,0.3,1.3,1.3,0.2,-,0.4,1.8,0.1,0.4,0.4,62.4,86.1,0.4,3.9,-
36,Milan Djuric,Salernitana,33, FW,23(10),2173,5,3,6,-,1.5,60.2,7.4,3,6.97,-,0.1,0.7,-,1,0.1,-,-,0.2,1.4,0.2,0.6,0.6,20.4,60.2,-,-,-
37,Luis Alberto,Lazio,31," AM(CL),FW",27(7),2363,5,10,5,-,1.4,87.7,0.2,2,6.96,0.9,0.4,0.4,-,0.2,1.3,0.1,-,0.8,0.8,-,0.7,0.7,53.1,87.7,0.9,1.8,0.3
38,Bryan Cristante,Roma,29," D(C),M(C)",29(5),2674,2,-,9,-,1.2,82.2,2.6,1,6.94,2.3,1.2,1.2,0.1,1.3,0.9,0.1,1,0.7,0.4,-,0.4,0.4,52.7,82.2,0.1,4.2,0.1
39,Antonio Candreva,Sampdoria,37, M(CLR),36,3132,7,10,6,1,2.1,76.2,0.1,4,6.94,0.8,0.9,0.5,-,0.3,1,0.1,-,0.6,1.3,0.4,1,1,42.4,76.2,2.1,3.5,0.2
40,Franck Kessié,AC Milan,27, M(C),25(6),2312,6,-,2,-,1.1,88.5,1,2,6.94,1.3,0.7,1.2,0.1,0.7,0.3,0.3,-,1.1,1,-,0.9,0.9,42.5,88.5,0.1,1.9,-
41,Danilo,Juventus,32," D(CLR),DMC",22,1895,1,1,6,-,0.6,86.3,1.7,-,6.93,1.7,1.5,0.9,0.3,2.1,0.5,0.5,-,0.2,0.5,-,0.2,0.2,59.9,86.3,0.3,3.5,-
42,Mike Maignan,AC Milan,28, GK,32,2880,-,1,1,-,-,75.8,0.2,1,6.92,0.1,-,-,-,0.5,-,-,-,-,0.3,-,-,-,30.9,75.8,-,6.9,-
43,Antonín Barák,Verona,29, AM(CR),27(2),2348,11,4,4,-,1.8,80.5,1.4,1,6.91,0.6,0.2,0.9,-,0.8,0.4,0.2,-,1.1,0.6,0.1,1.9,1.9,37.2,80.5,0.1,0.8,0.1
44,Ruslan Malinovskyi,Atalanta,31," M(CLR),FW",19(11),1603,6,4,10,-,1.9,77.0,0.6,3,6.91,0.6,0.2,1.3,-,-,0.5,0.1,-,1.6,1.4,0.1,1.6,1.6,27.2,77.0,1.1,1.3,0.1
45,Alessandro Bastoni,Inter,25, D(C),29(2),2323,1,3,4,1,0.3,89.6,1.4,1,6.9,1.4,1.1,1,0.2,1.8,0.5,0.4,-,0.4,0.9,-,0.2,0.2,56.3,89.6,0.2,4,-
46,Pedro,Lazio,36," M(CLR),FW",25(7),2043,9,5,5,-,1.1,86.7,0.1,2,6.89,1.1,0.2,1,-,0.3,1,0.1,-,1,1.2,0.2,0.8,0.8,27.8,86.7,0.1,1.2,0.1
47,Hamed Traorè,Sassuolo,24, AM(CLR),21(10),1780,7,2,3,-,1.6,82.1,0.1,2,6.89,1,0.4,1,-,0.1,1.2,0.1,-,2,1,0.1,1.4,1.4,24.6,82.1,0.5,0.9,0.1
48,Giovanni Simeone,Verona,28," AM(R),FW",32(3),2669,17,5,8,-,2,70.4,1.7,5,6.89,0.8,0.2,1.6,-,0.6,0.9,0.1,-,0.7,1.7,1,2.3,2.3,18.6,70.4,0.2,0.3,-
49,Davide Calabria,AC Milan,27," D(LR),M(R)",24(2),2124,2,3,2,-,1.4,76.3,0.4,-,6.89,2.4,0.9,0.6,0.2,1.1,1.3,0.2,-,0.4,1.1,-,0.2,0.2,39.8,76.3,0.8,2.8,-
50,Matthijs de Ligt,Juventus,24, D(C),29(2),2675,3,1,2,1,0.6,88.9,2.9,2,6.87,1.1,0.8,1,0.2,3.1,0.1,0.7,-,0.1,0.5,0.1,0.1,0.1,54.5,88.9,-,3.3,-
51,Guglielmo Vicario,Empoli,27, GK,38,3420,-,-,1,-,-,74.9,0.4,5,6.87,-,-,-,-,0.8,-,-,-,-,0.2,-,-,-,29.2,74.9,-,4.7,-
52,Lukasz Skorupski,Bologna,33, GK,36,3240,-,-,4,-,-,72.0,0.5,5,6.86,-,-,0.1,-,1.1,-,-,-,-,0.1,-,-,-,30.2,72.0,-,7.1,-
53,Pierre Kalulu,AC Milan,23, D(CR),21(7),1939,1,2,4,-,0.2,89.8,0.8,3,6.86,2.2,0.9,0.6,0.4,1.8,0.2,0.5,-,0.2,0.2,0.1,0.2,0.2,38.9,89.8,0.2,1.8,-
54,Junior Messias,AC Milan,32," M(CR),FW",14(12),1430,5,2,2,-,1.7,72.8,1.1,2,6.86,1.3,0.7,0.8,-,0.6,0.7,-,-,1.2,0.9,0.1,0.7,0.7,18.5,72.8,0.3,0.4,-
55,Mario Pasalic,Atalanta,29," M(CLR),FW",24(13),2010,13,6,3,-,1.3,81.1,1.4,3,6.86,0.7,0.5,0.8,-,0.4,0.5,0.2,-,0.4,0.4,0.2,0.6,0.6,26.6,81.1,-,0.9,-
56,Dries Mertens,Napoli,36," AM(CLR),FW",16(14),1389,11,1,2,-,1.5,76.2,0.1,2,6.86,0.5,0.3,0.9,-,0.1,0.4,0.1,-,0.6,0.7,0.2,0.3,0.3,17.3,76.2,0.1,0.7,0.1
57,Marko Arnautovic,Bologna,35," AM(CLR),FW",32(1),2706,14,1,6,-,2.8,73.7,0.8,4,6.85,0.5,0.2,1.4,-,0.5,0.7,0.1,-,1.1,0.6,0.4,1.1,1.1,26.7,73.7,0.1,0.4,-
58,Hirving Lozano,Napoli,28," AM(LR),FW",20(10),1622,5,5,3,-,1.7,82.1,0.3,2,6.85,0.9,0.3,0.9,-,0.3,0.7,-,-,1,1.1,0.5,1.1,1.1,17.5,82.1,0.5,0.2,-
59,Sasa Lukic,Torino,27, M(C),34(1),2987,5,4,10,-,0.9,87.8,1.2,2,6.85,1.5,0.7,2.4,0.1,1.1,0.7,0.2,-,0.8,1.3,-,0.2,0.2,48.8,87.8,0.3,2.1,0.1
60,Beto,Udinese,26, FW,24(4),2175,11,-,1,-,2.3,68.7,2.6,1,6.84,0.8,0.2,1.9,-,0.9,0.4,-,-,1.4,0.9,0.5,1.9,1.9,12.7,68.7,-,0.3,-
61,Adrien Tameze,Verona,30," D(C),M(C)",26(12),2580,4,2,4,-,0.6,81.1,1.6,1,6.84,1.4,1.4,0.9,-,1,1,0.1,-,0.9,0.9,0.1,0.7,0.7,32.1,81.1,0.2,1.7,0.1
62,Josip Ilicic,Atalanta,36," AM(CLR),FW",8(12),837,3,4,1,-,1.6,76.3,0.1,-,6.84,0.4,0.2,0.7,-,0.1,0.7,0.1,-,1.4,1.9,0.1,0.5,0.5,22.4,76.3,0.8,1.6,0.1
63,Álvaro Morata,Juventus,31," AM(L),FW",26(9),2312,9,7,5,-,1.7,75.7,1.1,3,6.83,0.5,0.1,1.4,-,0.6,0.7,-,-,0.7,2.2,0.6,1.2,1.2,18.1,75.7,0.1,0.8,0.1
64,Nicolás Domínguez,Bologna,25, M(CL),23(5),2027,-,3,8,-,0.8,83.4,1.3,2,6.83,2.7,1.1,0.9,-,1.1,1.6,0.3,-,0.5,1.4,-,0.8,0.8,42.3,83.4,0.1,2.8,0.1
65,Amir Rrahmani,Napoli,30, D(CL),33,2928,4,-,5,-,0.7,91.1,2.4,2,6.83,0.6,0.6,0.7,0.3,2.5,0.1,0.8,-,0.2,0.7,-,0.2,0.2,60.8,91.1,-,3.2,-
66,Zlatan Ibrahimovic,AC Milan,42, FW,11(12),1009,8,3,2,-,2.2,72.5,1.9,2,6.82,-,0.1,0.7,-,0.4,0.1,-,1,0.2,0.4,0.8,0.4,0.4,18.0,72.5,0.1,0.2,-
67,Gianluca Scamacca,Sassuolo,25, FW,25(11),2155,16,-,7,-,2.2,74.0,1.4,2,6.82,0.5,0.1,1.4,-,0.6,0.4,-,-,0.6,0.6,0.3,1.4,1.4,14.9,74.0,-,0.5,-
68,David Ospina,Napoli,35, GK,31,2790,-,-,1,-,-,81.2,0.4,-,6.82,-,-,-,-,0.5,-,-,-,-,0.3,-,-,-,27.5,81.2,-,4.8,-
69,Teun Koopmeiners,Atalanta,26," D(C),M(C)",23(7),2129,4,1,4,-,0.9,82.7,0.9,2,6.82,1.3,0.5,1.2,-,0.5,1.1,0.1,1,0.7,0.7,0.2,0.6,0.6,45.6,82.7,1,2.9,-
70,Adrien Rabiot,Juventus,29," DMC,M(L)",28(4),2294,-,2,5,-,0.8,83.3,1.5,-,6.82,2,0.6,1.4,-,1,0.6,0.3,-,1.4,0.9,0.1,0.8,0.8,31.8,83.3,0.2,0.8,-
71,Milan Skriniar,Inter,29, D(C),35,3150,3,-,3,-,0.7,92.9,1.5,-,6.82,1.3,0.7,1.2,0.3,2.5,0.5,0.7,-,0.3,0.7,0.1,0.2,0.2,60.0,92.9,0.1,3,0.1
72,Denzel Dumfries,Inter,28," D(R),M(R)",21(12),2028,5,4,3,-,1.2,77.1,1.3,1,6.81,1,0.3,1,0.1,0.5,0.5,0.2,-,0.5,1.1,0.1,0.7,0.7,20.5,77.1,0.4,0.4,-
73,Jordan Veretout,Roma,31, M(C),26(10),2329,4,8,6,-,0.8,88.4,0.4,1,6.81,0.9,0.8,0.5,-,0.6,0.7,-,-,0.4,0.6,-,0.3,0.3,37.0,88.4,1,2.8,-
