,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Cristiano Ronaldo,0.2,0.2,0.5,0.1,0.5,0.4,0.1,-
1,Zlatan Ibrahimovic,0.3,0.3,1.7,0.1,1.4,0.2,0.2,-
2,Lorenzo Insigne,0.7,1.1,0.3,-,0.1,1.7,-,-
3,Romelu Lukaku,0.3,0.1,0.9,-,0.9,0.2,-,-
4,Domenico Berardi,1.4,0.9,1.4,-,1,1.4,-,-
5,Rodrigo De Paul,1.1,0.5,0.9,-,0.3,1.3,-,-
6,Henrikh Mkhitaryan,1.7,1.1,1.1,-,0.2,1.5,-,-
7,Sergej Milinkovic-Savic,1.8,1,1.8,0.1,1.3,1.8,0.4,-
8,Théo Hernández,1.5,1,1.2,0.2,1.5,0.6,0.2,-
9,Hakan Çalhanoglu,0.8,0.5,0.9,-,0.5,0.6,0.2,-
10,Luis Muriel,0.6,0.2,0.5,-,0.1,0.5,-,-
11,Andrea Belotti,0.9,0.3,1.7,-,0.5,0.7,0.1,-
12,Lorenzo Pellegrini,1.2,1.3,1.3,-,0.6,1.2,0.1,-
13,Junior Messias,1.7,1,0.9,-,1.1,1.3,0.3,-
14,Federico Chiesa,1.6,0.4,1,-,0.5,1,-,-
15,Robin Gosens,1.4,1.3,1.6,-,1,0.8,0.2,1
16,Lautaro Martínez,0.7,0.7,1.7,-,0.3,0.4,-,-
17,Juan Cuadrado,1.4,1.4,1.1,0.1,0.5,1,0.1,-
18,Ruslan Malinovskyi,0.5,0.1,1.3,-,0.1,0.4,-,-
19,Piotr Zielinski,0.5,0.5,0.3,-,0.3,0.4,0.1,-
20,Ciro Immobile,0.4,0.2,1.1,-,0.2,0.4,-,-
21,Franck Kessié,1.4,1.2,1.8,-,1.3,0.5,0.4,-
22,Cristian Romero,2,3.1,2.3,0.3,2.2,0.7,0.4,-
23,Giovanni Di Lorenzo,2.2,1,1.4,0.2,1.4,0.9,0.4,-
24,Josip Ilicic,0.3,0.1,0.8,-,-,0.6,-,-
25,Luis Alberto,1.3,0.4,0.6,-,0.3,1.7,0.1,-
26,Victor Osimhen,0.9,0.3,1.4,-,0.4,0.5,-,-
27,Manuel Locatelli,2.4,1.5,1.5,0.1,1.7,0.8,0.4,-
28,Duván Zapata,0.3,0.2,0.8,-,0.5,0.2,0.1,-
29,Diego Godín,2.1,2,1.1,0.7,4,0.5,0.9,-
30,Davide Calabria,3.2,1.2,1,0.1,2.2,1.1,0.3,1
31,Marcelo Brozovic,1.6,1.2,1,-,1.1,1.2,0.5,-
32,Danilo,1.8,1.9,0.7,0.2,1.8,0.9,0.4,-
33,Milan Badelj,1.9,2.9,1.1,-,1.4,1.9,0.3,-
34,Simon Kjær,1.6,1.5,0.9,0.3,4.3,0.4,0.9,-
35,Paulo Dybala,0.7,0.1,0.5,-,0.1,0.6,-,-
36,JP Galvão,0.4,0.4,1.2,0.1,0.7,0.7,0.2,-
37,Remo Freuler,1.9,1.1,1.1,0.1,0.7,1.3,0.1,-
38,Ante Rebic,1,0.3,1.2,-,0.6,1.1,-,-
39,Fabián Ruiz,1.8,1.1,0.3,-,0.9,1.4,0.1,-
40,Leonardo Spinazzola,0.4,0.9,0.3,0.3,1,0.5,-,1
41,Achraf Hakimi,1.4,0.6,0.8,-,0.4,0.7,-,-
42,Marten de Roon,2.3,2,1.9,0.1,1.1,1.4,0.3,-
43,Hirving Lozano,0.9,0.6,1,-,0.2,0.8,-,-
44,Juraj Kucka,2.4,1,2.3,-,0.8,1.7,0.1,-
