,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
0,Cristiano Ronaldo,29,3,5.1,1.8,1.3,0.9,1,1
1,Zlatan Ibrahimovic,15,2,4.3,0.6,1.3,2.1,0.6,0.6
2,Lorenzo Insigne,19,7,4.1,1.9,1.1,0.3,1,1
3,Romelu Lukaku,24,11,2.7,1.5,1.3,0.5,1.4,1.4
4,Domenico Berardi,17,7,3.8,1,2,0.1,1,1
5,Rodrigo De Paul,9,9,2.3,3.4,3.5,-,1.6,1.6
6,Henrikh Mkhitaryan,13,10,2.4,1.4,1.4,0.3,0.7,0.7
7,Sergej Milinkovic-Savic,8,9,2,0.9,1.6,0.3,1.4,1.4
8,Théo Hernández,7,5,1.4,2.2,2.5,0.2,0.8,0.8
9,Hakan Çalhanoglu,4,9,2.5,1.1,1.3,0.1,1.1,1.1
10,Luis Muriel,22,9,2.4,1.5,0.6,0.1,1.4,1.4
11,Andrea Belotti,13,6,3.1,1.3,3.9,0.6,1.2,1.2
12,Lorenzo Pellegrini,7,6,2.1,1.3,1.5,0.2,0.6,0.6
13,Junior Messias,9,4,2.7,2.9,2.6,0.1,1.6,1.6
14,Federico Chiesa,8,8,2,1.6,1.2,0.4,0.8,0.8
15,Robin Gosens,11,6,1.6,0.8,0.8,0.3,0.5,0.5
16,Lautaro Martínez,17,6,2.9,0.9,1.6,0.3,0.9,0.9
17,Juan Cuadrado,2,10,0.6,1.5,2.2,0.1,0.7,0.7
18,Ruslan Malinovskyi,8,12,1.9,1.4,1.5,-,1.3,1.3
19,Piotr Zielinski,8,10,1.7,1.6,1.3,0.2,0.9,0.9
20,Ciro Immobile,20,6,3.4,0.8,1.3,0.9,1,1
21,Franck Kessié,13,4,1.3,1.2,1.1,-,1.1,1.1
22,Cristian Romero,2,2,0.5,0.2,1,-,0.2,0.2
23,Giovanni Di Lorenzo,3,6,0.8,0.8,1.7,0.1,0.4,0.4
24,Josip Ilicic,6,9,2.1,2,2.5,0.3,1.6,1.6
25,Luis Alberto,9,2,2,1.5,1.1,0.1,1.1,1.1
26,Victor Osimhen,10,3,2.8,0.5,1.5,0.8,0.7,0.7
27,Manuel Locatelli,4,2,1.2,0.8,1.4,-,1,1
28,Duván Zapata,15,9,2.7,0.9,1.3,0.6,1.8,1.8
29,Diego Godín,1,-,0.4,0.6,1,0.1,0.1,0.1
30,Davide Calabria,2,1,0.8,0.6,1.1,0.1,0.4,0.4
31,Marcelo Brozovic,2,6,0.8,0.3,0.4,-,0.5,0.5
32,Danilo,1,4,0.6,0.6,0.6,0.1,0.3,0.3
33,Milan Badelj,1,4,0.6,1.2,1.1,-,0.7,0.7
34,Simon Kjær,-,2,0.6,-,0.4,-,-,-
35,Paulo Dybala,4,3,2.6,1.4,1.5,0.2,0.9,0.9
36,JP Galvão,16,3,2.1,1.1,2.6,0.3,0.9,0.9
37,Remo Freuler,2,3,0.6,1.1,0.9,-,0.9,0.9
38,Ante Rebic,11,4,1.6,0.7,0.5,0.4,1.1,1.1
39,Fabián Ruiz,3,1,1.3,0.8,0.8,-,0.6,0.6
40,Leonardo Spinazzola,2,4,0.8,2.2,0.4,0.1,0.3,0.3
41,Achraf Hakimi,7,8,1.1,0.9,1,0.2,0.5,0.5
42,Marten de Roon,1,1,0.5,0.3,0.7,-,0.3,0.3
43,Hirving Lozano,11,3,1.8,0.9,2.2,0.3,0.7,0.7
44,Juraj Kucka,7,2,2.1,1.1,2.5,0.1,1.1,1.1
45,Nicolò Barella,3,7,1,1,1.5,0.1,0.8,0.8
46,Alex Sandro,2,1,0.5,0.8,1.1,-,0.4,0.4
47,Rodrigo Bentancur,-,4,0.5,1.1,0.8,0.1,0.5,0.5
48,Vlad Chiriches,2,1,0.5,0.5,0.6,-,0.2,0.2
49,Roberto Soriano,9,6,1.6,1,1.3,0.1,0.8,0.8
50,Davide Faraoni,4,7,1,0.6,1.1,0.3,0.4,0.4
51,Álvaro Morata,11,9,1.8,0.7,1.4,0.6,1.3,1.3
52,Andrea Consigli,-,-,-,-,0.1,-,-,-
53,Edin Dzeko,7,3,2.6,1,1.4,0.4,1.1,1.1
54,Berat Djimsiti,-,2,0.6,0.3,0.8,-,0.3,0.3
55,Omar Colley,2,-,0.4,0.1,0.8,-,-,-
56,Federico Dimarco,5,3,1.1,0.3,1.4,0.2,0.3,0.3
57,Dusan Vlahovic,21,3,2.3,0.7,1.9,0.7,2.4,2.4
58,Adrien Rabiot,4,2,1,1.1,0.6,-,0.4,0.4
59,Joaquín Correa,8,3,1.9,1.3,1.9,0.1,1.3,1.3
60,Milan Skriniar,3,-,0.5,0.2,0.8,-,0.4,0.4
61,Gianluca Mancini,4,2,0.8,0.5,0.8,-,0.2,0.2
62,Mattia Zaccagni,5,5,0.9,1.7,3,0.3,1.8,1.8
63,Stefan de Vrij,1,-,0.4,0.2,0.3,-,0.1,0.1
64,Dries Mertens,9,8,1.9,0.4,0.3,0.2,0.2,0.2
65,Morten Thorsby,3,1,0.7,0.4,0.7,0.1,0.5,0.5
66,Rafael Leão,6,6,1.4,1.3,0.7,0.1,0.5,0.5
67,Simone Bastoni,1,6,1,1.1,1.2,0.1,0.9,0.9
68,Kalidou Koulibaly,-,-,0.4,0.7,0.3,-,0.2,0.2
69,Bremer,5,-,0.8,0.2,0.5,-,0.2,0.2
70,Ibañez,-,1,0.5,0.5,1,-,0.3,0.3
71,Alessandro Bastoni,-,3,0.3,0.4,0.8,-,0.2,0.2
72,Francesco Acerbi,-,1,0.3,0.2,0.8,0.1,0.3,0.3
73,Matteo Politano,9,4,1.7,1,1.3,-,0.6,0.6
74,Jérémie Boga,4,2,1.2,3.2,1.3,0.3,1.1,1.1
75,Hans Hateboer,2,1,1.2,0.2,0.4,0.1,0.5,0.5
76,Kevin Strootman,-,4,0.3,0.5,0.7,0.1,0.6,0.6
77,Wilfried Singo,1,2,0.4,1.9,1.8,0.1,0.5,0.5
78,Gian Marco Ferrari,-,4,0.7,0.2,1.1,-,0.2,0.2
79,Musa Barrow,8,8,2.3,0.9,0.8,0.3,1.4,1.4
80,Matthijs de Ligt,1,1,0.7,0.2,0.9,0.1,0.1,0.1
81,Koray Günter,-,2,0.2,0.3,0.4,-,-,-
82,Franck Ribéry,2,6,0.7,2.2,2.5,0.2,2.9,2.9
83,Emil Audero,-,1,-,-,0.2,-,-,-
84,Elseid Hysaj,-,2,0.3,0.9,0.8,-,0.3,0.3
85,Alessio Cragno,-,-,-,-,0.1,-,-,-
86,Gianluigi Donnarumma,-,-,-,-,0.1,-,-,-
87,Alexis Sánchez,7,5,1,0.8,1.1,0.3,1.1,1.1
88,M'Bala Nzola,11,3,1.8,1.1,1.1,1,1.6,1.6
89,Antonio Candreva,5,8,1.6,0.8,0.8,0.3,0.3,0.3
90,Nikola Milenkovic,3,1,0.6,0.2,0.5,-,0.1,0.1
91,Mattia Perin,-,-,-,-,0.1,-,-,-
92,Razvan Marin,3,6,0.7,0.9,0.6,0.1,0.7,0.7
93,Armando Izzo,2,-,0.7,0.5,1.4,0.1,0.3,0.3
94,Francesco Caputo,11,5,1.7,0.2,1.3,0.8,0.5,0.5
95,Diego Demme,2,3,0.6,0.3,1.2,-,0.8,0.8
96,Takehiro Tomiyasu,2,-,0.5,0.5,0.4,0.1,0.3,0.3
97,Bram Nuytinck,1,-,0.2,0.2,0.3,-,0.1,0.1
98,Davide Zappacosta,4,2,1.6,1.3,0.8,0.3,0.9,0.9
99,Tiémoué Bakayoko,2,1,0.5,0.8,1.6,-,0.6,0.6
100,Stefan Radu,-,3,0.2,0.4,0.7,-,0.2,0.2
101,Aaron Ramsey,2,4,1.1,0.5,0.8,0.1,0.4,0.4
102,Alessio Romagnoli,1,1,0.7,-,0.5,-,-,-
103,Cristian Ansaldi,1,6,0.6,0.9,0.7,-,0.5,0.5
104,Radja Nainggolan,1,-,2.2,1.3,1,-,1.5,1.5
105,Gianluca Caprari,5,6,1.6,1.7,1.8,0.3,1.7,1.7
106,Simy,20,2,1.7,0.9,1.2,0.6,1.9,1.9
107,José Palomino,1,2,0.1,0.1,0.4,0.1,0.1,0.1
108,Hernani,7,3,1,1.1,0.7,-,0.8,0.8
109,Bartosz Bereszynski,1,-,0.1,0.6,0.9,-,0.5,0.5
110,Diogo Dalot,1,1,0.5,0.4,0.2,0.1,0.2,0.2
111,Nahitan Nández,2,2,1,1.2,1.8,0.3,0.9,0.9
112,Riccardo Orsolini,7,3,1.6,1.1,1.3,0.2,0.5,0.5
113,Filip Djuricic,5,4,1.7,1.1,1.2,0.2,1.5,1.5
114,Wojciech Szczesny,-,1,-,-,-,-,-,-
115,Fabio Quagliarella,13,1,2.5,0.5,1.1,0.5,1,1
116,Ismaël Bennacer,-,2,0.6,1.4,1.4,-,0.7,0.7
117,Giacomo Bonaventura,3,2,1.3,1.2,1.2,0.2,0.9,0.9
118,Lukasz Skorupski,-,-,-,-,-,-,-,-
119,Rodrigo Palacio,5,5,1.5,1,2,1,1.3,1.3
120,Giangiacomo Magnani,-,-,0.5,0.1,1.2,-,-,-
121,Yordan Osorio,-,-,0.3,0.7,0.7,-,0.5,0.5
122,Gastón Brugman,1,1,0.7,0.6,0.8,-,0.3,0.3
123,Gianluca Scamacca,8,2,1.8,0.6,0.7,0.4,1,1
124,Arkadiusz Reca,2,3,1,1.2,0.8,0.2,0.5,0.5
125,Christian Eriksen,3,-,1.2,0.4,0.2,-,0.7,0.7
126,Jerdy Schouten,1,1,0.3,1.1,0.7,-,0.6,0.6
127,Antonín Barák,7,3,1.3,0.8,0.5,0.1,0.9,0.9
128,Dejan Kulusevski,4,3,1,1.2,0.8,0.1,1.3,1.3
129,Mattia Destro,11,1,1.3,0.8,1.3,0.8,0.7,0.7
130,Jordan Veretout,10,2,1.4,0.4,0.4,0.1,0.3,0.3
131,Hamed Traorè,5,2,1.2,1.5,0.5,0.1,0.7,0.7
132,Erick Pulgar,1,3,0.5,0.4,0.7,-,0.2,0.2
133,Weston McKennie,5,2,0.9,0.6,0.2,0.1,0.6,0.6
134,Giuseppe Pezzella,1,4,0.3,1.5,1,-,1,1
135,Domenico Criscito,1,-,0.3,0.2,1.1,-,0.2,0.2
136,Albin Ekdal,2,1,0.4,0.6,1.8,-,0.6,0.6
