,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
0,Victor Osimhen,Napoli,25, FW,30(2),2583,26,4,4,-,4.2,71,2.1,5,7.45
1,Khvicha Kvaratskhelia,Napoli,23," AM(CLR),FW",30(4),2541,12,10,1,-,2.5,83.7,0.2,7,7.43
2,Sergej Milinkovic-Savic,Lazio,29, AM(C),34(2),3030,9,8,10,-,1.8,77.1,2.7,6,7.24
3,Paulo Dybala,Roma,30," AM(CR),FW",22(4),1752,12,6,5,-,2.5,82.3,0.2,6,7.20
4,Rafael Leão,AC Milan,24," AM(CL),FW",28(7),2434,15,8,5,1,2.6,74.4,0.8,8,7.19
5,Lautaro Martínez,Inter,26, FW,27(11),2577,21,6,3,-,3.3,75.6,1.1,8,7.18
6,Mattia Zaccagni,Lazio,28," AM(CL),FW",33(2),2783,10,6,9,-,1.6,84.5,0.4,5,7.16
7,Domenico Berardi,Sassuolo,29," AM(R),FW",22(4),1872,12,7,7,-,3.2,71.1,0.5,6,7.15
8,Armand Laurienté,Sassuolo,25," AM(LR),FW",27(1),2191,7,6,8,1,2,79.2,-,4,7.11
9,Adrien Rabiot,Juventus,29," DMC,M(L)",31(1),2751,8,4,9,-,1.5,83.6,1.6,3,7.11
10,Teun Koopmeiners,Atalanta,26," D(C),M(C)",32(1),2861,10,4,7,-,1.8,78.1,1.2,2,7.11
11,Felipe Anderson,Lazio,31," M(CLR),FW",35(3),2969,9,2,3,-,1.1,79.8,0.4,4,7.09
12,Lorenzo Pellegrini,Roma,27, M(CL),29(3),2558,4,5,5,-,2,80.1,0.4,5,7.09
13,Mário Rui,Napoli,32," D(L),M(L)",21(1),1763,-,6,2,1,0.5,84.2,0.6,2,7.09
14,Lucas Martínez,Fiorentina,27, D(C),25(2),2173,1,1,6,-,1,81.9,2.8,5,7.08
15,Hakan Çalhanoglu,Inter,30," M(CLR),FW",28(5),2375,3,6,3,-,1.7,88.3,0.4,1,7.07
16,Kim Min-Jae,Napoli,27, D(C),35,3055,2,2,5,-,0.2,91,2.6,1,7.07
17,Giovanni Di Lorenzo,Napoli,30," D(CLR),M(R)",36(1),3257,3,4,2,-,0.8,86,1.1,5,7.04
18,Danilo,Juventus,32," D(CLR),DMC",35(2),3182,3,3,5,-,0.9,85.1,1.4,2,7.04
19,Frank Anguissa,Napoli,28, M(C),36,3062,3,5,3,-,1.4,88.8,1.3,1,7.03
20,Carlos Augusto,Monza,25," D(CL),M(L)",35,3087,6,5,4,-,1.2,84.7,1.6,4,6.99
21,Luis Alberto,Lazio,31," AM(CL),FW",27(8),2444,6,7,4,-,1.3,87.6,0.2,3,6.98
22,Stefan Posch,Bologna,26, D(CR),30,2541,6,2,6,-,0.9,76.7,0.9,7,6.96
23,Romelu Lukaku,Inter,30," AM(R),FW",19(6),1663,10,6,1,-,2,72.5,1.6,3,6.96
24,Ismaël Bennacer,AC Milan,26, M(C),24(4),2015,2,2,5,-,0.6,89.2,0.8,2,6.96
25,Nicolò Barella,Inter,27, AM(C),31(4),2622,6,6,6,-,0.9,85,0.6,4,6.94
26,Armando Izzo,Monza,32, D(C),29(1),2475,1,-,10,-,0.5,87.7,1.3,3,6.93
