,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0,Genoa,14.2,19.4,11.8,14.9,1.9
1,AC Milan,10.6,18.3,9.3,12.2,2.1
2,Atalanta,10.3,16.6,11.6,13.5,1.8
3,Udinese,12.3,16.4,9.2,14.8,2.1
4,Roma,9.9,16.1,10.1,13.2,1.6
5,Venezia,17.8,16.1,10.2,13.7,1.6
6,Inter,10.6,15.5,8.7,12.3,1.5
7,Spezia,16.9,15.3,9.8,13.4,2
8,Lazio,12.4,15.2,8.3,11.6,1.2
9,Empoli,17.6,14.9,9.3,13.3,2.2
10,Sampdoria,14.6,14.8,11.7,13,2.2
11,Cagliari,14.6,14.7,10.4,14.4,1.8
12,Juventus,11.7,14.6,8.7,13.4,1.9
13,Napoli,11,14.5,7.8,12.1,1.8
14,Salernitana,15.6,14.2,9.3,13,1.1
15,Verona,12.5,14.1,10.3,14.7,2.6
16,Torino,10.4,14,11.1,16.7,2.2
17,Bologna,14.2,13.9,9.7,11.7,1.5
18,Fiorentina,9.4,13.4,6.4,12.2,1.5
19,Sassuolo,14,12.7,8.3,12.1,1.1
