,Team,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Inter,16.6,5.4,5.8,10.7
1,Napoli,16.2,5.9,8.9,12.3
2,Fiorentina,15.9,4.9,8.5,13.4
3,AC Milan,14.5,4.9,9.7,11.5
4,Juventus,14.1,4.7,7.7,10.8
5,Atalanta,13.5,4.7,9,10.1
6,Udinese,13.3,4,8.7,12.5
7,Roma,13.1,4.4,7.3,13.3
8,Sassuolo,12.8,4.5,7.9,11.7
9,Bologna,12.8,4.2,7.2,11.2
10,Cremonese,12.2,3.5,6.3,10.7
11,Empoli,11.8,3.4,8.2,12.1
12,Torino,11.7,3.9,8.1,10.1
13,Lazio,11.5,4.5,7.5,12.4
14,Spezia,11.1,3.3,7.3,10
15,Lecce,11,3,6.3,11.6
16,Verona,10.9,3.2,7.2,10.1
17,Monza,10.8,3.8,7.4,13
18,Salernitana,10.1,3.1,6.9,11.6
19,Sampdoria,9.9,3.1,6.8,13.5
