,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,Juventus,77,15.7,76,6,26.5,88.3,11.4,6.85
1,Atalanta,90,16.3,66,3,29.6,83.5,16.8,6.84
2,AC Milan,74,14.7,80,4,51.4,84.0,15.2,6.82
3,Inter,89,14.5,59,2,52.0,87.0,11.8,6.81
4,Napoli,86,17,71,3,54.1,87.0,11.1,6.81
5,Roma,68,14.3,84,3,51.5,84.5,12.1,6.71
6,Sassuolo,64,13.9,74,4,31.3,87.8,10.9,6.67
7,Sampdoria,52,11.3,81,3,20.6,78.5,16.8,6.63
8,Lazio,61,13.8,100,5,52.2,83.8,14.6,6.62
9,Torino,50,12.2,72,4,23.5,80.5,16.1,6.59
10,Verona,43,10.6,91,1,49.6,76.3,20.6,6.59
11,Cagliari,43,11.4,73,3,45.8,79.8,17.2,6.58
12,Bologna,51,13.1,78,4,50.7,81.5,15.1,6.56
13,Udinese,42,10.9,63,2,47.2,82.5,13.1,6.55
14,Genoa,47,9,85,2,18.0,79.7,13.7,6.54
15,Fiorentina,47,9.8,86,5,46.8,81.0,14.2,6.52
16,Spezia,52,10.2,92,5,30.5,81.1,14.4,6.50
17,Parma Calcio 1913,39,10.4,91,1,24.9,82.5,16.9,6.49
18,Crotone,45,9.5,85,4,15.6,80.4,12.7,6.43
19,Benevento,40,11,90,5,35.5,77.7,13.4,6.43
