,Team,P,W,D,L,GF,GA,GD,Pts
0,Inter,38,28,7,3,89,35,+54,91
1,AC Milan,38,24,7,7,74,41,+33,79
2,Atalanta,38,23,9,6,90,47,+43,78
3,Juventus,38,23,9,6,77,38,+39,78
4,Napoli,38,24,5,9,86,41,+45,77
5,Lazio,38,21,5,12,61,55,+6,68
6,Roma,38,18,8,12,68,58,+10,62
7,Sassuolo,38,17,11,10,64,56,+8,62
8,Sampdoria,38,15,7,16,52,54,-2,52
9,Verona,38,11,12,15,46,48,-2,45
10,Genoa,38,10,12,16,47,58,-11,42
11,Bologna,38,10,11,17,51,65,-14,41
12,Udinese,38,10,10,18,42,58,-16,40
13,Fiorentina,38,9,13,16,47,59,-12,40
14,Spezia,38,9,12,17,52,72,-20,39
15,Cagliari,38,9,10,19,43,59,-16,37
16,Torino,38,7,16,15,50,69,-19,37
17,Benevento,38,7,12,19,40,75,-35,33
18,Crotone,38,6,5,27,45,92,-47,23
19,Parma Calcio 1913,38,3,11,24,39,83,-44,20
