,Name,AvgP,PSp,Crosses,LonB,ThrB
0,Cristiano Ronaldo,36.5,85.1,0.2,0.9,-
1,Josip Ilicic,34.6,81.9,0.7,1.8,0.3
2,Ciro Immobile,23.9,77,-,0.9,0.1
3,Luis Alberto,57.6,83.5,1.2,3.1,0.4
4,Papu Gómez,47.8,85.3,1.8,2.1,0.1
5,Zlatan Ibrahimovic,32.8,70.9,0.2,1.1,0.1
6,Edin Dzeko,22,69.9,0.1,1.5,0.1
7,Domenico Berardi,35.1,78.4,0.6,1.5,0.3
8,Paulo Dybala,42.2,88.1,0.8,2.2,0.1
9,Duván Zapata,19.6,79.6,0.3,0.4,-
10,Romelu Lukaku,21.5,70.7,0.2,0.7,-
11,Musa Barrow,29.1,78.2,0.6,1.4,0.1
12,Sergej Milinkovic-Savic,45.8,77.2,0.3,3.2,0.1
13,Rodrigo De Paul,46,82,1.6,3.6,0.1
14,Robin Gosens,38,78.4,0.6,1.1,-
15,Radja Nainggolan,39.8,79.8,0.8,4.4,0.2
16,Théo Hernández,49.8,84.3,0.4,1.9,-
17,Hakan Çalhanoglu,41.5,84,0.9,1.9,0.1
18,Jérémie Boga,28.1,86.8,-,0.1,-
19,Joaquín Correa,22.2,81.7,0.1,0.7,-
20,Marcelo Brozovic,65,89.9,0.3,5.7,-
21,Aleksandar Kolarov,45.5,83.7,1.7,2.8,0.1
22,Manuel Locatelli,64,88,0.5,3.5,0.2
23,Andrea Belotti,19.7,68.8,0.2,0.6,-
24,Dejan Kulusevski,29.4,80.5,0.3,0.8,0.1
25,Juan Cuadrado,61.4,89.5,0.7,3,-
26,Lorenzo Insigne,44.4,85.4,0.6,2,0.1
27,Rodrigo Bentancur,52.1,88.9,0.7,2,0.1
28,Henrikh Mkhitaryan,30.5,84.1,0.1,1.4,0.1
29,Filippo Falco,29.5,87.8,1.1,1.6,-
30,Francesco Caputo,21.7,79.3,0.1,0.4,0.1
31,Miralem Pjanic,63.6,90.4,0.8,3.3,-
32,Ismaël Bennacer,56.8,88.3,0.4,3.4,-
33,Diego Godín,47.8,85.1,0.2,3.3,0.1
34,Federico Chiesa,21.2,76.7,0.3,0.7,0.1
35,Lorenzo Pellegrini,38.7,81.1,2,2.1,0.3
36,JP Galvão,22.1,76.9,0.1,1.6,0.1
37,Miguel Veloso,46.6,82.3,1.5,2.7,-
38,Franck Ribéry,33.8,85.6,0.1,2,0.1
39,Erick Pulgar,40.2,88,1.6,2.4,0.1
40,Andreas Cornelius,15.7,66.7,0.1,0.4,-
41,Fabián Ruiz,70.6,90.7,0.2,3.9,0.2
42,Jesse Joronen,23.8,61.3,-,5.1,-
43,Chris Smalling,48,90.5,-,2.4,-
44,Ruslan Malinovskyi,26.3,82.5,0.8,1.2,0.1
45,Davide Faraoni,35.9,73.4,0.9,2.4,-
46,Lautaro Martínez,13.7,63,-,0.6,-
47,Juraj Kucka,26.1,71.4,0.2,1.3,0.1
48,Francesco Acerbi,56.2,89.9,0.2,5.9,0.1
49,Alex Sandro,58.3,87,0.6,2.4,0.1
50,Gastón Ramírez,21,80.2,0.9,1,0.1
51,José Palomino,44.8,84.5,0.1,2.7,-
52,Dries Mertens,20.3,81.9,0.7,0.8,0.1
53,Wojciech Szczesny,20.7,83.8,-,3.9,-
54,Ashley Young,27.3,82.1,0.4,1,0.1
55,Luis Muriel,14.1,72.1,0.3,0.4,-
56,Gaetano Castrovilli,32.5,81.2,0.2,1.3,0.1
57,Mario Pasalic,40.1,88.2,0.1,2.9,-
58,Alexis Sánchez,16.3,75.5,0.7,1.3,-
59,Juan Musso,26.3,72.9,-,6.1,-
60,Roberto Gagliardini,38.4,85,0.2,1.9,-
61,Stefan de Vrij,48.9,91.8,-,2.9,-
62,Bremer,42,80.3,-,3.3,-
63,Roberto Soriano,39.4,87,0.2,1,0.1
64,Berat Djimsiti,53.4,86,-,2.6,-
65,Marten de Roon,57.1,86.8,0.2,2.7,-
66,Seko Fofana,32.4,87.7,0.2,1.7,0.1
67,Riccardo Orsolini,24.1,70,1,1.1,-
68,Alex Berenguer,23.4,79.2,0.5,0.9,0.1
69,Arkadiusz Milik,17.8,82.3,-,0.2,-
70,Nicolò Zaniolo,15.7,82.1,0.2,1,0.1
71,Cengiz Ünder,16.6,77.6,0.7,1.2,0.1
