,Rank,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,1, Manchester City,94,15.8,44,1,65.2,89.2,11.6,6.90
1,2, Arsenal,88,15.6,52,0,59.7,85.4,12.9,6.81
2,3, Newcastle,68,15,62,1,52.2,79.8,14.7,6.79
3,4, Manchester United,58,15.6,78,2,53.8,82.3,12.3,6.77
4,5, Liverpool,75,15.9,57,1,60.6,84.2,12.7,6.75
5,6, Brighton,72,16.1,59,0,60.5,85.9,11.7,6.72
6,7, Tottenham,70,13.6,75,3,49.8,83.4,14.6,6.71
7,8, Brentford,58,10.7,55,1,43.3,74.8,17.6,6.66
8,9, Aston Villa,51,11.3,80,1,49.2,81.1,11.7,6.64
9,10, Chelsea,38,12.7,77,3,58.8,85.8,13.1,6.62
10,11, Everton,34,11.3,79,2,42.5,77.0,15.3,6.62
11,12, Crystal Palace,40,11.2,79,3,45.8,79.3,13.1,6.61
12,13, Fulham,55,11.3,80,1,48.6,80.0,13.5,6.61
13,14, West Ham,42,12.5,44,0,41.4,78.2,16.4,6.60
14,15, Leicester,51,11,59,2,47.7,80.3,13.5,6.57
15,16, Bournemouth,37,9.4,69,0,40.0,77.5,13.8,6.53
16,17, Wolves,31,10.8,84,6,50.1,81.3,12.3,6.51
17,18, Southampton,36,11,73,0,44.1,77.3,14.6,6.50
18,19, Leeds,48,12.2,84,3,46.3,74.9,15.5,6.50
19,20, Nottingham Forest,38,9.7,84,0,37.2,72.3,14.8,6.49
