,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
47,Ollie Watkins,24,Aston Villa,27," AM(LR),FW  ",36(1),3136,6,0.8,14.9,69.9,0.1,0.1,0.0,6.96,15,4,0,2.3,1.9,3,0.5,1.1,0.5,1.1,2.2,0.5,0.3,0.7,0.0,1.1,0.5,0.1,0
54,Douglas Luiz,24,Aston Villa,25, M(C)  ,33(4),2933,6,1.2,45.9,86.4,0.6,2.2,0.1,6.93,6,6,1,0.9,0.7,3,0.6,1.1,0.1,0.9,1.0,2.0,1.1,1.3,0.0,0.6,0.9,0.2,0
64,Emiliano Martínez,24,Aston Villa,30, GK  ,36,3141,0,0.1,34.7,71.6,0.0,6.6,0.0,6.87,0,7,0,0.0,0.4,3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,1
67,Jacob Ramsey,24,Aston Villa,22, AM(CLR)  ,31(4),2647,7,1.2,24.7,83.7,0.1,0.5,0.0,6.86,6,5,0,0.9,0.5,1,0.9,1.3,0.1,1.1,1.8,2.0,0.7,1.0,0.0,0.8,1.1,0.2,1
80,John McGinn,24,Aston Villa,28, M(CR)  ,30(4),2698,3,0.5,28.5,81.5,0.4,1.9,0.1,6.81,1,7,0,1.2,0.6,2,1.3,1.9,0.0,1.0,1.7,1.9,0.7,1.2,0.0,0.4,1.1,0.1,0
108,Tyrone Mings,24,Aston Villa,30, D(CL)  ,35,3150,2,0.1,53.9,85.3,0.0,3.0,0.0,6.75,1,7,0,0.2,1.8,1,0.2,0.6,0.1,0.2,0.2,0.4,1.5,0.5,1.0,4.5,0.3,0.6,1
121,Álex Moreno,24,Aston Villa,30," D(L),M(L)  ",14(5),1336,3,1.2,30.5,79.4,0.8,0.5,0.1,6.71,0,3,0,0.7,0.5,0,1.2,0.6,0.0,0.8,2.0,1.2,0.4,0.9,0.3,1.6,1.2,0.2,0
130,Emiliano Buendía,24,Aston Villa,26," M(CLR),FW  ",27(11),2423,2,1.1,26.1,78.6,0.0,1.2,0.2,6.7,5,0,0,1.3,0.6,2,0.7,1.2,0.0,1.5,1.7,1.4,0.5,1.1,0.0,0.3,1.4,0.1,0
168,Leon Bailey,24,Aston Villa,25," M(CLR),FW  ",26(7),1984,4,0.9,13.4,69.2,0.7,0.6,0.1,6.61,4,4,0,1.5,0.7,3,1.2,0.7,0.3,1.6,1.5,0.4,0.2,0.9,0.0,0.3,0.5,0.0,0
173,Boubacar Kamara,24,Aston Villa,23," D(CL),DMC  ",21(3),1779,1,0.3,39.2,84.9,0.0,2.0,0.1,6.59,0,4,0,0.2,0.9,0,0.7,1.3,0.0,0.6,0.8,2.4,0.8,1.4,0.0,1.0,1.2,0.5,0
179,Ashley Young,24,Aston Villa,37," D(LR),M(LR)  ",23(6),2039,0,0.5,33.3,77.5,0.3,1.9,0.1,6.58,1,7,0,0.5,0.5,0,0.3,1.0,0.0,0.2,0.6,1.7,0.7,0.8,0.4,2.1,0.4,0.4,0
183,Ezri Konsa,24,Aston Villa,25, D(CR)  ,37(1),3323,0,0.2,49.3,88.9,0.1,1.5,0.0,6.57,0,6,0,0.2,1.5,0,0.1,1.7,0.0,0.1,0.4,1.1,0.7,0.3,1.0,3.0,0.2,0.6,0
186,Matty Cash,24,Aston Villa,25," D(R),M(CLR)  ",20(6),1821,1,0.3,30.0,78.6,0.5,1.5,0.0,6.56,0,4,0,0.3,0.5,1,0.6,0.6,0.1,0.3,0.9,2.1,1.0,0.8,0.5,1.4,0.4,0.2,0
262,Lucas Digne,24,Aston Villa,29," D(CL),M(L)  ",18(10),1501,0,0.6,25.3,78.6,0.7,1.0,0.0,6.41,1,5,0,0.3,0.9,0,0.1,0.8,0.1,0.4,0.6,1.1,0.6,0.7,0.2,1.4,0.5,0.2,1
271,Philippe Coutinho,24,Aston Villa,31, M(CLR)  ,7(13),783,0,0.4,17.9,78.5,0.1,0.5,0.1,6.37,1,3,0,1.1,0.2,0,0.7,0.7,0.1,0.9,1.2,1.0,0.2,0.8,0.0,0.1,0.3,0.1,0
285,Leander Dendoncker,24,Aston Villa,28," D(C),M(C)  ",7(13),690,0,0.3,14.0,88.2,0.0,0.4,0.0,6.31,0,0,0,0.1,0.5,0,0.2,0.1,0.0,0.2,0.4,1.0,0.5,0.1,0.0,0.6,0.5,0.2,0
